"GeneID","Description","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneType"
"LOC126267671","peptidoglycan-recognition protein SD-like",35.8229386526808,1.18122366189863,0.323572684731852,3.65056668141665,0.000261662364754409,0.0132949880394128,"protein_coding"
"LOC126271434","23 kDa integral membrane protein-like",5.53215368571986,5.21781637592139,1.5503779278542,3.3655125516029,0.000764015910988271,0.0250756080108261,"protein_coding"
"LOC126272587","facilitated trehalose transporter Tret1-2 homolog",41.9072298367768,1.19887247661626,0.295387684873635,4.05864068818282,4.93591928956281e-05,0.00552350829020729,"protein_coding"
"LOC126336531","proline-rich protein 2-like",537.958777507733,2.21493582779197,0.642665774530829,3.44648169479534,0.000567937039901702,0.021246458623532,"protein_coding"
"LOC126336537","proline-rich protein 2-like",265.25596915107,1.97920979198671,0.537001001124931,3.68567244351609,0.000228099571907353,0.0121934279576283,"protein_coding"
"LOC126336910","protein charybde-like",33.2402654502087,-1.62018938042772,0.501699903488783,-3.22939942615307,0.00124050504972752,0.0327017580634153,"protein_coding"
"LOC126337058","protein takeout",35.6412567404186,1.670141911958,0.51643543935296,3.23398005770192,0.00122077979520914,0.0324970290196793,"protein_coding"
"LOC126334905","probable imidazolonepropionase",8.16551109859159,2.5551825915328,0.652259413294755,3.91743306336634,8.94968854249934e-05,0.00715363613996422,"protein_coding"
"LOC126335044","cytochrome P450 6k1-like",76.550481775032,1.15474879569247,0.363898997082504,3.17326732129099,0.00150733667885505,0.037812701208939,"protein_coding"
"LOC126356147","luciferin sulfotransferase-like",112.56742106621,1.07084217437078,0.297784843834451,3.59602644843167,0.000323114962565509,0.0154083005028727,"protein_coding"
"LOC126356047","allantoicase-like",106.825518069074,3.59096237433558,0.852001988989685,4.21473473153952,2.50071941816505e-05,0.00397305656695876,"protein_coding"
"LOC126354206","cytochrome P450 4g15",305.453656102709,2.76740726995307,0.854180151684763,3.23984028953929,0.00119596666597987,0.0321313048528077,"protein_coding"
"LOC126354577","uncharacterized LOC126354577",228.961442837205,5.35880350599708,1.30323336868701,4.11192932498039,3.92366422135683e-05,0.00495156044823705,"protein_coding"
"LOC126365810","alpha-tocopherol transfer protein-like",25.3650961683135,-1.84040305992118,0.467514999996915,-3.93656473040079,8.26563322351385e-05,0.00692583798153842,"protein_coding"
"LOC126267144","uncharacterized LOC126267144",6.83247426781238,-1.75074425404808,0.56087935647625,-3.12142751169737,0.00179976550245284,0.0421112404564829,"protein_coding"
"LOC126267541","uncharacterized LOC126267541",7.79693823133688,1.92899646714663,0.590496003653497,3.26673924160639,0.00108793838925466,0.0303702367273714,"lncRNA"
"LOC126267328","uncharacterized LOC126267328",13.6167701181893,1.59624432891543,0.484169790074466,3.29686891177147,0.000977691219087963,0.0289905721162281,"lncRNA"
"LOC126272477","uncharacterized LOC126272477",9.72945704753107,2.0008373453756,0.525104978332156,3.81035683898995,0.000138766350972945,0.00920507304469499,"protein_coding"
"LOC126273038","uncharacterized LOC126273038",27.1828139753096,-29.0166476964976,3.82854635545564,-7.57902477924793,3.48162016658382e-14,4.48049699237672e-10,"protein_coding"
"LOC126272465","vesicular glutamate transporter 1-like",26.818086288294,4.25682273850129,0.657626452468537,6.47301020590402,9.60694610296087e-11,6.18158946995017e-07,"protein_coding"
"LOC126278052","phosphoenolpyruvate carboxykinase [GTP]-like",881.136346048445,-1.68455949674813,0.507289376644706,-3.32070722215804,0.000897896750466997,0.0272524369852825,"protein_coding"
"LOC126282424","uncharacterized LOC126282424",46.1739190788036,-1.26340331239639,0.29785623195846,-4.24165478791321,2.21877786141567e-05,0.00366069901263567,"protein_coding"
"LOC126281302","uncharacterized LOC126281302",368.917062875217,-2.30576306792225,0.617625460156959,-3.73327075495928,0.000189009224423707,0.0109565752662554,"lncRNA"
"LOC126284736","protein TonB-like",37.645635429585,-1.31704707539341,0.262936251939482,-5.00899767787266,5.47142332719092e-07,0.000541628821520154,"protein_coding"
"LOC126284662","putative fatty acyl-CoA reductase CG5065",4.89527722160782,4.95072375138481,1.53322991137851,3.22895067115778,0.00124245323839094,0.0327017580634153,"protein_coding"
"LOC126284312","uncharacterized LOC126284312",74.5885314604992,2.49468054957857,0.701792961760294,3.5547243781431,0.00037837550824019,0.0166757342998048,"protein_coding"
"LOC126292211","uncharacterized LOC126292211",11.3473670940755,-2.35224248284591,0.734109722381275,-3.20421104792864,0.00135433159552035,0.0348577866055026,"protein_coding"
"LOC126295189","uncharacterized LOC126295189",5.04542831935279,1.80510280105909,0.517873452324081,3.48560597759598,0.000491023680507665,0.0197061772264929,"lncRNA"
