"GeneID","Description","Pattern","log2FC_50","padj_50","Direction_50","log2FC_83","padj_83","Direction_83","GeneType"
"LOC126344004","keratinocyte proline-rich protein-like","Up_Neutral",1.06931153968945,0.0156234911196078,"Up",1.46397488285052,0.0549706853358941,"Neutral","protein_coding"
"LOC126350918","uncharacterized LOC126350918","Up_Neutral",1.56367342787786,0.00757143083381373,"Up",-0.76721757111276,0.316218848777581,"Neutral","protein_coding"
"LOC126352417","phospholipid hydroperoxide glutathione peroxidase-like","Down_Neutral",-1.11645852158563,0.0168325562810071,"Down",-0.426450020690256,0.686158623095433,"Neutral","protein_coding"
"LOC126352958","ornithine aminotransferase%2C mitochondrial","Neutral_Down",-0.0320878362044443,0.993665697564695,"Neutral",-2.829831362307,0.0110108252271524,"Down","protein_coding"
"LOC126353355","facilitated trehalose transporter Tret1-like","Neutral_Up",0.680291043247326,0.152439458385588,"Neutral",1.82383353211076,0.000351092031175723,"Up","protein_coding"
"LOC126354626","inter-alpha-trypsin inhibitor heavy chain H4-like","Down_Neutral",-2.23889453798681,0.0338545766053083,"Down",-3.0210894612319,0.0830820082892203,"Neutral","protein_coding"
"LOC126355265","lazarillo protein","Down_Neutral",-2.2265648250606,0.00405035747357684,"Down",-0.668872370726212,0.671413012302857,"Neutral","protein_coding"
"LOC126266804","Parkinson disease protein 7 homolog","Down_Neutral",-3.9164047727251,0.0253067214897502,"Down",-3.29851884299006,0.196832431947185,"Neutral","protein_coding"
"LOC126303359","uncharacterized LOC126303359","Down_Neutral",-4.40252741083613,0.0168197582005367,"Down",-3.3925526830862,0.217359593685064,"Neutral","protein_coding"
"LOC126269513","solute carrier family 22 member 7-like","Down_Neutral",-3.68201362902428,0.00660985872251759,"Down",-1.89572152827108,0.439083278033599,"Neutral","protein_coding"
"LOC126269651","synaptic vesicle glycoprotein 2A-like","Down_Neutral",-5.38723149280012,0.00405035747357684,"Down",-4.52595613654119,0.11085412802877,"Neutral","protein_coding"
"LOC126272354","uncharacterized LOC126272354","Neutral_Up",0.710080368188844,0.16946117690131,"Neutral",1.74349753693089,0.00837122961993064,"Up","protein_coding"
"LOC126273233","venom carboxylesterase-6-like","Down_Neutral",-2.82107154445186,0.00816503113771416,"Down",-2.12501972491905,0.179224159344241,"Neutral","protein_coding"
