sample_id	raw_prefix	tissue	treatment	diet
1002	mehreen_1002	fatbody	Control	83
1003	mehreen_1003	fatbody	Control	33
1004	mehreen_1004	fatbody	Control	50
1005	mehreen_1005	fatbody	Control	83
1006	mehreen_1006	fatbody	Control	33
1007	mehreen_1007	fatbody	Control	50
1009	mehreen_1009	fatbody	Control	33
1011	mehreen_1011	fatbody	Control	83
1014	mehreen_1014	fatbody	Infected	83
1015	mehreen_1015	fatbody	Infected	33
1016	mehreen_1016	fatbody	Infected	50
1018	mehreen_1018	fatbody	Infected	33
1020	mehreen_1020	fatbody	Infected	83
1021	mehreen_1021	fatbody	Infected	33
1023	mehreen_1023	fatbody	Infected	83
1024	mehreen_1024	fatbody	Infected	83
1025	mehreen_1025	fatbody	Infected	50
1027	mehreen_1027	fatbody	Infected	33
1028	mehreen_1028	fatbody	Infected	50
1029	mehreen_1029	fatbody	Infected	83
1030	mehreen_1030	fatbody	Control	33
1031	mehreen_1031	fatbody	Control	50
1032	mehreen_1032	fatbody	Control	83
1033	mehreen_1033	fatbody	Control	33
1034	mehreen_1034	fatbody	Control	50
1035	mehreen_1035	fatbody	Control	83
1036	mehreen_1036	fatbody	Control	33
1037	mehreen_1037	fatbody	Control	50
1038	mehreen_1038	fatbody	Control	83
1039	mehreen_1039	fatbody	Control	33
1040	mehreen_1040	fatbody	Control	50
1041	mehreen_1041	fatbody	Control	83
1042	mehreen_1042	fatbody	Infected	33
1043	mehreen_1043	fatbody	Infected	50
1045	mehreen_1045	fatbody	Infected	33
1046	mehreen_1046	fatbody	Infected	50
1049	mehreen_1049	fatbody	Infected	50
1050	mehreen_1050	fatbody	Infected	83
1051	mehreen_1051	fatbody	Infected	33
1052	mehreen_1052	fatbody	Infected	50
1054	mehreen_1054	fatbody	Infected	33
1055	mehreen_1055	fatbody	Infected	50
1057	mehreen_1057	fatbody	Infected	33
1058	mehreen_1058	fatbody	Infected	50
