Description,GeneID_Control,GeneID_Infected,GeneID_Within
116 kDa U5 small nuclear ribonucleoprotein component-like,LOC126315389,LOC126315389,LOC126315389
2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase-like,LOC126315365,LOC126315365,LOC126315365
2-hydroxyacid dehydrogenase homolog,LOC126311192,LOC126311192,LOC126311192
2-Hydroxyacid oxidase-like,LOC126325799,LOC126325799,LOC126325799
2-oxoglutarate dehydrogenase%2C mitochondrial-like,LOC126315271,LOC126315271,LOC126315271
23 kDa integral membrane protein-like,LOC126271434,LOC126274788,LOC126271434
26S proteasome non-ATPase regulatory subunit 12-like,LOC126328059,LOC126328059,LOC126328059
26S proteasome regulatory subunit 10B-like,LOC126313340,LOC126313340,LOC126313340
26S proteasome regulatory subunit 6A-B-like,LOC126315353,LOC126315353,LOC126315353
26S proteasome regulatory subunit 8-like,LOC126318229,LOC126318229,LOC126318229
40S ribosomal protein S4-like,LOC126326057,LOC126326057,LOC126326057
40S ribosomal protein SA-like,LOC126320365,LOC126320365,LOC126320365
5'-3' exoribonuclease 1-like,LOC126325868,LOC126325868,LOC126325868
6-phosphogluconate dehydrogenase%2C decarboxylating-like,LOC126316920,LOC126316920,LOC126316920
60 kDa heat shock protein%2C mitochondrial-like,LOC126315266,LOC126315266,LOC126315266
60S acidic ribosomal protein P2-like,LOC126320549,LOC126320549,LOC126320549
60S ribosomal protein L19-like,LOC126322397,LOC126322397,LOC126322397
60S ribosomal protein L34-like,LOC126304702,LOC126304702,LOC126304702
60S ribosomal protein L5-like,LOC126318343,LOC126318343,LOC126318343
60S ribosomal protein L7a-like,LOC126323922,LOC126323922,LOC126323922
60S ribosomal protein L9-like,LOC126314456,LOC126314456,LOC126314456
actin-histidine N-methyltransferase-like,LOC126325546,LOC126325546,LOC126325546
actin-related protein 2/3 complex subunit 4-like,LOC126326068,LOC126326068,LOC126326068
actin-related protein 2/3 complex subunit 5-like,LOC126304766,LOC126304766,LOC126304766
actobindin-like,LOC126324537,LOC126324537,LOC126324537
adenylate kinase-like,LOC126326207,LOC126326207,LOC126326207
ADP-ribosylation factor 1-like,LOC126323247,LOC126323247,LOC126323247
ADP-sugar pyrophosphatase-like,LOC126297490,LOC126297490;LOC126325938,LOC126325938
aldo-keto reductase family 1 member B1-like,LOC126319934,LOC126319934,LOC126357545;LOC126283960;LOC126283959;LOC126319934;LOC126283957
allantoicase-like,LOC126356047,LOC126356047,LOC126356047
amidophosphoribosyltransferase-like,LOC126320414;LOC126299364,LOC126320414,LOC126320414
AMP deaminase-like,LOC126322390,LOC126322390,LOC126322390
anaphase-promoting complex subunit 5-like,LOC126324543,LOC126324543,LOC126324543
ankyrin repeat and death domain-containing protein 1B-like,LOC126329587,LOC126329587,LOC126329587
ankyrin repeat%2C bromo and BTB domain-containing protein DDB_G0293800-like,LOC126320352,LOC126320352,LOC126320352
