mapping_branch	contrast_id	contrast_family	numerator	denominator	samples_retained	upregulated	downregulated
competitive-host-exon-only-excluding1044	infection_diet33	Infection within diet	Infected diet 33	Control diet 33	44	449	335
competitive-host-exon-only-excluding1044	infection_diet50	Infection within diet	Infected diet 50	Control diet 50	44	710	336
competitive-host-exon-only-excluding1044	infection_diet83	Infection within diet	Infected diet 83	Control diet 83	44	465	235
competitive-host-exon-only-excluding1044	control_diet33_vs50	Diet among controls	Control diet 33	Control diet 50	44	2	0
competitive-host-exon-only-excluding1044	control_diet83_vs50	Diet among controls	Control diet 83	Control diet 50	44	16	3
competitive-host-exon-only-excluding1044	control_diet83_vs33	Diet among controls	Control diet 83	Control diet 33	44	23	20
competitive-host-exon-only-excluding1044	infected_diet33_vs50	Diet among infected	Infected diet 33	Infected diet 50	44	4	80
competitive-host-exon-only-excluding1044	infected_diet83_vs50	Diet among infected	Infected diet 83	Infected diet 50	44	8	3
competitive-host-exon-only-excluding1044	infected_diet83_vs33	Diet among infected	Infected diet 83	Infected diet 33	44	23	18
competitive-host-exon-only-excluding1044	infection_average_all_diets	Average infection response	Average infected	Average control	44	767	698
competitive-host-exon-only-excluding1044	interaction_diet33_vs50	Diet by infection interaction	Infection response diet 33	Infection response diet 50	44	0	6
competitive-host-exon-only-excluding1044	interaction_diet83_vs50	Diet by infection interaction	Infection response diet 83	Infection response diet 50	44	1	1
competitive-host-exon-only-excluding1044	interaction_diet83_vs33	Diet by infection interaction	Infection response diet 83	Infection response diet 33	44	6	4
