mapping_branch	contrast_id	contrast_family	numerator	denominator	samples_retained	upregulated	downregulated
competitive-host-transcript-exon-excluding1044	infection_diet33	Infection within diet	Infected diet 33	Control diet 33	44	556	461
competitive-host-transcript-exon-excluding1044	infection_diet50	Infection within diet	Infected diet 50	Control diet 50	44	1210	679
competitive-host-transcript-exon-excluding1044	infection_diet83	Infection within diet	Infected diet 83	Control diet 83	44	635	330
competitive-host-transcript-exon-excluding1044	control_diet33_vs50	Diet among controls	Control diet 33	Control diet 50	44	11	1
competitive-host-transcript-exon-excluding1044	control_diet83_vs50	Diet among controls	Control diet 83	Control diet 50	44	24	27
competitive-host-transcript-exon-excluding1044	control_diet83_vs33	Diet among controls	Control diet 83	Control diet 33	44	30	24
competitive-host-transcript-exon-excluding1044	infected_diet33_vs50	Diet among infected	Infected diet 33	Infected diet 50	44	10	241
competitive-host-transcript-exon-excluding1044	infected_diet83_vs50	Diet among infected	Infected diet 83	Infected diet 50	44	46	17
competitive-host-transcript-exon-excluding1044	infected_diet83_vs33	Diet among infected	Infected diet 83	Infected diet 33	44	80	41
competitive-host-transcript-exon-excluding1044	infection_average_all_diets	Average infection response	Average infected	Average control	44	953	843
competitive-host-transcript-exon-excluding1044	interaction_diet33_vs50	Diet by infection interaction	Infection response diet 33	Infection response diet 50	44	0	17
competitive-host-transcript-exon-excluding1044	interaction_diet83_vs50	Diet by infection interaction	Infection response diet 83	Infection response diet 50	44	22	7
competitive-host-transcript-exon-excluding1044	interaction_diet83_vs33	Diet by infection interaction	Infection response diet 83	Infection response diet 33	44	25	10
