name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Clavicipitaceae	34397	F	1197875	441973	1639848	0.20844
Nectriaceae	110618	F	8301	8599	16900	0.00215
Hypocreaceae	5129	F	4879	22798	27677	0.00352
Ophiocordycipitaceae	474942	F	4163	3809	7972	0.00101
Cordycipitaceae	474943	F	85	95	180	0.00002
Glomerellaceae	681950	F	925	3059	3984	0.00051
Sordariaceae	5148	F	1067	1300	2367	0.00030
Chaetomiaceae	35718	F	445	336	781	0.00010
Podosporaceae	2609812	F	150	93	243	0.00003
Pyriculariaceae	2528436	F	109	6	115	0.00001
Sclerotiniaceae	28983	F	91	789	880	0.00011
Mycosphaerellaceae	93133	F	1593	1040	2633	0.00033
Pleosporaceae	28556	F	112	222	334	0.00004
Didymellaceae	683158	F	63	49	112	0.00001
Aspergillaceae	1131492	F	808	2037	2845	0.00036
Trichocomaceae	28568	F	78	261	339	0.00004
Onygenaceae	33184	F	354	2458	2812	0.00036
Saccharomycetaceae	4893	F	4328	27735	32063	0.00408
Saccharomycodaceae	34365	F	53	690	743	0.00009
Pichiaceae	1156497	F	1962	7690	9652	0.00123
Debaryomycetaceae	766764	F	1004	6725	7729	0.00098
Metschnikowiaceae	27319	F	950	1737	2687	0.00034
Trichomonascaceae	410830	F	24	180	204	0.00003
Schizosaccharomycetaceae	4894	F	183	271	454	0.00006
Cryptococcaceae	1884633	F	36699	129948	166647	0.02118
Trichosporonaceae	1759442	F	217	1441	1658	0.00021
Marasmiaceae	654128	F	272	336	608	0.00008
Agrocybaceae	3710399	F	41	30	71	0.00001
Ceratobasidiaceae	5250	F	278	144	422	0.00005
Ustilaginaceae	5268	F	932	5583	6515	0.00083
Malasseziaceae	742845	F	356	1589	1945	0.00025
Pucciniaceae	5262	F	1130	3252	4382	0.00056
Unikaryonidae	36734	F	921	1	922	0.00012
Nosematidae	27974	F	73	23	96	0.00001
Glomeraceae	36751	F	822	1417	2239	0.00028
