name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Vibrionaceae	641	F	624312	720892	1345204	0.20200
Lysobacteraceae	32033	F	27892	13337	41229	0.00619
Rhodanobacteraceae	1775411	F	98	8	106	0.00002
Enterobacteriaceae	543	F	8888	364320	373208	0.05604
Morganellaceae	1903414	F	912	1839	2751	0.00041
Yersiniaceae	1903411	F	525	1877	2402	0.00036
Erwiniaceae	1903409	F	485	111	596	0.00009
Pectobacteriaceae	1903410	F	111	25	136	0.00002
Hafniaceae	1903412	F	31	49	80	0.00001
Bruguierivoracaceae	2812006	F	15	1	16	0.00000
Marinobacteraceae	2887365	F	1918	3	1921	0.00029
Pseudomonadaceae	135621	F	1796	2194	3990	0.00060
Pseudoalteromonadaceae	267888	F	491	64	555	0.00008
Alteromonadaceae	72275	F	298	14	312	0.00005
Shewanellaceae	267890	F	255	35	290	0.00004
Idiomarinaceae	267893	F	110	21	131	0.00002
Colwelliaceae	267889	F	96	5	101	0.00002
Psychromonadaceae	267894	F	49	2	51	0.00001
Moritellaceae	267891	F	27	3	30	0.00000
Moraxellaceae	468	F	762	625	1387	0.00021
Aeromonadaceae	84642	F	576	828	1404	0.00021
Oceanospirillaceae	135620	F	137	6	143	0.00002
Halomonadaceae	28256	F	120	12	132	0.00002
Hahellaceae	224379	F	82	0	82	0.00001
Alcanivoracaceae	224372	F	27	3	30	0.00000
Endozoicomonadaceae	2066474	F	27	0	27	0.00000
Pleioneaceae	2823145	F	22	0	22	0.00000
Zooshikellaceae	2898533	F	20	0	20	0.00000
Saccharospirillaceae	255527	F	11	4	15	0.00000
Pasteurellaceae	712	F	347	1762	2109	0.00032
Candidatus Pseudothioglobaceae	3399801	F	127	24	151	0.00002
Legionellaceae	444	F	115	1	116	0.00002
Coxiellaceae	118968	F	25	0	25	0.00000
Piscirickettsiaceae	135616	F	63	10	73	0.00001
Francisellaceae	34064	F	42	8	50	0.00001
Thiotrichaceae	135617	F	23	4	27	0.00000
Microbulbiferaceae	1706373	F	54	0	54	0.00001
Cellvibrionaceae	1706371	F	49	2	51	0.00001
Halieaceae	1706372	F	12	0	12	0.00000
Chromatiaceae	1046	F	67	4	71	0.00001
Ectothiorhodospiraceae	72276	F	11	0	11	0.00000
Sedimenticolaceae	3067276	F	11	0	11	0.00000
Methylococcaceae	403	F	72	6	78	0.00001
Orbaceae	1240483	F	39	20	59	0.00001
