name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Plasmodiidae	1639119	F	396955	1512820	1909775	0.20560
Babesiidae	32594	F	742	773	1515	0.00016
Theileriidae	27994	F	72	33	105	0.00001
Sarcocystidae	5809	F	12448	73883	86331	0.00929
Cryptosporidiidae	35082	F	125	206	331	0.00004
Thalassiosiraceae	29202	F	4596	233	4829	0.00052
Neidiaceae	432548	F	35	0	35	0.00000
Peronosporaceae	4777	F	382	22	404	0.00004
Hominidae	9604	F	299760	3367446	3667206	0.39480
Clavicipitaceae	34397	F	123438	69106	192544	0.02073
Nectriaceae	110618	F	1178	4021	5199	0.00056
Hypocreaceae	5129	F	903	6490	7393	0.00080
Ophiocordycipitaceae	474942	F	370	576	946	0.00010
Cordycipitaceae	474943	F	32	60	92	0.00001
Glomerellaceae	681950	F	279	1182	1461	0.00016
Sordariaceae	5148	F	1591	2652	4243	0.00046
Chaetomiaceae	35718	F	111	130	241	0.00003
Podosporaceae	2609812	F	69	54	123	0.00001
Pyriculariaceae	2528436	F	53	4	57	0.00001
Sclerotiniaceae	28983	F	45	779	824	0.00009
Aspergillaceae	1131492	F	473	2507	2980	0.00032
Trichocomaceae	28568	F	56	324	380	0.00004
Onygenaceae	33184	F	204	2387	2591	0.00028
Mycosphaerellaceae	93133	F	404	468	872	0.00009
Didymellaceae	683158	F	66	75	141	0.00002
Pleosporaceae	28556	F	28	90	118	0.00001
Metschnikowiaceae	27319	F	1064	3088	4152	0.00045
Debaryomycetaceae	766764	F	373	3769	4142	0.00045
Pichiaceae	1156497	F	745	2637	3382	0.00036
Saccharomycetaceae	4893	F	1170	22736	23906	0.00257
Saccharomycodaceae	34365	F	22	447	469	0.00005
Trichomonascaceae	410830	F	12	123	135	0.00001
Schizosaccharomycetaceae	4894	F	93	157	250	0.00003
Cryptococcaceae	1884633	F	74689	341083	415772	0.04476
Trichosporonaceae	1759442	F	70	882	952	0.00010
Marasmiaceae	654128	F	80	158	238	0.00003
Agrocybaceae	3710399	F	34	42	76	0.00001
Ceratobasidiaceae	5250	F	22	15	37	0.00000
Ustilaginaceae	5268	F	352	3524	3876	0.00042
Malasseziaceae	742845	F	113	695	808	0.00009
Pucciniaceae	5262	F	547	2655	3202	0.00034
Glomeraceae	36751	F	342	434	776	0.00008
Unikaryonidae	36734	F	278	0	278	0.00003
Nosematidae	27974	F	62	17	79	0.00001
Dictyosteliaceae	2058185	F	33321	95955	129276	0.01392
Trypanosomatidae	5654	F	369	102	471	0.00005
Trichomonadidae	181550	F	191	24	215	0.00002
Hexamitidae	5739	F	70	3	73	0.00001
Hemiselmidaceae	589351	F	108	183	291	0.00003
Geminigeraceae	589343	F	10	254	264	0.00003
Cyanidiaceae	265316	F	11	4	15	0.00000
Vibrionaceae	641	F	719187	941037	1660224	0.17873
Lysobacteraceae	32033	F	34985	17155	52140	0.00561
Rhodanobacteraceae	1775411	F	128	15	143	0.00002
Enterobacteriaceae	543	F	4645	145863	150508	0.01620
Morganellaceae	1903414	F	528	1600	2128	0.00023
Yersiniaceae	1903411	F	354	678	1032	0.00011
Erwiniaceae	1903409	F	349	104	453	0.00005
Pectobacteriaceae	1903410	F	103	23	126	0.00001
Hafniaceae	1903412	F	31	25	56	0.00001
Bruguierivoracaceae	2812006	F	15	1	16	0.00000
Pseudomonadaceae	135621	F	1573	2063	3636	0.00039
Marinobacteraceae	2887365	F	1573	6	1579	0.00017
Pseudoalteromonadaceae	267888	F	521	99	620	0.00007
Alteromonadaceae	72275	F	224	15	239	0.00003
Shewanellaceae	267890	F	207	34	241	0.00003
Colwelliaceae	267889	F	138	9	147	0.00002
Idiomarinaceae	267893	F	42	9	51	0.00001
Moritellaceae	267891	F	28	4	32	0.00000
Psychromonadaceae	267894	F	28	2	30	0.00000
Ferrimonadaceae	267892	F	11	0	11	0.00000
Aeromonadaceae	84642	F	700	1270	1970	0.00021
Moraxellaceae	468	F	584	432	1016	0.00011
Halomonadaceae	28256	F	148	46	194	0.00002
Oceanospirillaceae	135620	F	140	14	154	0.00002
Hahellaceae	224379	F	117	1	118	0.00001
Saccharospirillaceae	255527	F	24	0	24	0.00000
Pleioneaceae	2823145	F	23	0	23	0.00000
Alcanivoracaceae	224372	F	22	2	24	0.00000
Endozoicomonadaceae	2066474	F	17	0	17	0.00000
Pasteurellaceae	712	F	281	1897	2178	0.00023
