name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Clavicipitaceae	34397	F	621010	268321	889331	0.08336
Nectriaceae	110618	F	2862	852	3714	0.00035
Ophiocordycipitaceae	474942	F	1425	9781	11206	0.00105
Hypocreaceae	5129	F	37	148	185	0.00002
Cordycipitaceae	474943	F	16	6	22	0.00000
Glomerellaceae	681950	F	164	1094	1258	0.00012
Sordariaceae	5148	F	19	65	84	0.00001
Chaetomiaceae	35718	F	15	27	42	0.00000
Podosporaceae	2609812	F	15	119	134	0.00001
Sclerotiniaceae	28983	F	13	239	252	0.00002
Aspergillaceae	1131492	F	119	801	920	0.00009
Onygenaceae	33184	F	22	1127	1149	0.00011
Pleosporaceae	28556	F	23	142	165	0.00002
Mycosphaerellaceae	93133	F	27	42	69	0.00001
Saccharomycetaceae	4893	F	771	2214	2985	0.00028
Debaryomycetaceae	766764	F	91	4500	4591	0.00043
Metschnikowiaceae	27319	F	10	447	457	0.00004
Pichiaceae	1156497	F	100	5570	5670	0.00053
Schizosaccharomycetaceae	4894	F	10	4222	4232	0.00040
Cryptococcaceae	1884633	F	738	14667	15405	0.00144
Trichosporonaceae	1759442	F	19	381	400	0.00004
Pucciniaceae	5262	F	152	22529	22681	0.00213
Malasseziaceae	742845	F	34	3493	3527	0.00033
Ustilaginaceae	5268	F	12	170	182	0.00002
Nosematidae	27974	F	1561	27567	29128	0.00273
Unikaryonidae	36734	F	408	0	408	0.00004
Hominidae	9604	F	803218	3732869	4536087	0.42520
Plasmodiidae	1639119	F	67428	257774	325202	0.03048
Babesiidae	32594	F	47	128	175	0.00002
Sarcocystidae	5809	F	813	240	1053	0.00010
Peronosporaceae	4777	F	561	3	564	0.00005
Thalassiosiraceae	29202	F	56	34	90	0.00001
Dictyosteliaceae	2058185	F	37517	45719	83236	0.00780
Trypanosomatidae	5654	F	379	25	404	0.00004
Hexamitidae	5739	F	33	0	33	0.00000
Hemiselmidaceae	589351	F	14	9	23	0.00000
Vibrionaceae	641	F	161807	671815	833622	0.07814
Lysobacteraceae	32033	F	14601	121258	135859	0.01274
Enterobacteriaceae	543	F	505	444571	445076	0.04172
Erwiniaceae	1903409	F	26	94	120	0.00001
Yersiniaceae	1903411	F	10	143	153	0.00001
Pseudomonadaceae	135621	F	2372	482564	484936	0.04546
Alteromonadaceae	72275	F	43	43	86	0.00001
Pasteurellaceae	712	F	17	61047	61064	0.00572
Moraxellaceae	468	F	13	158	171	0.00002
Anaplasmataceae	942	F	23389	9709	33098	0.00310
Rickettsiaceae	775	F	24	631	655	0.00006
Rhizobiaceae	82115	F	54	50	104	0.00001
Aurantimonadaceae	255475	F	15	65	80	0.00001
Erythrobacteraceae	335929	F	37	5	42	0.00000
Paracoccaceae	31989	F	17	11	28	0.00000
Burkholderiaceae	119060	F	86	173	259	0.00002
Oxalobacteraceae	75682	F	14	4	18	0.00000
Comamonadaceae	80864	F	14	296	310	0.00003
Flavobacteriaceae	49546	F	319	334	653	0.00006
Weeksellaceae	2762318	F	27	78	105	0.00001
Fulvivirgaceae	2762286	F	14	2	16	0.00000
Candidatus Palauibacteraceae	3056649	F	25	0	25	0.00000
Akkermansiaceae	1647988	F	129	299	428	0.00004
Streptomycetaceae	2062	F	311726	602496	914222	0.08570
Streptosporangiaceae	2004	F	1241	110	1351	0.00013
Microbacteriaceae	85023	F	21	53	74	0.00001
Corynebacteriaceae	1653	F	27	0	27	0.00000
Micromonosporaceae	28056	F	20	3	23	0.00000
Propionibacteriaceae	31957	F	11	10	21	0.00000
Streptococcaceae	1300	F	1762	52489	54251	0.00509
Enterococcaceae	81852	F	267	3190	3457	0.00032
Lactobacillaceae	33958	F	107	2923	3030	0.00028
Staphylococcaceae	90964	F	405	253525	253930	0.02380
Bacillaceae	186817	F	80	27936	28016	0.00263
Paenibacillaceae	186822	F	20	14	34	0.00000
Clostridiaceae	31979	F	61	87	148	0.00001
Baculoviridae	10442	F	1986	0	1986	0.00019
Nairoviridae	1980415	F	29	0	29	0.00000
Mtkvariviridae	3680502	F	10	0	10	0.00000
Zimmerviridae	3700705	F	10	1465445	1465455	0.13737
