name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Clavicipitaceae	34397	F	320931	134865	455796	0.08082
Nectriaceae	110618	F	1424	443	1867	0.00033
Ophiocordycipitaceae	474942	F	730	6631	7361	0.00131
Hypocreaceae	5129	F	18	68	86	0.00002
Glomerellaceae	681950	F	82	783	865	0.00015
Aspergillaceae	1131492	F	57	405	462	0.00008
Pleosporaceae	28556	F	13	83	96	0.00002
Saccharomycetaceae	4893	F	417	1416	1833	0.00033
Pichiaceae	1156497	F	47	4067	4114	0.00073
Debaryomycetaceae	766764	F	36	1752	1788	0.00032
Cryptococcaceae	1884633	F	294	5593	5887	0.00104
Pucciniaceae	5262	F	71	12414	12485	0.00221
Malasseziaceae	742845	F	11	1399	1410	0.00025
Nosematidae	27974	F	594	13830	14424	0.00256
Unikaryonidae	36734	F	203	0	203	0.00004
Hominidae	9604	F	459930	1936378	2396308	0.42493
Plasmodiidae	1639119	F	33787	125519	159306	0.02825
Babesiidae	32594	F	17	36	53	0.00001
Sarcocystidae	5809	F	388	82	470	0.00008
Peronosporaceae	4777	F	243	0	243	0.00004
Thalassiosiraceae	29202	F	19	16	35	0.00001
Dictyosteliaceae	2058185	F	18196	20213	38409	0.00681
Trypanosomatidae	5654	F	210	8	218	0.00004
Hexamitidae	5739	F	12	0	12	0.00000
Vibrionaceae	641	F	81983	203554	285537	0.05063
Lysobacteraceae	32033	F	7204	45008	52212	0.00926
Enterobacteriaceae	543	F	420	581001	581421	0.10310
Erwiniaceae	1903409	F	10	28	38	0.00001
Pseudomonadaceae	135621	F	1090	115339	116429	0.02065
Alteromonadaceae	72275	F	22	28	50	0.00001
Anaplasmataceae	942	F	11772	4509	16281	0.00289
Rickettsiaceae	775	F	16	235	251	0.00004
Rhizobiaceae	82115	F	31	26	57	0.00001
Erythrobacteraceae	335929	F	16	1	17	0.00000
Burkholderiaceae	119060	F	43	52	95	0.00002
Comamonadaceae	80864	F	12	178	190	0.00003
Flavobacteriaceae	49546	F	144	184	328	0.00006
Weeksellaceae	2762318	F	14	37	51	0.00001
Candidatus Palauibacteraceae	3056649	F	16	0	16	0.00000
Akkermansiaceae	1647988	F	80	126	206	0.00004
Streptomycetaceae	2062	F	157411	235480	392891	0.06967
Streptosporangiaceae	2004	F	666	46	712	0.00013
Microbacteriaceae	85023	F	10	22	32	0.00001
Corynebacteriaceae	1653	F	13	0	13	0.00000
Micromonosporaceae	28056	F	11	1	12	0.00000
Streptococcaceae	1300	F	933	9795	10728	0.00190
Enterococcaceae	81852	F	150	1002	1152	0.00020
Lactobacillaceae	33958	F	49	653	702	0.00012
Staphylococcaceae	90964	F	304	101016	101320	0.01797
Bacillaceae	186817	F	35	3070	3105	0.00055
Paenibacillaceae	186822	F	11	6	17	0.00000
Clostridiaceae	31979	F	25	33	58	0.00001
Baculoviridae	10442	F	994	0	994	0.00018
Zimmerviridae	3700705	F	17	970614	970631	0.17212
Nairoviridae	1980415	F	11	0	11	0.00000
