name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Clavicipitaceae	34397	F	320444	134274	454718	0.08063
Nectriaceae	110618	F	1446	418	1864	0.00033
Ophiocordycipitaceae	474942	F	760	6801	7561	0.00134
Hypocreaceae	5129	F	14	69	83	0.00001
Glomerellaceae	681950	F	81	537	618	0.00011
Sordariaceae	5148	F	11	32	43	0.00001
Podosporaceae	2609812	F	10	57	67	0.00001
Aspergillaceae	1131492	F	51	381	432	0.00008
Onygenaceae	33184	F	11	590	601	0.00011
Pleosporaceae	28556	F	11	72	83	0.00001
Saccharomycetaceae	4893	F	377	1167	1544	0.00027
Debaryomycetaceae	766764	F	49	2972	3021	0.00054
Pichiaceae	1156497	F	39	2633	2672	0.00047
Cryptococcaceae	1884633	F	299	5650	5949	0.00105
Pucciniaceae	5262	F	75	12296	12371	0.00219
Malasseziaceae	742845	F	14	1795	1809	0.00032
Nosematidae	27974	F	532	13735	14267	0.00253
Unikaryonidae	36734	F	210	0	210	0.00004
Hominidae	9604	F	460677	1936088	2396765	0.42497
Plasmodiidae	1639119	F	33928	125639	159567	0.02829
Babesiidae	32594	F	19	30	49	0.00001
Sarcocystidae	5809	F	379	77	456	0.00008
Peronosporaceae	4777	F	231	1	232	0.00004
Thalassiosiraceae	29202	F	14	18	32	0.00001
Dictyosteliaceae	2058185	F	18215	20196	38411	0.00681
Trypanosomatidae	5654	F	190	9	199	0.00004
Hexamitidae	5739	F	14	0	14	0.00000
Vibrionaceae	641	F	82130	209534	291664	0.05172
Lysobacteraceae	32033	F	7143	42458	49601	0.00879
Enterobacteriaceae	543	F	442	653767	654209	0.11600
Erwiniaceae	1903409	F	14	31	45	0.00001
Pseudomonadaceae	135621	F	1103	123397	124500	0.02208
Alteromonadaceae	72275	F	22	21	43	0.00001
Anaplasmataceae	942	F	11956	4578	16534	0.00293
Rhizobiaceae	82115	F	27	30	57	0.00001
Erythrobacteraceae	335929	F	20	2	22	0.00000
Burkholderiaceae	119060	F	45	112	157	0.00003
Flavobacteriaceae	49546	F	156	178	334	0.00006
Weeksellaceae	2762318	F	15	35	50	0.00001
Candidatus Palauibacteraceae	3056649	F	17	0	17	0.00000
Akkermansiaceae	1647988	F	71	108	179	0.00003
Streptomycetaceae	2062	F	157546	224499	382045	0.06774
Streptosporangiaceae	2004	F	650	43	693	0.00012
Microbacteriaceae	85023	F	11	23	34	0.00001
Corynebacteriaceae	1653	F	14	0	14	0.00000
Streptococcaceae	1300	F	941	9884	10825	0.00192
Enterococcaceae	81852	F	138	951	1089	0.00019
Lactobacillaceae	33958	F	38	608	646	0.00011
Staphylococcaceae	90964	F	338	119511	119849	0.02125
Bacillaceae	186817	F	34	10607	10641	0.00189
Paenibacillaceae	186822	F	14	8	22	0.00000
Clostridiaceae	31979	F	32	47	79	0.00001
Baculoviridae	10442	F	1011	0	1011	0.00018
Nairoviridae	1980415	F	21	0	21	0.00000
Zimmerviridae	3700705	F	13	871728	871741	0.15457
