"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"LOC126319294",198.06073056356,-0.29671347516468,0.111601963212104,-2.65867612562303,0.00784483352773366,0.0241667820499633,"LOC126319294"
"LOC126319460",596.173696095513,0.452733093582938,0.108140483290583,4.18652737445609,2.8325478522039e-05,0.000214325041056514,"LOC126319460"
"LOC126320178",191.92753318155,0.622198315505609,0.152161492953256,4.089065527878,4.33114497726843e-05,0.000310103178798703,"LOC126320178"
"LOC126320326",51.5085275805253,-0.63327387164739,0.241851083545828,-2.61844545975496,0.00883314107497533,0.0267086402091746,"LOC126320326"
"LOC126320407",699.476574922731,1.06050948448701,0.113570499540155,9.33789574564692,9.82676123228077e-21,1.60831325501662e-18,"LOC126320407"
"LOC126320662",101.386263131179,0.370663471640312,0.145660428896433,2.5447094619216,0.0109368695131541,0.0318041175865434,"LOC126320662"
"LOC126320757",1895.56136524345,0.25069629497632,0.080560171335643,3.11191362704317,0.00185878874712816,0.00747039589874841,"LOC126320757"
"LOC126320910",3115.60961739761,-0.16957812475625,0.0620573089643343,-2.73260519326918,0.00628356025762496,0.0202412137897654,"LOC126320910"
"LOC126322280",514.931284608454,-0.263973494671666,0.0868907233345842,-3.03799398303086,0.00238158709871184,0.00913561926146496,"LOC126322280"
"LOC126322412",200.095926596077,-0.259930235465718,0.0992882924974494,-2.61793439012355,0.00884638124398448,0.0267346686100839,"LOC126322412"
"LOC126322565",474.648562172147,0.30199225526994,0.0943956345595375,3.19921844563126,0.00137800712848874,0.00582697548933001,"LOC126322565"
"LOC126325647",167.181431607957,1.313463424482,0.128158762604733,10.2487211782231,1.1991957882313e-24,3.18936113178348e-22,"LOC126325647"
"LOC126326117",1312.3450221116,0.233230229456093,0.0434632208481905,5.3661515392687,8.04343701557288e-08,1.34401200184298e-06,"LOC126326117"
"LOC126326285",460.736246978894,0.617109645862864,0.184997847172514,3.33576663347545,0.000850645375410258,0.00390342877875174,"LOC126326285"
"LOC126326589",812.331872096766,0.473987933019105,0.163938188260077,2.89126004166372,0.00383700484926754,0.0135537365538875,"LOC126326589"
"LOC126284877",91.7165814556865,1.20138429989289,0.169749807718271,7.07738239024572,1.46902770599433e-12,6.69552578545374e-11,"LOC126284877"
"LOC126327189",4439.12178161198,0.558691339667947,0.0838784782852732,6.66072335942745,2.724831113211e-11,9.68946907834309e-10,"LOC126327189"
"LOC126284900",13.6239874727497,0.953347578260724,0.350588526316374,2.71927774784168,0.00654246456999689,0.0209116431398549,"LOC126284900"
"LOC126329909",183.158834363426,-0.234451006362381,0.0876343870573019,-2.67533115977727,0.00746554663787604,0.0232055437981801,"LOC126329909"
"LOC126270168",78.7883929884729,0.660187189561984,0.232844872141994,2.83530912013981,0.00457813640326849,0.0156268688032421,"LOC126270168"
"LOC126330208",525.212476942521,0.266519307915271,0.0958012444519402,2.78200256625031,0.00540246129068538,0.0178904853013981,"LOC126330208"
