label	files	Sex	Treatment	Diet	Hour_Group_Post_Innoculation
1002	mehreen_1002_MERGE_counts.txt	Female	Control	83	96
1003	mehreen_1003_MERGE_counts.txt	Female	Control	33	96
1004	mehreen_1004_MERGE_counts.txt	Female	Control	50	96
1005	mehreen_1005_MERGE_counts.txt	Female	Control	83	96
1006	mehreen_1006_MERGE_counts.txt	Female	Control	33	96
1007	mehreen_1007_MERGE_counts.txt	Female	Control	50	96
1009	mehreen_1009_MERGE_counts.txt	Female	Control	33	96
1011	mehreen_1011_MERGE_counts.txt	Female	Control	83	96
1014	mehreen_1014_MERGE_counts.txt	Female	Infected	83	96
1015	mehreen_1015_MERGE_counts.txt	Female	Infected	33	96
1016	mehreen_1016_MERGE_counts.txt	Female	Infected	50	96
1018	mehreen_1018_MERGE_counts.txt	Female	Infected	33	96
1020	mehreen_1020_MERGE_counts.txt	Female	Infected	83	96
1021	mehreen_1021_MERGE_counts.txt	Female	Infected	33	96
1023	mehreen_1023_MERGE_counts.txt	Female	Infected	83	96
1024	mehreen_1024_MERGE_counts.txt	Female	Infected	33	96
1025	mehreen_1025_MERGE_counts.txt	Female	Infected	50	96
1027	mehreen_1027_MERGE_counts.txt	Female	Infected	33	96
1028	mehreen_1028_MERGE_counts.txt	Female	Infected	50	96
1029	mehreen_1029_MERGE_counts.txt	Female	Infected	83	96
1030	mehreen_1030_MERGE_counts.txt	Female	Control	33	96
1031	mehreen_1031_MERGE_counts.txt	Female	Control	50	96
1032	mehreen_1032_MERGE_counts.txt	Female	Control	83	96
1033	mehreen_1033_MERGE_counts.txt	Female	Control	33	96
1034	mehreen_1034_MERGE_counts.txt	Female	Control	50	96
1035	mehreen_1035_MERGE_counts.txt	Female	Control	83	96
1036	mehreen_1036_MERGE_counts.txt	Female	Control	33	96
1037	mehreen_1037_MERGE_counts.txt	Female	Control	50	96
1038	mehreen_1038_MERGE_counts.txt	Female	Control	83	96
1039	mehreen_1039_MERGE_counts.txt	Female	Control	33	96
1040	mehreen_1040_MERGE_counts.txt	Female	Control	50	96
1041	mehreen_1041_MERGE_counts.txt	Female	Control	83	96
1042	mehreen_1042_MERGE_counts.txt	Female	Infected	33	96
1043	mehreen_1043_MERGE_counts.txt	Female	Infected	50	96
1045	mehreen_1045_MERGE_counts.txt	Female	Infected	33	96
1046	mehreen_1046_MERGE_counts.txt	Female	Infected	50	96
1049	mehreen_1049_MERGE_counts.txt	Female	Infected	50	96
1050	mehreen_1050_MERGE_counts.txt	Female	Infected	83	96
1051	mehreen_1051_MERGE_counts.txt	Female	Infected	33	96
1052	mehreen_1052_MERGE_counts.txt	Female	Infected	50	96
1054	mehreen_1054_MERGE_counts.txt	Female	Infected	33	96
1055	mehreen_1055_MERGE_counts.txt	Female	Infected	50	96
1057	mehreen_1057_MERGE_counts.txt	Female	Infected	33	96
1058	mehreen_1058_MERGE_counts.txt	Female	Infected	50	96
