"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC126318536",90.7945344344895,0.0430436489991124,0.0782806782678585,0.238735523348732,0.929688723352532
"LOC126318656",9.27340781896786,-0.021829910685968,0.0913434802300051,0.222275805287563,0.92263299276408
"LOC126319294",75.9763543592274,-0.038524390478072,0.0849916564197828,0.160428109201253,0.882600160139793
"LOC126319460",22.4688734631583,-0.0140188102021774,0.0959018304273316,0.303475961714703,0.938505097080106
"LOC126320026",21.3050702771185,0.00335986932100467,0.0852964571731017,0.88574742266796,0.972254657837389
"LOC126320178",16.8025822866687,0.00306442147386276,0.0910257585190031,0.806633340444673,0.957270489212575
"LOC126320326",13.2603759461844,-0.0267022141703038,0.10505064095233,0.104668759687704,0.833678186212455
"LOC126320407",62.6372633201538,0.0103546650223945,0.089332526966517,0.515719527493491,0.948622106298284
"LOC126320662",23.9546015938845,0.0152856389178746,0.0824777814284359,0.608453622186102,0.949082319468304
"LOC126320757",95.3881466626182,-0.011349778779558,0.0858761675354188,0.611752325784978,0.949082319468304
"LOC126320910",285.659504206776,0.00839325585044388,0.0849567790202426,0.730558611918271,0.951275592664235
"LOC126322280",320.785925556319,0.00566776443124429,0.0807828285404966,0.862162083127633,0.965878447014558
"LOC126322412",96.0347885654786,0.0493967089922824,0.0815481211130899,0.133838419931382,0.870378347525671
"LOC126323097",9.37734717036788,-0.0130129245179094,0.0869005621897955,0.521999062907672,0.948622106298284
"LOC126322565",26.0262935468383,-0.0338067254632511,0.0844773212409765,0.218769197410663,0.921576386793037
"LOC126322939",17.6246486856452,-0.0154686925902463,0.0982776032421346,0.255866971776736,0.93380445230381
"LOC126323250",310.782512384169,0.0140581462862641,0.0724640447801873,0.733058670276373,0.951275592664235
"LOC126323807",562.814287899972,-0.00459106234425966,0.0818834200685314,0.881447588458351,0.971124132040142
"LOC126323387",174.888878581156,0.0371380778676115,0.0697693331086174,0.383576872670046,0.948622106298284
"LOC126324212",33.2554262996269,0.0524750622075004,0.0882787655937109,0.0571563845696727,0.74423649311844
"LOC126324319",537.191355973627,0.0076383157225492,0.0891310777569898,0.621912721126502,0.949082319468304
"LOC126325221",256.133661158481,-0.015569451500098,0.064806299885748,0.722485651127101,0.950978263107001
"LOC126326003",40.2230094324378,0.0129748851344733,0.0795086381303417,0.70736525971526,0.949691489574408
"LOC126326117",319.251490462087,0.0728667893383244,0.0724471858551931,0.0803024029304679,0.799907243828008
"LOC126326285",51.1013859667855,0.00378422593457402,0.0807776350940211,0.907716784963883,0.976870823782704
"LOC126326982",20.3047921430875,0.0490947614470641,0.0973379930550375,0.0413871054190831,0.688790278310806
"LOC126326589",118.049411668133,0.0161552968897661,0.087836949569976,0.403435145823862,0.948622106298284
"LOC126326728",198.697774784386,0.0547089847413597,0.0787841237840299,0.132446263363055,0.869163983813507
"LOC126284877",20.7685468100975,-0.09883432607093,0.21001800057868,0.00338327953966558,0.360435209922098
"LOC126327189",192.396277217344,-0.0417332633307116,0.0894254918668451,0.088127318679144,0.805488111177341
"LOC126328052",116.20484798178,0.0477708259780771,0.0798722308726352,0.170688875718452,0.891044939333441
"LOC126328694",60.139342945198,0.0273385730479163,0.0765860313679516,0.472617654228825,0.948622106298284
"LOC126328850",2.79322268841612,0.0360723070725019,0.155420643181513,0.0412204960191915,0.687795749557611
"LOC126328952",13.1633621262626,0.0123995563310903,0.0938606192317948,0.364746441359745,0.943672930877574
"LOC126329352",88.5831772844874,0.012327392531897,0.0826514037292168,0.6755089060428,0.949082319468304
"LOC126329909",112.535014288573,-0.0267299272127876,0.0824177572803069,0.378046024602245,0.948245408554266
"LOC126330208",544.031488018874,-7.75321393476815e-05,0.0852778173396141,0.997356173470573,0.998516615714049
"LOC126330470",422.640975688386,0.0413880000542331,0.0688909096966631,0.335350213316669,0.938539814032932
"LOC126331335",74.0135370450623,-0.0447092877689627,0.156327346688428,0.0261980264092713,0.635110607796393
"LOC126331179",3.5605059910358,-0.00819545933646492,0.0991465484759467,0.455794117218128,0.948622106298284
"LOC126331633",24.568918128739,0.012894337005534,0.0840064302312049,0.629219145036373,0.949082319468304
"LOC126331791",4.83683666839136,0.0876907169359958,0.366816089928898,0.00964624883243974,0.481519330309948
"LOC126331946",68.5210549372747,-0.0569167069480246,0.0837474510601559,0.0704602885065905,0.782592900086646
"LOC126332104",74.7261664450339,-0.032227930868311,0.0806343564697992,0.333166753626657,0.938539814032932
"LOC126333037",5.25236616607772,0.0188324894351482,0.0971819327731908,0.208667045804091,0.914427602968884
"LOC126333298",4.04257387841979,-0.000281879644064642,0.0948891845369311,0.978057719314485,0.993969172666197
"LOC126333611",20.3767019399019,-0.0260860095806403,0.0897493887472582,0.194354917489891,0.909448224526627
"LOC126333456",49.3808969956816,-0.0584878893084395,0.0844907921845067,0.060035328723703,0.752256571469486
"LOC126333765",41.02914406477,0.00471066269825661,0.0857036674774833,0.833289314394375,0.960777220323625
"LOC126334020",47.5434159670815,-0.0181831049416266,0.0854953025891447,0.446248496933138,0.948622106298284
"LOC126334429",356.568335503201,0.0421555232101489,0.0892883307506357,0.0872123093271373,0.804657791380345
"LOC126334511",268.131510491917,0.0102508387730326,0.0869084929327537,0.606438256770882,0.949082319468304
"LOC126334525",250.559284592757,0.0181907757210465,0.0953144092753644,0.23156272602839,0.92769515723681
"LOC126334532",16.2111390268015,0.00906094928602861,0.0874074794097216,0.627467061630149,0.949082319468304
"LOC126334539",75.2853115134217,-0.00838786832885117,0.0794638606077305,0.808436611849124,0.957270489212575
"LOC126334578",19.7172060177651,0.0117870133681945,0.0843768542743416,0.648408418072296,0.949082319468304
"LOC126334570",41.9345031477329,0.00591327774080587,0.081559916699285,0.850440664845503,0.96311836466314
"LOC126334620",30.7563667083622,-0.00938281175588228,0.0883962523873652,0.579777112516589,0.949082319468304
"LOC126334628",8.23797212012086,-0.00706318473487994,0.0888027964620485,0.655310822625666,0.949082319468304
"LOC126334652",77.7381381543704,0.0857420818475253,0.0767676415131596,0.0299807392213139,0.642668104415184
"LOC126334644",46.0859173418449,0.000659299991833388,0.0850611236786638,0.978036267066931,0.993969172666197
"LOC126334636",86.309173243466,-0.0362640469920237,0.0866582841245114,0.149831676495283,0.875818047094406
"LOC126334676",238.672840409653,-0.0581453926077464,0.0805254740301736,0.0941279405865964,0.817031433627351
"LOC126334692",927.397275737496,-0.0113824685275514,0.0812143995410549,0.721968831704484,0.950978263107001
"LOC126334712",1139.3169333817,-0.000960391605323894,0.0869350874065448,0.959844295740841,0.989087089780483
"LOC126334738",30.0999132225654,-0.0419333432843311,0.0899963713828434,0.0836906902937462,0.799907243828008
"LOC126334732",40.3177924569685,-0.00178603187798018,0.0851247461501199,0.940167077073018,0.984337743296697
"LOC126334747",28.8812946867751,0.0508654630387394,0.169645125249906,0.0192572949433219,0.593571391970753
"LOC126328798",66.3639939612153,-0.0158506392560449,0.0824529595945707,0.595994727787865,0.949082319468304
"LOC126334766",103.768812502035,0.00232065888928904,0.0823269355243772,0.938258657321766,0.98397842488399
"LOC126334773",111.966868631515,0.0191849263348082,0.0833894671013629,0.496697836433216,0.948622106298284
"LOC126334812",84.0049742894257,-0.0465419972859423,0.0864820177401099,0.0897478316042236,0.806691304041747
"LOC126333297",64.4039136854751,0.0994634529286485,0.394657008454145,0.00788064156094448,0.463216436919336
"LOC126334833",38.3482163491219,0.0035178617517231,0.0825302408762716,0.905323950052092,0.976263189033023
"LOC126334841",37.9780061054301,-0.0231136992318767,0.0862311240151713,0.319267005761062,0.938505097080106
"LOC126334849",72.4207027168234,-0.0513766928997907,0.0877110022578485,0.063094860463688,0.763550566982349
"LOC126334819",126.12049966517,0.0456565002930401,0.0818506130696022,0.157423897275009,0.881100259387461
