"Gene","n_samples_ge_minCount","kept"
"LOC126318536",44,TRUE
"LOC126285412",0,FALSE
"LOC126318656",37,TRUE
"LOC126318743",0,FALSE
"LOC126319294",44,TRUE
"LOC126319460",39,TRUE
"Trnat-agu",0,FALSE
"Trnas-uga",0,FALSE
"LOC126320026",42,TRUE
"LOC126320178",36,TRUE
"Trnaw-cca",0,FALSE
"LOC126320326",35,TRUE
"LOC126284887",0,FALSE
"LOC126320407",43,TRUE
"Trnam-cau",0,FALSE
"LOC126320662",44,TRUE
"LOC126320757",44,TRUE
"LOC126284843",0,FALSE
"LOC126284851",0,FALSE
"LOC126320910",44,TRUE
"LOC126284895",0,FALSE
"LOC126322280",44,TRUE
"LOC126322412",44,TRUE
"LOC126323097",34,TRUE
"LOC126322565",44,TRUE
"LOC126322939",36,TRUE
"LOC126323250",44,TRUE
"LOC126323807",44,TRUE
"LOC126323387",44,TRUE
"LOC126324212",43,TRUE
"LOC126324319",44,TRUE
"LOC126325221",44,TRUE
"LOC126284867",0,FALSE
"LOC126325647",0,FALSE
"LOC126326003",43,TRUE
"LOC126326117",44,TRUE
"LOC126326285",44,TRUE
"LOC126326982",43,TRUE
"LOC126326589",44,TRUE
"Trnal-caa",0,FALSE
"LOC126326728",44,TRUE
"LOC126284877",41,TRUE
"LOC126327189",44,TRUE
"LOC126328280",0,FALSE
"LOC126328052",44,TRUE
"Trnas-cga",0,FALSE
"Trnas-aga",0,FALSE
"Trnak-cuu",0,FALSE
"Trnaa-agc",0,FALSE
"Trnar-ucg",0,FALSE
"Trnak-uuu",0,FALSE
"Trnar-ccu",0,FALSE
"Trnan-auu",0,FALSE
"Trnai-aau",0,FALSE
"Trnap-cgg",0,FALSE
"LOC126352135",0,FALSE
"LOC126356727",0,FALSE
"LOC126358276",0,FALSE
"LOC126359838",0,FALSE
"LOC126284900",0,FALSE
"LOC126361403",0,FALSE
"LOC126362955",0,FALSE
"LOC126364494",0,FALSE
"LOC126365824",0,FALSE
"LOC126284907",0,FALSE
"LOC126266999",0,FALSE
"LOC126267679",0,FALSE
"LOC126268596",0,FALSE
"LOC126328694",44,TRUE
"LOC126328850",9,TRUE
"LOC126328952",34,TRUE
"LOC126329352",44,TRUE
"Trnas-gga",2,FALSE
"LOC126329909",44,TRUE
"Trnac-gca",0,FALSE
"Trnaa-cgc",0,FALSE
"LOC126270168",3,FALSE
"LOC126330208",44,TRUE
"LOC126330470",44,TRUE
"LOC126272481",0,FALSE
"LOC126273154",0,FALSE
"Trnal-cag",0,FALSE
"LOC126331023",0,FALSE
"Trnav-aac",0,FALSE
"LOC126331476",3,FALSE
"LOC126331335",43,TRUE
"LOC126331179",15,TRUE
"LOC126331633",42,TRUE
"LOC126331791",17,TRUE
"LOC126331946",43,TRUE
"LOC126332104",44,TRUE
"LOC126333037",25,TRUE
"LOC126333298",18,TRUE
"LOC126274441",0,FALSE
"LOC126333611",42,TRUE
"LOC126333456",44,TRUE
"LOC126333765",44,TRUE
"LOC126284920",0,FALSE
"LOC126276000",0,FALSE
"LOC126334020",44,TRUE
"LOC126277569",0,FALSE
"LOC126334172",2,FALSE
"LOC126334327",0,FALSE
"LOC126284929",0,FALSE
"LOC126334429",44,TRUE
"LOC126334511",44,TRUE
"LOC126334525",44,TRUE
"LOC126334532",41,TRUE
"LOC126334539",44,TRUE
"LOC126334578",41,TRUE
"LOC126334570",44,TRUE
"LOC126334603",0,FALSE
"LOC126334620",44,TRUE
"Trnag-acc",0,FALSE
"LOC126334628",34,TRUE
"LOC126334652",44,TRUE
"LOC126334644",44,TRUE
"LOC126334636",44,TRUE
"LOC126334670",0,FALSE
"LOC126334676",44,TRUE
"LOC126334687",4,FALSE
"LOC126334692",44,TRUE
"LOC126279107",3,FALSE
"LOC126334707",0,FALSE
"LOC126280616",0,FALSE
"LOC126281580",0,FALSE
"LOC126334712",44,TRUE
"LOC126334738",42,TRUE
"LOC126334732",44,TRUE
"LOC126282275",0,FALSE
"LOC126283677",0,FALSE
"LOC126334747",43,TRUE
"LOC126334754",1,FALSE
"LOC126294084",0,FALSE
"LOC126296614",0,FALSE
"LOC126297674",0,FALSE
"LOC126302972",0,FALSE
"LOC126304631",0,FALSE
"LOC126325927",0,FALSE
"LOC126284940",0,FALSE
"LOC126284946",0,FALSE
"LOC126327281",0,FALSE
"LOC126284953",0,FALSE
"LOC126284964",0,FALSE
"LOC126328798",44,TRUE
"LOC126334766",44,TRUE
"LOC126334773",44,TRUE
"LOC126334812",44,TRUE
"LOC126330262",0,FALSE
"LOC126331790",0,FALSE
"LOC126333297",38,TRUE
"LOC126334833",44,TRUE
"LOC126334841",44,TRUE
"LOC126334858",4,FALSE
"LOC126334849",44,TRUE
"LOC126334819",44,TRUE
"LOC126334861",34,TRUE
"LOC126334868",36,TRUE
"Trnar-ucu",0,FALSE
"LOC126334872",3,FALSE
"LOC126284976",0,FALSE
"LOC126334524",0,FALSE
"Trnar-ccg",0,FALSE
"LOC126284981",16,TRUE
"LOC126334722",0,FALSE
"LOC126334784",0,FALSE
"LOC126284990",4,FALSE
"LOC126334848",0,FALSE
"LOC126334883",0,FALSE
"LOC126334892",33,TRUE
"LOC126334921",32,TRUE
"LOC126334908",44,TRUE
"LOC126334901",44,TRUE
"LOC126334915",43,TRUE
"LOC126334979",0,FALSE
"LOC126335040",0,FALSE
"LOC126334924",44,TRUE
"LOC126334937",43,TRUE
"LOC126335101",0,FALSE
"LOC126334976",27,TRUE
"LOC126334946",43,TRUE
"LOC126334986",43,TRUE
"LOC126334981",38,TRUE
"LOC126334993",44,TRUE
"LOC126335000",43,TRUE
"LOC126335020",0,FALSE
"LOC126335013",40,TRUE
"LOC126335027",44,TRUE
"LOC126335077",11,TRUE
"LOC126335086",0,FALSE
"LOC126335093",0,FALSE
"LOC126335097",0,FALSE
"LOC126335062",0,FALSE
"LOC126335055",1,FALSE
"LOC126335124",1,FALSE
"LOC126335134",0,FALSE
"LOC126335176",0,FALSE
"LOC126335072",8,TRUE
"LOC126335112",0,FALSE
"LOC126335099",0,FALSE
"LOC126335116",0,FALSE
"LOC126335144",0,FALSE
"LOC126335210",1,FALSE
"LOC126335221",0,FALSE
"LOC126335215",0,FALSE
"LOC126335226",0,FALSE
"LOC126335194",0,FALSE
"LOC126335150",44,TRUE
"LOC126335201",43,TRUE
"LOC126335234",14,TRUE
