"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC126318536",90.7945344344895,-1.00633814608065e-06,0.00144266547521591,0.828316341430854,0.979558417876733
"LOC126318656",9.27340781896786,8.22108392490817e-07,0.00144268910118695,0.694007301290553,0.959158212035797
"LOC126319294",75.9763543592274,2.60982063070913e-06,0.00144268278375771,0.402600594618719,0.927352677225828
"LOC126319460",22.4688734631583,8.90050461854757e-07,0.00144269290128207,0.48614159671127,0.930930348428104
"LOC126320026",21.3050702771185,3.21860667204455e-06,0.00144268741986229,0.215960050508051,0.927352677225828
"LOC126320178",16.8025822866687,1.3260219408406e-06,0.00144269334609111,0.266516891204137,0.927352677225828
"LOC126320326",13.2603759461844,4.15003526855404e-07,0.00144269065321864,0.816074963833917,0.977818740973228
"LOC126320407",62.6372633201538,-3.1830885788939e-07,0.00144269173799201,0.839867595335801,0.98165554111378
"LOC126320662",23.9546015938845,-3.43764210925431e-06,0.00144267829397089,0.349647404409314,0.927352677225828
"LOC126320757",95.3881466626182,3.61473641151534e-06,0.00144268940207308,0.131037953968164,0.927352677225828
"LOC126320910",285.659504206776,7.5780686588399e-07,0.00144268602710513,0.765824602921884,0.970959581356646
"LOC126322280",320.785925556319,-6.289659720338e-07,0.00144267540440877,0.868369049692293,0.986205381119672
"LOC126322412",96.0347885654786,-7.02227627305454e-07,0.00144267496200106,0.854173836204992,0.983998217883544
"LOC126323097",9.37734717036788,1.81182910700053e-06,0.00144268673683937,0.474292452768011,0.930930348428104
"LOC126322565",26.0262935468383,-1.56009772557735e-06,0.00144268061634752,0.634275940973951,0.946408691542612
"LOC126322939",17.6246486856452,-1.25181433169448e-06,0.00144269334651818,0.298161764368927,0.927352677225828
"LOC126323250",310.782512384169,6.7096280411229e-06,0.00144265059813398,0.274325724667355,0.927352677225828
"LOC126323807",562.814287899972,2.12735243049284e-06,0.00144267894955446,0.540610985869999,0.936653285644075
"LOC126323387",174.888878581156,1.26201932245303e-05,0.0014426544244608,0.0718495122234777,0.927352677225828
"LOC126324212",33.2554262996269,5.36501221719193e-06,0.0014426871057221,0.0789443118208655,0.927352677225828
"LOC126324319",537.191355973627,-1.59333581432404e-06,0.00144269253101964,0.277369563367194,0.927352677225828
"LOC126325221",256.133661158481,9.37790626208771e-06,0.00144261101660068,0.268110035662068,0.927352677225828
"LOC126326003",40.2230094324378,2.54296012362668e-06,0.00144266790308531,0.574623233903042,0.938283274542864
"LOC126326117",319.251490462087,1.21102599736057e-05,0.00144266596949473,0.0532659680774904,0.927352677225828
"LOC126326285",51.1013859667855,2.95646016495516e-06,0.00144267387872366,0.464813325806359,0.9292549907291
"LOC126326982",20.3047921430875,1.23661349509965e-06,0.00144268720143584,0.607586924060074,0.942046318980362
"LOC126326589",118.049411668133,1.69697286062138e-06,0.00144269023080779,0.384858627310001,0.927352677225828
"LOC126326728",198.697774784386,6.05467255519579e-06,0.00144267225311741,0.187267822079518,0.927352677225828
"LOC126284877",20.7685468100975,-3.18683509274355e-06,0.00144268866610622,0.189547077917881,0.927352677225828
"LOC126327189",192.396277217344,-4.30370800688533e-06,0.00144268975627684,0.0828088259923398,0.927352677225828
"LOC126328052",116.20484798178,-1.22623241617512e-06,0.00144267079042925,0.771275983353803,0.971279633463887
"LOC126328694",60.139342945198,-4.31857458603578e-06,0.00144265662334064,0.430256778112817,0.927352677225828
"LOC126328850",2.79322268841612,2.27224690066532e-06,0.00144269386732977,0.0592176464220868,0.927352677225828
"LOC126328952",13.1633621262626,-1.79225124451443e-07,0.00144269293705368,0.886306704648631,0.988150525542466
"LOC126329352",88.5831772844874,8.9234617617208e-07,0.0014426800509986,0.785191559210452,0.973668013913298
"LOC126329909",112.535014288573,3.31739157447508e-06,0.0014426793365787,0.352713492800471,0.927352677225828
"LOC126330208",544.031488018874,-2.39193418231972e-07,0.00144268690872455,0.922133558327091,0.990812983941529
"LOC126330470",422.640975688386,-9.30942184082349e-06,0.00144264274981309,0.18112790089587,0.927352677225828
"LOC126331335",74.0135370450623,1.64977334016017e-07,0.00144269192978456,0.909809582973613,0.990371883419962
"LOC126331179",3.5605059910358,-5.43129191807918e-07,0.00144269398447504,0.534809462064726,0.935072423953103
