.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
mehreen_1002_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1002_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1003_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1003_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1004_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1004_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1005_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1005_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1006_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1006_MERGE_2_val_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
mehreen_1007_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1007_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1009_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1009_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1011_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1011_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1014_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1014_MERGE_2_val_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.25	1
mehreen_1015_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1015_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1016_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1016_MERGE_2_val_2	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
mehreen_1018_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1018_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1020_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1020_MERGE_2_val_2	1	1	0.25	1	0.25	0.5	1	0.5	0.25	0.25	1
mehreen_1021_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1021_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1023_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1023_MERGE_2_val_2	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
mehreen_1024_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1024_MERGE_2_val_2	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
mehreen_1025_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1025_MERGE_2_val_2	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
mehreen_1027_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1027_MERGE_2_val_2	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
mehreen_1028_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1028_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1029_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1029_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1030_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1030_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1031_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1031_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1032_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1032_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1033_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1033_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1034_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1034_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1035_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1035_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1036_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1036_MERGE_2_val_2	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
mehreen_1037_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1037_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1038_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1038_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.5	1
mehreen_1039_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1039_MERGE_2_val_2	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
mehreen_1040_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1040_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1041_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1041_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1042_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1042_MERGE_2_val_2	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
mehreen_1043_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1043_MERGE_2_val_2	1	1	0.25	1	0.5	0.25	1	0.5	0.25	0.25	1
mehreen_1045_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1045_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1046_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1046_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1049_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1049_MERGE_2_val_2	1	1	0.25	1	0.5	0.5	1	0.5	0.25	0.25	1
mehreen_1050_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1050_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1051_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1051_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1052_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1052_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1054_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1054_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1055_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1055_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1057_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1057_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1058_MERGE_1_val_1	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
mehreen_1058_MERGE_2_val_2	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
