Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
mehreen_1002_MERGE_1_val_1	(13.0, 11.0)	(14.0, 130.0)	(15.0, 584.0)	(16.0, 1580.0)	(17.0, 3313.0)	(18.0, 5747.0)	(19.0, 9129.0)	(20.0, 12588.0)	(21.0, 17740.0)	(22.0, 24224.0)	(23.0, 34144.0)	(24.0, 45365.0)	(25.0, 60797.0)	(26.0, 75123.0)	(27.0, 91836.0)	(28.0, 107163.0)	(29.0, 125744.0)	(30.0, 145915.0)	(31.0, 173024.0)	(32.0, 207254.0)	(33.0, 259295.0)	(34.0, 343489.0)	(35.0, 491193.0)	(36.0, 818477.0)	(37.0, 1473704.0)	(38.0, 3796580.0)	(39.0, 37476768.0)	(40.0, 17536872.0)					
mehreen_1002_MERGE_2_val_2	(9.0, 1.0)	(10.0, 14.0)	(11.0, 120.0)	(12.0, 672.0)	(13.0, 2978.0)	(14.0, 8966.0)	(15.0, 18424.0)	(16.0, 25758.0)	(17.0, 28234.0)	(18.0, 28942.0)	(19.0, 31687.0)	(20.0, 35838.0)	(21.0, 42499.0)	(22.0, 49469.0)	(23.0, 59381.0)	(24.0, 68462.0)	(25.0, 80615.0)	(26.0, 90264.0)	(27.0, 101569.0)	(28.0, 113489.0)	(29.0, 129543.0)	(30.0, 149343.0)	(31.0, 175010.0)	(32.0, 211511.0)	(33.0, 264664.0)	(34.0, 354798.0)	(35.0, 499679.0)	(36.0, 812359.0)	(37.0, 1457453.0)	(38.0, 3597114.0)	(39.0, 35701711.0)	(40.0, 19197222.0)	
mehreen_1003_MERGE_1_val_1	(12.0, 1.0)	(13.0, 11.0)	(14.0, 149.0)	(15.0, 603.0)	(16.0, 1613.0)	(17.0, 3328.0)	(18.0, 5875.0)	(19.0, 8712.0)	(20.0, 12295.0)	(21.0, 16851.0)	(22.0, 22492.0)	(23.0, 30893.0)	(24.0, 41058.0)	(25.0, 54307.0)	(26.0, 66695.0)	(27.0, 81455.0)	(28.0, 94938.0)	(29.0, 109597.0)	(30.0, 127248.0)	(31.0, 149612.0)	(32.0, 180390.0)	(33.0, 223649.0)	(34.0, 298134.0)	(35.0, 427205.0)	(36.0, 717141.0)	(37.0, 1309237.0)	(38.0, 3420590.0)	(39.0, 33299595.0)	(40.0, 14969996.0)				
mehreen_1003_MERGE_2_val_2	(9.0, 1.0)	(10.0, 12.0)	(11.0, 122.0)	(12.0, 612.0)	(13.0, 2660.0)	(14.0, 9049.0)	(15.0, 19249.0)	(16.0, 27191.0)	(17.0, 29202.0)	(18.0, 29799.0)	(19.0, 31867.0)	(20.0, 35868.0)	(21.0, 41756.0)	(22.0, 48016.0)	(23.0, 57263.0)	(24.0, 65785.0)	(25.0, 77548.0)	(26.0, 86837.0)	(27.0, 97101.0)	(28.0, 107349.0)	(29.0, 121448.0)	(30.0, 138140.0)	(31.0, 160528.0)	(32.0, 192991.0)	(33.0, 240826.0)	(34.0, 324167.0)	(35.0, 468024.0)	(36.0, 771970.0)	(37.0, 1400108.0)	(38.0, 3527544.0)	(39.0, 32056078.0)	(40.0, 15504559.0)	
mehreen_1004_MERGE_1_val_1	(13.0, 9.0)	(14.0, 94.0)	(15.0, 459.0)	(16.0, 1439.0)	(17.0, 3252.0)	(18.0, 5981.0)	(19.0, 9608.0)	(20.0, 13295.0)	(21.0, 18647.0)	(22.0, 25204.0)	(23.0, 34966.0)	(24.0, 46347.0)	(25.0, 61976.0)	(26.0, 77329.0)	(27.0, 94741.0)	(28.0, 111760.0)	(29.0, 130437.0)	(30.0, 153298.0)	(31.0, 182606.0)	(32.0, 220990.0)	(33.0, 276242.0)	(34.0, 375752.0)	(35.0, 543597.0)	(36.0, 926146.0)	(37.0, 1756741.0)	(38.0, 4819209.0)	(39.0, 43011850.0)	(40.0, 15873712.0)					
mehreen_1004_MERGE_2_val_2	(9.0, 4.0)	(10.0, 22.0)	(11.0, 164.0)	(12.0, 902.0)	(13.0, 3474.0)	(14.0, 9403.0)	(15.0, 18411.0)	(16.0, 25701.0)	(17.0, 27957.0)	(18.0, 29123.0)	(19.0, 32110.0)	(20.0, 36545.0)	(21.0, 42783.0)	(22.0, 49863.0)	(23.0, 60407.0)	(24.0, 69950.0)	(25.0, 82821.0)	(26.0, 93678.0)	(27.0, 106810.0)	(28.0, 120539.0)	(29.0, 138566.0)	(30.0, 160348.0)	(31.0, 191124.0)	(32.0, 238392.0)	(33.0, 305761.0)	(34.0, 427846.0)	(35.0, 628804.0)	(36.0, 1024646.0)	(37.0, 1826157.0)	(38.0, 4507600.0)	(39.0, 39805095.0)	(40.0, 18710681.0)	
mehreen_1005_MERGE_1_val_1	(10.0, 1.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 16.0)	(14.0, 169.0)	(15.0, 707.0)	(16.0, 2051.0)	(17.0, 4358.0)	(18.0, 7664.0)	(19.0, 11915.0)	(20.0, 16450.0)	(21.0, 22570.0)	(22.0, 30230.0)	(23.0, 42138.0)	(24.0, 54936.0)	(25.0, 72757.0)	(26.0, 89201.0)	(27.0, 107626.0)	(28.0, 123482.0)	(29.0, 143237.0)	(30.0, 165127.0)	(31.0, 193290.0)	(32.0, 229466.0)	(33.0, 284139.0)	(34.0, 376365.0)	(35.0, 530211.0)	(36.0, 877034.0)	(37.0, 1567772.0)	(38.0, 3955735.0)	(39.0, 40386305.0)	(40.0, 19225266.0)		
mehreen_1005_MERGE_2_val_2	(9.0, 1.0)	(10.0, 20.0)	(11.0, 127.0)	(12.0, 784.0)	(13.0, 3503.0)	(14.0, 11424.0)	(15.0, 23432.0)	(16.0, 33430.0)	(17.0, 36638.0)	(18.0, 37662.0)	(19.0, 40754.0)	(20.0, 46153.0)	(21.0, 53675.0)	(22.0, 62752.0)	(23.0, 75021.0)	(24.0, 86815.0)	(25.0, 101077.0)	(26.0, 112224.0)	(27.0, 126785.0)	(28.0, 139963.0)	(29.0, 158712.0)	(30.0, 180217.0)	(31.0, 210045.0)	(32.0, 252239.0)	(33.0, 315029.0)	(34.0, 427160.0)	(35.0, 618112.0)	(36.0, 1028994.0)	(37.0, 1864941.0)	(38.0, 4522483.0)	(39.0, 38955937.0)	(40.0, 18994111.0)	
mehreen_1006_MERGE_1_val_1	(12.0, 2.0)	(13.0, 13.0)	(14.0, 165.0)	(15.0, 788.0)	(16.0, 2240.0)	(17.0, 4786.0)	(18.0, 8283.0)	(19.0, 12590.0)	(20.0, 17916.0)	(21.0, 24786.0)	(22.0, 33731.0)	(23.0, 47525.0)	(24.0, 63248.0)	(25.0, 83633.0)	(26.0, 103918.0)	(27.0, 126827.0)	(28.0, 147903.0)	(29.0, 171688.0)	(30.0, 200020.0)	(31.0, 235818.0)	(32.0, 282394.0)	(33.0, 348095.0)	(34.0, 461891.0)	(35.0, 657140.0)	(36.0, 1071029.0)	(37.0, 1877126.0)	(38.0, 4644257.0)	(39.0, 44052436.0)	(40.0, 22608125.0)				
mehreen_1006_MERGE_2_val_2	(9.0, 3.0)	(10.0, 26.0)	(11.0, 95.0)	(12.0, 574.0)	(13.0, 2552.0)	(14.0, 9108.0)	(15.0, 20355.0)	(16.0, 30848.0)	(17.0, 33886.0)	(18.0, 35512.0)	(19.0, 39572.0)	(20.0, 45461.0)	(21.0, 54359.0)	(22.0, 64775.0)	(23.0, 79393.0)	(24.0, 94172.0)	(25.0, 111729.0)	(26.0, 125390.0)	(27.0, 141954.0)	(28.0, 159168.0)	(29.0, 182032.0)	(30.0, 208372.0)	(31.0, 244898.0)	(32.0, 296402.0)	(33.0, 375451.0)	(34.0, 521001.0)	(35.0, 774501.0)	(36.0, 1270198.0)	(37.0, 2170888.0)	(38.0, 4774591.0)	(39.0, 40438577.0)	(40.0, 24982530.0)	
mehreen_1007_MERGE_1_val_1	(11.0, 1.0)	(12.0, 1.0)	(13.0, 14.0)	(14.0, 104.0)	(15.0, 551.0)	(16.0, 1673.0)	(17.0, 3756.0)	(18.0, 6610.0)	(19.0, 10214.0)	(20.0, 14258.0)	(21.0, 19716.0)	(22.0, 25827.0)	(23.0, 35219.0)	(24.0, 45964.0)	(25.0, 60217.0)	(26.0, 73689.0)	(27.0, 89303.0)	(28.0, 103233.0)	(29.0, 118585.0)	(30.0, 138112.0)	(31.0, 162228.0)	(32.0, 193012.0)	(33.0, 239488.0)	(34.0, 319467.0)	(35.0, 448216.0)	(36.0, 736947.0)	(37.0, 1332322.0)	(38.0, 3395422.0)	(39.0, 33590846.0)	(40.0, 15411105.0)			
