Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
mehreen_1002_MERGE_1_val_1	(1.0, 8.131582066401396)	(2.0, 2.170689685838339)	(3.0, 0.7455466261435292)	(4.0, 0.4155729544114508)	(5.0, 0.28649837577584164)	(6.0, 0.2210249885989738)	(7.0, 0.1844001271699438)	(8.0, 0.15839329104395436)	(9.0, 0.14003400907195337)	('>10', 2.240983313089388)	('>50', 1.2156738870859156)	('>100', 3.9031730642346005)	('>500', 2.117998869846101)	('>1k', 6.186107732933623)	('>5k', 3.436466740439853)	('>10k+', 68.4458542679152)
mehreen_1002_MERGE_2_val_2	(1.0, 8.877638246065821)	(2.0, 2.084485825256346)	(3.0, 0.7166744061381242)	(4.0, 0.3590610601184729)	(5.0, 0.25976436733559116)	(6.0, 0.2037364296317634)	(7.0, 0.17582380389339997)	(8.0, 0.1457607003689194)	(9.0, 0.12919258132219608)	('>10', 2.278046139855605)	('>50', 1.307043109338632)	('>100', 3.8703253622637934)	('>500', 1.875899627643822)	('>1k', 5.879393560801899)	('>5k', 5.273256020064986)	('>10k+', 66.56389875990067)
mehreen_1003_MERGE_1_val_1	(1.0, 13.686724875394274)	(2.0, 3.2899355687235814)	(3.0, 1.1566932337265012)	(4.0, 0.6284345232133441)	(5.0, 0.4044621731298545)	(6.0, 0.3000328743533271)	(7.0, 0.2717845918898585)	(8.0, 0.220540727556057)	(9.0, 0.1931911369122207)	('>10', 2.915663960919905)	('>50', 1.4249504780502573)	('>100', 3.9025951495412396)	('>500', 1.9233596799137043)	('>1k', 5.704628394095991)	('>5k', 3.3988452812236956)	('>10k+', 60.57815735135621)
mehreen_1003_MERGE_2_val_2	(1.0, 15.031864873676431)	(2.0, 3.183254575184108)	(3.0, 1.0208262584650956)	(4.0, 0.5372391369894858)	(5.0, 0.35523871783206773)	(6.0, 0.28698793785271937)	(7.0, 0.22786861862316188)	(8.0, 0.20881571227485646)	(9.0, 0.18140101788082286)	('>10', 2.8752009993895338)	('>50', 1.3575479005560502)	('>100', 3.6081466611290796)	('>500', 1.5914720172539958)	('>1k', 6.15517145252316)	('>5k', 6.289394797854565)	('>10k+', 57.08956932251493)
mehreen_1004_MERGE_1_val_1	(1.0, 16.168615096977206)	(2.0, 4.036495194166397)	(3.0, 1.4317054436886658)	(4.0, 0.7270687496213608)	(5.0, 0.47455196125774735)	(6.0, 0.363368130549695)	(7.0, 0.27844042663745794)	(8.0, 0.23466622576403762)	(9.0, 0.1916422935333326)	('>10', 2.9110166809319216)	('>50', 1.3371686386764403)	('>100', 3.84495458255426)	('>500', 1.9497767386251272)	('>1k', 5.747459369578226)	('>5k', 3.626287540877151)	('>10k+', 56.67678292656097)
mehreen_1004_MERGE_2_val_2	(1.0, 17.92351442404435)	(2.0, 3.76526609545183)	(3.0, 1.1719558917193607)	(4.0, 0.5559224460756108)	(5.0, 0.3640488076839957)	(6.0, 0.26711571726335787)	(7.0, 0.23625765107324254)	(8.0, 0.1847613202589058)	(9.0, 0.17443110527562972)	('>10', 2.6424253422812134)	('>50', 1.2953406763415969)	('>100', 3.6868056694385767)	('>500', 1.7569327121502165)	('>1k', 6.105087621440201)	('>5k', 5.992226339714559)	('>10k+', 53.87790817978748)
mehreen_1005_MERGE_1_val_1	(1.0, 13.084364940657508)	(2.0, 3.355032917461674)	(3.0, 1.1846519401973956)	(4.0, 0.6101393699393381)	(5.0, 0.40361359329686775)	(6.0, 0.3254167574154609)	(7.0, 0.2504905521451632)	(8.0, 0.21570695693889355)	(9.0, 0.18848435007444153)	('>10', 2.742887453485739)	('>50', 1.284288420246699)	('>100', 3.474925429585138)	('>500', 1.8324305962762033)	('>1k', 4.998806887488703)	('>5k', 3.7876308557897524)	('>10k+', 62.26112897900098)
mehreen_1005_MERGE_2_val_2	(1.0, 14.569182710207574)	(2.0, 3.2215451494549936)	(3.0, 1.0186938762865034)	(4.0, 0.5246278475845884)	(5.0, 0.35971934431654823)	(6.0, 0.278944588681907)	(7.0, 0.2240461486985737)	(8.0, 0.1952406829625607)	(9.0, 0.1717890369528621)	('>10', 2.674766463695116)	('>50', 1.220877743617862)	('>100', 3.187534343573057)	('>500', 1.408066257734994)	('>1k', 5.2601247009211)	('>5k', 5.571510348381843)	('>10k+', 60.11333075692994)
mehreen_1006_MERGE_1_val_1	(1.0, 8.697815118268199)	(2.0, 2.392114852898903)	(3.0, 0.8648352894700907)	(4.0, 0.4446697226548022)	(5.0, 0.29407530397301146)	(6.0, 0.222149683680318)	(7.0, 0.1867167891843357)	(8.0, 0.1743091801285277)	(9.0, 0.15577715240916185)	('>10', 2.439163513346774)	('>50', 1.2645745719791517)	('>100', 3.736119585445672)	('>500', 2.082314703848755)	('>1k', 6.3289800520013335)	('>5k', 3.457397287700171)	('>10k+', 67.25898719301084)
mehreen_1006_MERGE_2_val_2	(1.0, 9.471922600234125)	(2.0, 2.326303638709881)	(3.0, 0.7518660614104549)	(4.0, 0.3955216638648642)	(5.0, 0.26630244797898267)	(6.0, 0.2089539029689543)	(7.0, 0.1881150037751829)	(8.0, 0.1513083623313657)	(9.0, 0.14911668392357777)	('>10', 2.387382034475603)	('>50', 1.2471653444699236)	('>100', 3.550217510816067)	('>500', 1.8217204510112897)	('>1k', 6.343324770593288)	('>5k', 5.762668413661809)	('>10k+', 64.97811110977464)
