Sample,InputReads,UniquelyMappedPercent,MultiMappedPercent,TooManyLociPercent,UnmappedTooShortPercent,UnmappedOtherPercent
mehreen_1002_MERGE,63337789,14.19,10.91,19.28,21.03,34.58
mehreen_1003_MERGE,55673670,19.18,10.46,13.76,24.69,31.91
mehreen_1004_MERGE,68775687,22.52,10.20,13.71,23.39,30.17
mehreen_1005_MERGE,68520220,17.87,10.42,15.69,22.81,33.20
mehreen_1006_MERGE,77288373,12.14,13.03,17.35,30.92,26.56
mehreen_1007_MERGE,56576100,24.29,12.76,13.12,21.87,27.97
mehreen_1009_MERGE,78468200,21.02,9.36,15.31,23.93,30.38
mehreen_1011_MERGE,67378009,17.79,10.55,15.28,27.60,28.76
mehreen_1014_MERGE,110149297,8.88,12.45,23.53,20.49,34.65
mehreen_1015_MERGE,74321408,17.56,10.53,18.79,23.20,29.92
mehreen_1016_MERGE,100292513,7.41,11.95,25.29,14.93,40.42
mehreen_1018_MERGE,95654776,26.37,9.04,12.62,26.54,25.42
mehreen_1020_MERGE,89483431,15.14,12.80,20.14,23.27,28.64
mehreen_1021_MERGE,87159898,20.43,10.80,17.21,23.88,27.67
mehreen_1023_MERGE,81494478,10.49,10.77,22.59,18.06,38.09
mehreen_1024_MERGE,83152912,12.83,12.85,22.37,20.75,31.20
mehreen_1025_MERGE,82132013,22.38,8.42,14.25,28.97,25.98
mehreen_1027_MERGE,123946304,9.03,11.16,24.14,16.23,39.43
mehreen_1028_MERGE,86501075,19.20,10.87,14.41,22.00,33.52
mehreen_1029_MERGE,70592336,24.26,8.12,10.73,30.16,26.73
mehreen_1030_MERGE,123592467,22.23,9.14,12.74,23.30,32.60
mehreen_1031_MERGE,79694243,21.43,11.94,13.72,26.29,26.62
mehreen_1032_MERGE,88168678,21.72,10.76,14.76,25.78,26.99
mehreen_1033_MERGE,91800624,25.20,10.09,11.65,23.46,29.60
mehreen_1034_MERGE,83358128,20.14,10.16,15.16,21.55,32.99
mehreen_1035_MERGE,86788032,21.56,9.17,15.96,22.59,30.73
mehreen_1036_MERGE,92666715,20.19,10.39,15.20,24.47,29.75
mehreen_1037_MERGE,85299246,22.58,11.02,12.55,24.72,29.12
mehreen_1038_MERGE,99561179,15.83,12.25,17.33,28.87,25.72
mehreen_1039_MERGE,68488210,31.24,9.86,9.55,26.87,22.48
mehreen_1040_MERGE,75252646,24.17,8.56,12.24,27.50,27.52
mehreen_1041_MERGE,63422540,19.24,10.37,14.24,29.58,26.57
mehreen_1042_MERGE,80726717,21.45,9.13,13.54,29.17,26.70
mehreen_1043_MERGE,99975184,19.52,10.07,17.29,22.93,30.20
mehreen_1045_MERGE,82290947,21.40,10.08,13.87,28.00,26.64
mehreen_1046_MERGE,81042454,18.29,12.75,18.90,25.26,24.81
mehreen_1049_MERGE,97394059,18.31,10.94,19.80,28.24,22.71
mehreen_1050_MERGE,77994839,20.96,10.17,14.99,25.38,28.50
mehreen_1051_MERGE,73265194,21.94,10.37,14.01,25.55,28.13
mehreen_1052_MERGE,75961650,17.63,11.74,17.34,25.62,27.67
mehreen_1054_MERGE,86481255,17.85,10.35,18.42,22.75,30.63
mehreen_1055_MERGE,86042921,18.91,11.42,17.87,21.97,29.84
mehreen_1057_MERGE,71108657,25.24,9.08,13.75,26.97,24.96
mehreen_1058_MERGE,66586512,11.47,12.83,17.74,32.91,25.06
