Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
mehreen_1002_MERGE_1_val_1	(1, 38.07686774478345)	(2, 38.624487839321326)	(3, 38.778027553187876)	(4, 39.03842076015631)	(5, 39.06342981123007)	(6, 39.24438712251228)	(7, 39.266300959763534)	(8, 39.304259231404494)	(9, 39.32126661383775)	(10, 39.269910908952)	(15, 39.500389462600275)	(20, 39.480744150010025)	(25, 39.47322559311474)	(30, 39.42724372651143)	(35, 39.51405101621696)	(40, 39.48188999909654)	(45, 39.411345308272125)	(50, 39.3947037831036)	(55, 39.40502681612294)	(60, 39.40723829471649)	(65, 39.42638908296625)	(70, 39.3900380118951)	(75, 39.386395981191704)	(80, 39.369683874468095)	(85, 39.331903547785835)	(90, 39.37893019958002)	(95, 39.32813769112324)	(100, 39.33376125428024)	(105, 39.30524220812485)	(110, 39.28742480748897)	(115, 39.23115575012447)	(120, 39.205833640926954)	(125, 39.19797086950653)	(130, 39.17590599943312)	(135, 39.20173683091977)	(140, 39.1146029818455)	(145, 39.28556661795997)
mehreen_1002_MERGE_2_val_2	(1, 38.619001588451404)	(2, 38.66532355589489)	(3, 38.85583168998842)	(4, 39.12124644894062)	(5, 39.14452304294992)	(6, 39.261263824665555)	(7, 39.29861009199421)	(8, 39.35351696599324)	(9, 39.347741567044594)	(10, 39.33336115032371)	(15, 39.38863266919532)	(20, 39.3747391574055)	(25, 39.39930362339142)	(30, 39.40644292983684)	(35, 39.37335662133151)	(40, 39.35892849441342)	(45, 39.33749414949897)	(50, 39.329237852521445)	(55, 39.280218169643916)	(60, 39.26465291323994)	(65, 39.27645801723695)	(70, 39.23362684993087)	(75, 39.286431070381056)	(80, 39.269775337917324)	(85, 39.260788067354696)	(90, 39.20727083155391)	(95, 39.203755558648766)	(100, 39.23478113504321)	(105, 39.16078479613903)	(110, 39.21358176085578)	(115, 39.16012074562955)	(120, 39.12048689476576)	(125, 39.08695006769989)	(130, 39.08601063785418)	(135, 39.02609756495436)	(140, 39.05697677498643)	(145, 39.12607302030741)
mehreen_1003_MERGE_1_val_1	(1, 38.27281630616412)	(2, 38.52501724783008)	(3, 38.69250227261828)	(4, 38.903767543975455)	(5, 39.1687370349395)	(6, 39.16629345613465)	(7, 39.20991567468069)	(8, 39.175360596849465)	(9, 39.267473062221335)	(10, 39.2584297568312)	(15, 39.493266044792804)	(20, 39.5018652652672)	(25, 39.48739502102849)	(30, 39.44327063565602)	(35, 39.51357703338759)	(40, 39.4756674737104)	(45, 39.39726216305681)	(50, 39.391034770691356)	(55, 39.38107539054021)	(60, 39.390900487242575)	(65, 39.40442551608473)	(70, 39.36408597480079)	(75, 39.384795907722165)	(80, 39.3670135412212)	(85, 39.34293911009517)	(90, 39.37484574316121)	(95, 39.31624438430372)	(100, 39.32254548673829)	(105, 39.30888566714115)	(110, 39.29607157105567)	(115, 39.24252958593777)	(120, 39.228777717818176)	(125, 39.23710294888498)	(130, 39.20871053670774)	(135, 39.22244375150808)	(140, 39.16550524692783)	(145, 39.304812979459356)
mehreen_1003_MERGE_2_val_2	(1, 38.527277346724226)	(2, 38.5924641935766)	(3, 38.80266603584783)	(4, 39.06478911844683)	(5, 39.095310440285324)	(6, 39.208514761107004)	(7, 39.24915386393604)	(8, 39.30437946699041)	(9, 39.29952749657064)	(10, 39.30948179633209)	(15, 39.36924999196209)	(20, 39.352117833985886)	(25, 39.35927072323348)	(30, 39.356808378400785)	(35, 39.32473457036997)	(40, 39.30931678361709)	(45, 39.28404706813988)	(50, 39.2747878993701)	(55, 39.22271573956673)	(60, 39.2257726352329)	(65, 39.24387505469771)	(70, 39.24218899033834)	(75, 39.24237883140438)	(80, 39.21848668035525)	(85, 39.190893413829045)	(90, 39.162116517796974)	(95, 39.14181254797298)	(100, 39.16109541651701)	(105, 39.09567276591059)	(110, 39.13062809437316)	(115, 39.07358696394494)	(120, 39.048486062012195)	(125, 39.00917145452528)	(130, 38.994025129194426)	(135, 38.93621680877853)	(140, 38.9483434810247)	(145, 39.04395653471377)
mehreen_1004_MERGE_1_val_1	(1, 37.58239591267187)	(2, 38.585707475375706)	(3, 38.67234787491108)	(4, 38.82295851148677)	(5, 38.992746637340026)	(6, 38.95544607209813)	(7, 38.97837879830993)	(8, 39.092078745792826)	(9, 39.21134365404449)	(10, 39.240255682215135)	(15, 39.505662139005594)	(20, 39.50599112198721)	(25, 39.48997247733227)	(30, 39.46235308466034)	(35, 39.521250896569846)	(40, 39.47482301099235)	(45, 39.402975241506496)	(50, 39.38784683236714)	(55, 39.374100619678906)	(60, 39.3807578626744)	(65, 39.3886905546111)	(70, 39.349002700996586)	(75, 39.37007037687907)	(80, 39.34593358142142)	(85, 39.31016298599756)	(90, 39.335466975804586)	(95, 39.27361329017271)	(100, 39.28897618225254)	(105, 39.26473467555023)	(110, 39.252407152123354)	(115, 39.204239214895026)	(120, 39.183581322979364)	(125, 39.1708209415243)	(130, 39.17005458503024)	(135, 39.17102462312534)	(140, 39.11021520191863)	(145, 39.24593281120508)
mehreen_1004_MERGE_2_val_2	(1, 38.65836787642703)	(2, 38.71732840705757)	(3, 38.88285389282989)	(4, 39.13787488593171)	(5, 39.17017502129786)	(6, 39.29101835071455)	(7, 39.30935816024637)	(8, 39.36801665100052)	(9, 39.36714048381661)	(10, 39.36692786507534)	(15, 39.41942828430053)	(20, 39.38757134515831)	(25, 39.38590899993682)	(30, 39.374413884495375)	(35, 39.33457728407682)	(40, 39.31361156025409)	(45, 39.28201696748097)	(50, 39.28951768690331)	(55, 39.24650611877802)	(60, 39.252256917082754)	(65, 39.268024967721246)	(70, 39.27336008983618)	(75, 39.26614556146356)	(80, 39.23764814816351)	(85, 39.210107428510675)	(90, 39.18334396249587)	(95, 39.16660151187924)	(100, 39.177950497765735)	(105, 39.11099656655634)	(110, 39.148492256537)	(115, 39.092660346565346)	(120, 39.06305826687407)	(125, 39.00690834838105)	(130, 38.99336748809823)	(135, 38.930108616424015)	(140, 38.939297675468616)	(145, 39.03233923791882)
mehreen_1005_MERGE_1_val_1	(1, 38.18458069749338)	(2, 38.795694132330574)	(3, 38.87298493787673)	(4, 38.951711553173645)	(5, 39.10361666964875)	(6, 39.21909045242412)	(7, 39.28563310217042)	(8, 39.309306537544686)	(9, 39.32013753020641)	(10, 39.29293339688635)	(15, 39.51105312271327)	(20, 39.50496117193752)	(25, 39.48626164086136)	(30, 39.45194017615505)	(35, 39.51226839386409)	(40, 39.475042020326775)	(45, 39.39869420073343)	(50, 39.39423264758906)	(55, 39.38771136700881)	(60, 39.39541396264541)	(65, 39.401836869623985)	(70, 39.35925190415515)	(75, 39.37404250889686)	(80, 39.3576291856274)	(85, 39.333712338656184)	(90, 39.3665308662577)	(95, 39.303668526460115)	(100, 39.314712366872094)	(105, 39.29649093536899)	(110, 39.29199926746777)	(115, 39.23072085878134)	(120, 39.21002063178809)	(125, 39.20262170388291)	(130, 39.192486319073836)	(135, 39.20919974612322)	(140, 39.13787314307925)	(145, 39.28415745103995)
mehreen_1005_MERGE_2_val_2	(1, 38.5584723166388)	(2, 38.62254587040147)	(3, 38.80523153603418)	(4, 39.049794659153164)	(5, 39.085011592198626)	(6, 39.20204422869629)	(7, 39.23425456018676)	(8, 39.306485326521134)	(9, 39.29986919189693)	(10, 39.30368112069693)	(15, 39.358183768236586)	(20, 39.3316343913455)	(25, 39.341875270105916)	(30, 39.33000113917264)	(35, 39.288782233237434)	(40, 39.273521240890034)	(45, 39.253130805830985)	(50, 39.251089361624544)	(55, 39.20058151770597)	(60, 39.21430216553026)	(65, 39.22473777302828)	(70, 39.221516667561076)	(75, 39.21183962630106)	(80, 39.19277760124932)	(85, 39.16115283571361)	(90, 39.128833064833145)	(95, 39.09930712092263)	(100, 39.12397189100612)	(105, 39.05244532409557)	(110, 39.095712476600966)	(115, 39.02717344282671)	(120, 38.99102246010402)	(125, 38.942306868083975)	(130, 38.934786947861085)	(135, 38.86248026270404)	(140, 38.867969950279885)	(145, 38.96947443312743)
mehreen_1006_MERGE_1_val_1	(1, 38.32942384490355)	(2, 38.871753025516526)	(3, 38.912746410123034)	(4, 38.98577642461176)	(5, 39.170322539976354)	(6, 39.22983235783732)	(7, 39.227899259827865)	(8, 39.267366438157524)	(9, 39.26069463255489)	(10, 39.26408218478089)	(15, 39.4891275845592)	(20, 39.47874906867342)	(25, 39.46134926144985)	(30, 39.42593898765341)	(35, 39.48923056256145)	(40, 39.4460362546749)	(45, 39.36259098454165)	(50, 39.35922756774411)	(55, 39.32903628336411)	(60, 39.344237818402476)	(65, 39.36101964294774)	(70, 39.329842027208116)	(75, 39.34279212301495)	(80, 39.31941818810302)	(85, 39.292403477558345)	(90, 39.31338685373014)	(95, 39.25764932419639)	(100, 39.2815790720469)	(105, 39.26453384310871)	(110, 39.259355367367235)	(115, 39.21203218735333)	(120, 39.15579363877747)	(125, 39.164066384768304)	(130, 39.159743338030815)	(135, 39.15839590237381)	(140, 39.094172954918065)	(145, 39.24883606288426)
mehreen_1006_MERGE_2_val_2	(1, 39.09090487646829)	(2, 39.071223235608805)	(3, 39.12780318198703)	(4, 39.29422855103962)	(5, 39.27446476328335)	(6, 39.368803403326915)	(7, 39.38019250321132)	(8, 39.41248002464744)	(9, 39.39910393766473)	(10, 39.38603592806902)	(15, 39.40837130055772)	(20, 39.35334806557275)	(25, 39.33407649740474)	(30, 39.30982109057392)	(35, 39.2713749850178)	(40, 39.24396162734281)	(45, 39.20444841607345)	(50, 39.21699634805453)	(55, 39.180934131942855)	(60, 39.187513799247114)	(65, 39.21161032819354)	(70, 39.215906351448254)	(75, 39.205875065230586)	(80, 39.17333458575035)	(85, 39.14061713198097)	(90, 39.11290008593229)	(95, 39.09052329987323)	(100, 39.109560264048774)	(105, 39.0258267041264)	(110, 39.06959010701836)	(115, 39.00944920839028)	(120, 38.984315011246615)	(125, 38.91943004872875)	(130, 38.909193003462505)	(135, 38.83650871539755)	(140, 38.84015255969529)	(145, 38.9383582166969)
mehreen_1007_MERGE_1_val_1	(1, 38.09618301721045)	(2, 38.742552473570996)	(3, 38.76297901410666)	(4, 39.0313385687596)	(5, 39.14637339795426)	(6, 39.22273983183712)	(7, 39.26878370902201)	(8, 39.234969571957066)	(9, 39.29003124994477)	(10, 39.26367970927653)	(15, 39.501389551418356)	(20, 39.50261700642152)	(25, 39.47775362568082)	(30, 39.44395670412278)	(35, 39.50402735777801)	(40, 39.46815597453508)	(45, 39.39774545977614)	(50, 39.378999676236276)	(55, 39.38370017647204)	(60, 39.39148311865157)	(65, 39.39543642414613)	(70, 39.355650456919705)	(75, 39.363492249602686)	(80, 39.363807497239016)	(85, 39.33511676429336)	(90, 39.362847151421796)	(95, 39.297375643410575)	(100, 39.30679120677212)	(105, 39.280519286699416)	(110, 39.2818881202637)	(115, 39.22672916026361)	(120, 39.221561500388944)	(125, 39.20901022472982)	(130, 39.20897250198349)	(135, 39.19773991513608)	(140, 39.135875608205005)	(145, 39.27021016542264)
