Sample	Unique Reads	Duplicate Reads
mehreen_1002_MERGE_1_val_1	6256943.0	57080846.0
mehreen_1002_MERGE_2_val_2	6681068.0	56656721.0
mehreen_1003_MERGE_1_val_1	9066425.0	46607245.0
mehreen_1003_MERGE_2_val_2	9733634.0	45940036.0
mehreen_1004_MERGE_1_val_1	13262754.0	55512933.0
mehreen_1004_MERGE_2_val_2	14240456.0	54535231.0
mehreen_1005_MERGE_1_val_1	10762449.0	57757771.0
mehreen_1005_MERGE_2_val_2	11660770.0	56859450.0
mehreen_1006_MERGE_1_val_1	8207265.0	69081108.0
mehreen_1006_MERGE_2_val_2	8729118.0	68559255.0
mehreen_1007_MERGE_1_val_1	10975332.0	45600768.0
mehreen_1007_MERGE_2_val_2	11898546.0	44677554.0
mehreen_1009_MERGE_1_val_1	16702580.0	61765620.0
mehreen_1009_MERGE_2_val_2	17942162.0	60526038.0
mehreen_1011_MERGE_1_val_1	12387754.0	54990255.0
mehreen_1011_MERGE_2_val_2	13425168.0	53952841.0
mehreen_1014_MERGE_1_val_1	8469842.0	101679455.0
mehreen_1014_MERGE_2_val_2	9248445.0	100900852.0
mehreen_1015_MERGE_1_val_1	13113842.0	61207566.0
mehreen_1015_MERGE_2_val_2	14527820.0	59793588.0
mehreen_1016_MERGE_1_val_1	4358367.0	95934146.0
mehreen_1016_MERGE_2_val_2	4873249.0	95419264.0
mehreen_1018_MERGE_1_val_1	20342605.0	75312171.0
mehreen_1018_MERGE_2_val_2	22851821.0	72802955.0
mehreen_1020_MERGE_1_val_1	9852828.0	79630603.0
mehreen_1020_MERGE_2_val_2	10966545.0	78516886.0
mehreen_1021_MERGE_1_val_1	14635894.0	72524004.0
mehreen_1021_MERGE_2_val_2	16370884.0	70789014.0
mehreen_1023_MERGE_1_val_1	8208356.0	73286122.0
mehreen_1023_MERGE_2_val_2	9177157.0	72317321.0
mehreen_1024_MERGE_1_val_1	8409709.0	74743203.0
mehreen_1024_MERGE_2_val_2	9213959.0	73938953.0
mehreen_1025_MERGE_1_val_1	17299009.0	64833004.0
mehreen_1025_MERGE_2_val_2	19075249.0	63056764.0
mehreen_1027_MERGE_1_val_1	9495030.0	114451274.0
mehreen_1027_MERGE_2_val_2	10583592.0	113362712.0
mehreen_1028_MERGE_1_val_1	15122190.0	71378885.0
mehreen_1028_MERGE_2_val_2	16388520.0	70112555.0
mehreen_1029_MERGE_1_val_1	15765887.0	54826449.0
mehreen_1029_MERGE_2_val_2	17404535.0	53187801.0
mehreen_1030_MERGE_1_val_1	20049482.0	103542985.0
mehreen_1030_MERGE_2_val_2	22390478.0	101201989.0
mehreen_1031_MERGE_1_val_1	15053045.0	64641198.0
mehreen_1031_MERGE_2_val_2	16591700.0	63102543.0
mehreen_1032_MERGE_1_val_1	18206880.0	69961798.0
mehreen_1032_MERGE_2_val_2	19864462.0	68304216.0
mehreen_1033_MERGE_1_val_1	17711193.0	74089431.0
mehreen_1033_MERGE_2_val_2	19394675.0	72405949.0
mehreen_1034_MERGE_1_val_1	13253501.0	70104627.0
mehreen_1034_MERGE_2_val_2	14308146.0	69049982.0
mehreen_1035_MERGE_1_val_1	14894529.0	71893503.0
mehreen_1035_MERGE_2_val_2	16328315.0	70459717.0
mehreen_1036_MERGE_1_val_1	15813121.0	76853594.0
mehreen_1036_MERGE_2_val_2	17358262.0	75308453.0
mehreen_1037_MERGE_1_val_1	14922375.0	70376871.0
mehreen_1037_MERGE_2_val_2	16321916.0	68977330.0
mehreen_1038_MERGE_1_val_1	13050967.0	86510212.0
mehreen_1038_MERGE_2_val_2	14306687.0	85254492.0
mehreen_1039_MERGE_1_val_1	19471114.0	49017096.0
mehreen_1039_MERGE_2_val_2	21689228.0	46798982.0
mehreen_1040_MERGE_1_val_1	19605943.0	55646703.0
mehreen_1040_MERGE_2_val_2	20992458.0	54260188.0
mehreen_1041_MERGE_1_val_1	11841809.0	51580731.0
mehreen_1041_MERGE_2_val_2	12974709.0	50447831.0
mehreen_1042_MERGE_1_val_1	18469168.0	62257549.0
mehreen_1042_MERGE_2_val_2	20019691.0	60707026.0
mehreen_1043_MERGE_1_val_1	19283298.0	80691886.0
mehreen_1043_MERGE_2_val_2	20793863.0	79181321.0
mehreen_1045_MERGE_1_val_1	18316981.0	63973966.0
mehreen_1045_MERGE_2_val_2	19918026.0	62372921.0
mehreen_1046_MERGE_1_val_1	13024905.0	68017549.0
mehreen_1046_MERGE_2_val_2	14500014.0	66542440.0
mehreen_1049_MERGE_1_val_1	16829686.0	80564373.0
mehreen_1049_MERGE_2_val_2	18757805.0	78636254.0
mehreen_1050_MERGE_1_val_1	15382179.0	62612660.0
mehreen_1050_MERGE_2_val_2	16828343.0	61166496.0
mehreen_1051_MERGE_1_val_1	15394944.0	57870250.0
mehreen_1051_MERGE_2_val_2	17017514.0	56247680.0
mehreen_1052_MERGE_1_val_1	12519048.0	63442602.0
mehreen_1052_MERGE_2_val_2	13938806.0	62022844.0
mehreen_1054_MERGE_1_val_1	14243566.0	72237689.0
mehreen_1054_MERGE_2_val_2	15567120.0	70914135.0
mehreen_1055_MERGE_1_val_1	14495422.0	71547499.0
mehreen_1055_MERGE_2_val_2	15862824.0	70180097.0
mehreen_1057_MERGE_1_val_1	17986827.0	53121830.0
mehreen_1057_MERGE_2_val_2	19693956.0	51414701.0
mehreen_1058_MERGE_1_val_1	7426579.0	59159933.0
mehreen_1058_MERGE_2_val_2	8241920.0	58344592.0
