Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
mehreen_1002_MERGE_1_val_1	(20, 7768.0)	(25, 33298.0)	(30, 78740.0)	(35, 101860.0)	(40, 118954.0)	(45, 151138.0)	(50, 304219.0)	(55, 409867.0)	(60, 572546.0)	(65, 718684.0)	(70, 681085.0)	(75, 869303.0)	(80, 1041256.0)	(85, 1322225.0)	(90, 1597418.0)	(95, 1632848.0)	(100, 1514078.0)	(105, 1891655.0)	(110, 2076332.0)	(115, 3083875.0)	(120, 2509180.0)	(125, 2402298.0)	(130, 2219724.0)	(135, 2078328.0)	(140, 2303243.0)	(145, 33617867.0)
mehreen_1002_MERGE_2_val_2	(20, 16671.0)	(25, 39188.0)	(30, 80872.0)	(35, 105221.0)	(40, 122885.0)	(45, 157467.0)	(50, 312058.0)	(55, 418410.0)	(60, 575511.0)	(65, 718795.0)	(70, 680695.0)	(75, 873317.0)	(80, 1042633.0)	(85, 1322052.0)	(90, 1598005.0)	(95, 1631184.0)	(100, 1513975.0)	(105, 1891482.0)	(110, 2079033.0)	(115, 3084363.0)	(120, 2510356.0)	(125, 2403485.0)	(130, 2223280.0)	(135, 2081518.0)	(140, 2414799.0)	(145, 33440534.0)
mehreen_1003_MERGE_1_val_1	(20, 11144.0)	(25, 46932.0)	(30, 111541.0)	(35, 96437.0)	(40, 103534.0)	(45, 134789.0)	(50, 242468.0)	(55, 316258.0)	(60, 446765.0)	(65, 561561.0)	(70, 592818.0)	(75, 726866.0)	(80, 935122.0)	(85, 1149754.0)	(90, 1446633.0)	(95, 1422167.0)	(100, 1314133.0)	(105, 1655849.0)	(110, 1794208.0)	(115, 2456162.0)	(120, 2207707.0)	(125, 1869945.0)	(130, 1822202.0)	(135, 1775762.0)	(140, 1853149.0)	(145, 30579764.0)
mehreen_1003_MERGE_2_val_2	(20, 16388.0)	(25, 50739.0)	(30, 111697.0)	(35, 97841.0)	(40, 103564.0)	(45, 132733.0)	(50, 240850.0)	(55, 317642.0)	(60, 448082.0)	(65, 561418.0)	(70, 591909.0)	(75, 729305.0)	(80, 936162.0)	(85, 1148559.0)	(90, 1446157.0)	(95, 1421602.0)	(100, 1313555.0)	(105, 1654945.0)	(110, 1795539.0)	(115, 2455780.0)	(120, 2207877.0)	(125, 1869749.0)	(130, 1823227.0)	(135, 1776866.0)	(140, 1964670.0)	(145, 30456814.0)
mehreen_1004_MERGE_1_val_1	(20, 10017.0)	(25, 40309.0)	(30, 84186.0)	(35, 81809.0)	(40, 98510.0)	(45, 129923.0)	(50, 225578.0)	(55, 295413.0)	(60, 422148.0)	(65, 546688.0)	(70, 617693.0)	(75, 794978.0)	(80, 1016790.0)	(85, 1267723.0)	(90, 1620646.0)	(95, 1656367.0)	(100, 1561217.0)	(105, 1929419.0)	(110, 2121895.0)	(115, 2786630.0)	(120, 2577443.0)	(125, 2286917.0)	(130, 2314526.0)	(135, 2292654.0)	(140, 2477131.0)	(145, 39519077.0)
mehreen_1004_MERGE_2_val_2	(20, 17640.0)	(25, 45604.0)	(30, 85822.0)	(35, 84710.0)	(40, 100708.0)	(45, 131263.0)	(50, 227249.0)	(55, 299552.0)	(60, 424610.0)	(65, 546627.0)	(70, 617307.0)	(75, 799467.0)	(80, 1018905.0)	(85, 1268193.0)	(90, 1622203.0)	(95, 1656639.0)	(100, 1561947.0)	(105, 1931021.0)	(110, 2125659.0)	(115, 2789196.0)	(120, 2580058.0)	(125, 2288970.0)	(130, 2317597.0)	(135, 2296802.0)	(140, 2592709.0)	(145, 39345229.0)
mehreen_1005_MERGE_1_val_1	(20, 11269.0)	(25, 51439.0)	(30, 126152.0)	(35, 104179.0)	(40, 108127.0)	(45, 139927.0)	(50, 237603.0)	(55, 300512.0)	(60, 422201.0)	(65, 549522.0)	(70, 607915.0)	(75, 779619.0)	(80, 1003894.0)	(85, 1279910.0)	(90, 1678843.0)	(95, 1741510.0)	(100, 1628260.0)	(105, 1991712.0)	(110, 2180408.0)	(115, 2937803.0)	(120, 2615033.0)	(125, 2261135.0)	(130, 2230919.0)	(135, 2218947.0)	(140, 2371618.0)	(145, 38941763.0)
mehreen_1005_MERGE_2_val_2	(20, 18487.0)	(25, 57920.0)	(30, 128533.0)	(35, 107238.0)	(40, 109802.0)	(45, 139815.0)	(50, 237645.0)	(55, 303299.0)	(60, 424273.0)	(65, 549961.0)	(70, 607170.0)	(75, 783782.0)	(80, 1006091.0)	(85, 1279320.0)	(90, 1679658.0)	(95, 1741141.0)	(100, 1628006.0)	(105, 1991912.0)	(110, 2183370.0)	(115, 2939954.0)	(120, 2616872.0)	(125, 2261805.0)	(130, 2233879.0)	(135, 2223743.0)	(140, 2510662.0)	(145, 38755882.0)
mehreen_1006_MERGE_1_val_1	(20, 23036.0)	(25, 121816.0)	(30, 290529.0)	(35, 243814.0)	(40, 233962.0)	(45, 301074.0)	(50, 465192.0)	(55, 563791.0)	(60, 799183.0)	(65, 1022409.0)	(70, 1139988.0)	(75, 1468043.0)	(80, 1777239.0)	(85, 2189429.0)	(90, 2758445.0)	(95, 3249030.0)	(100, 2919872.0)	(105, 3264021.0)	(110, 3473106.0)	(115, 4205297.0)	(120, 3776318.0)	(125, 3287295.0)	(130, 3339426.0)	(135, 3158418.0)	(140, 3105090.0)	(145, 30112550.0)
mehreen_1006_MERGE_2_val_2	(20, 26268.0)	(25, 124334.0)	(30, 290008.0)	(35, 244053.0)	(40, 232716.0)	(45, 298902.0)	(50, 466246.0)	(55, 566388.0)	(60, 801028.0)	(65, 1021116.0)	(70, 1136269.0)	(75, 1466255.0)	(80, 1776015.0)	(85, 2185412.0)	(90, 2756417.0)	(95, 3243916.0)	(100, 2916170.0)	(105, 3260045.0)	(110, 3473256.0)	(115, 4203547.0)	(120, 3773699.0)	(125, 3281414.0)	(130, 3331449.0)	(135, 3155948.0)	(140, 3206233.0)	(145, 30051269.0)
mehreen_1007_MERGE_1_val_1	(20, 17063.0)	(25, 114537.0)	(30, 201556.0)	(35, 111601.0)	(40, 91348.0)	(45, 114644.0)	(50, 155701.0)	(55, 169219.0)	(60, 237113.0)	(65, 313213.0)	(70, 366186.0)	(75, 484487.0)	(80, 640653.0)	(85, 831638.0)	(90, 1095197.0)	(95, 1175748.0)	(100, 1163014.0)	(105, 1420706.0)	(110, 1575397.0)	(115, 2114292.0)	(120, 1905558.0)	(125, 1689616.0)	(130, 1680480.0)	(135, 1720988.0)	(140, 1888474.0)	(145, 35297671.0)
mehreen_1007_MERGE_2_val_2	(20, 24795.0)	(25, 119218.0)	(30, 199840.0)	(35, 111893.0)	(40, 90069.0)	(45, 108391.0)	(50, 150906.0)	(55, 170714.0)	(60, 239039.0)	(65, 313274.0)	(70, 366504.0)	(75, 490020.0)	(80, 642394.0)	(85, 831998.0)	(90, 1096775.0)	(95, 1176976.0)	(100, 1164092.0)	(105, 1422378.0)	(110, 1579984.0)	(115, 2116903.0)	(120, 1908216.0)	(125, 1692954.0)	(130, 1685803.0)	(135, 1724765.0)	(140, 1985046.0)	(145, 35163153.0)
mehreen_1009_MERGE_1_val_1	(20, 16179.0)	(25, 79954.0)	(30, 224134.0)	(35, 163744.0)	(40, 150277.0)	(45, 181508.0)	(50, 274703.0)	(55, 300362.0)	(60, 358360.0)	(65, 408856.0)	(70, 429300.0)	(75, 541743.0)	(80, 746832.0)	(85, 1067769.0)	(90, 1513025.0)	(95, 1681821.0)	(100, 1774882.0)	(105, 2390678.0)	(110, 2704007.0)	(115, 3872041.0)	(120, 3481879.0)	(125, 3061756.0)	(130, 2931605.0)	(135, 2865660.0)	(140, 2966958.0)	(145, 44280167.0)
mehreen_1009_MERGE_2_val_2	(20, 28485.0)	(25, 87801.0)	(30, 224983.0)	(35, 167082.0)	(40, 152693.0)	(45, 180114.0)	(50, 273347.0)	(55, 304861.0)	(60, 362218.0)	(65, 409748.0)	(70, 430749.0)	(75, 552283.0)	(80, 750525.0)	(85, 1068666.0)	(90, 1514418.0)	(95, 1681718.0)	(100, 1774890.0)	(105, 2390215.0)	(110, 2707231.0)	(115, 3871289.0)	(120, 3482459.0)	(125, 3063919.0)	(130, 2937504.0)	(135, 2867621.0)	(140, 3102276.0)	(145, 44081105.0)
mehreen_1011_MERGE_1_val_1	(20, 9363.0)	(25, 47915.0)	(30, 136473.0)	(35, 140371.0)	(40, 158644.0)	(45, 201227.0)	(50, 297635.0)	(55, 329496.0)	(60, 425675.0)	(65, 535431.0)	(70, 595403.0)	(75, 775237.0)	(80, 969127.0)	(85, 1252669.0)	(90, 1623091.0)	(95, 2021380.0)	(100, 1980936.0)	(105, 2357562.0)	(110, 2618234.0)	(115, 3158077.0)	(120, 2897672.0)	(125, 2723480.0)	(130, 2806231.0)	(135, 2666038.0)	(140, 2680549.0)	(145, 33970093.0)
mehreen_1011_MERGE_2_val_2	(20, 20532.0)	(25, 56459.0)	(30, 140708.0)	(35, 146156.0)	(40, 163683.0)	(45, 204233.0)	(50, 300812.0)	(55, 336408.0)	(60, 430643.0)	(65, 536907.0)	(70, 596720.0)	(75, 782463.0)	(80, 972214.0)	(85, 1252279.0)	(90, 1623474.0)	(95, 2019419.0)	(100, 1979747.0)	(105, 2357495.0)	(110, 2620301.0)	(115, 3157735.0)	(120, 2897103.0)	(125, 2721656.0)	(130, 2804688.0)	(135, 2667964.0)	(140, 2779895.0)	(145, 33808315.0)
mehreen_1014_MERGE_1_val_1	(20, 21322.0)	(25, 124121.0)	(30, 287962.0)	(35, 329879.0)	(40, 328701.0)	(45, 413958.0)	(50, 580462.0)	(55, 626088.0)	(60, 834510.0)	(65, 1080379.0)	(70, 1129671.0)	(75, 1517435.0)	(80, 1796179.0)	(85, 2190392.0)	(90, 2641908.0)	(95, 3251279.0)	(100, 3227234.0)	(105, 3667268.0)	(110, 3882255.0)	(115, 4699412.0)	(120, 4278351.0)	(125, 4837991.0)	(130, 5572697.0)	(135, 5053486.0)	(140, 5046634.0)	(145, 52729723.0)
mehreen_1014_MERGE_2_val_2	(20, 42501.0)	(25, 138641.0)	(30, 294064.0)	(35, 340592.0)	(40, 338944.0)	(45, 418796.0)	(50, 588471.0)	(55, 642147.0)	(60, 845591.0)	(65, 1083523.0)	(70, 1132250.0)	(75, 1529192.0)	(80, 1800466.0)	(85, 2187352.0)	(90, 2638792.0)	(95, 3242142.0)	(100, 3223807.0)	(105, 3666282.0)	(110, 3885108.0)	(115, 4693733.0)	(120, 4272553.0)	(125, 4827887.0)	(130, 5552110.0)	(135, 5041590.0)	(140, 4987878.0)	(145, 52734885.0)
mehreen_1015_MERGE_1_val_1	(20, 12112.0)	(25, 61592.0)	(30, 183759.0)	(35, 171171.0)	(40, 156697.0)	(45, 199664.0)	(50, 283850.0)	(55, 311024.0)	(60, 403917.0)	(65, 530904.0)	(70, 553915.0)	(75, 752620.0)	(80, 977539.0)	(85, 1236374.0)	(90, 1588420.0)	(95, 1869788.0)	(100, 1949655.0)	(105, 2417132.0)	(110, 2581908.0)	(115, 3351118.0)	(120, 3064185.0)	(125, 3185491.0)	(130, 3358557.0)	(135, 3127121.0)	(140, 3101843.0)	(145, 38891052.0)
mehreen_1015_MERGE_2_val_2	(20, 26281.0)	(25, 71743.0)	(30, 189871.0)	(35, 179379.0)	(40, 162652.0)	(45, 203415.0)	(50, 288619.0)	(55, 321012.0)	(60, 410759.0)	(65, 533549.0)	(70, 556194.0)	(75, 760535.0)	(80, 980994.0)	(85, 1236963.0)	(90, 1587715.0)	(95, 1866736.0)	(100, 1947548.0)	(105, 2414652.0)	(110, 2582571.0)	(115, 3346304.0)	(120, 3060744.0)	(125, 3181816.0)	(130, 3352695.0)	(135, 3123892.0)	(140, 3137949.0)	(145, 38796820.0)
mehreen_1016_MERGE_1_val_1	(20, 24756.0)	(25, 129459.0)	(30, 387734.0)	(35, 301059.0)	(40, 236307.0)	(45, 285181.0)	(50, 424243.0)	(55, 445471.0)	(60, 578215.0)	(65, 726338.0)	(70, 617203.0)	(75, 861833.0)	(80, 1045816.0)	(85, 1507871.0)	(90, 2000526.0)	(95, 2326444.0)	(100, 2351742.0)	(105, 2934969.0)	(110, 3270199.0)	(115, 5554410.0)	(120, 4009510.0)	(125, 4582650.0)	(130, 4865016.0)	(135, 4377029.0)	(140, 4014621.0)	(145, 52433911.0)
mehreen_1016_MERGE_2_val_2	(20, 48584.0)	(25, 146119.0)	(30, 391550.0)	(35, 308942.0)	(40, 242766.0)	(45, 287958.0)	(50, 429444.0)	(55, 460242.0)	(60, 585487.0)	(65, 728094.0)	(70, 619278.0)	(75, 876933.0)	(80, 1050102.0)	(85, 1508458.0)	(90, 2000863.0)	(95, 2324413.0)	(100, 2351642.0)	(105, 2934996.0)	(110, 3275395.0)	(115, 5552815.0)	(120, 4010857.0)	(125, 4586028.0)	(130, 4873979.0)	(135, 4381419.0)	(140, 4120984.0)	(145, 52195165.0)
mehreen_1018_MERGE_1_val_1	(20, 29377.0)	(25, 168319.0)	(30, 444239.0)	(35, 363081.0)	(40, 324422.0)	(45, 411298.0)	(50, 504856.0)	(55, 467073.0)	(60, 531397.0)	(65, 640476.0)	(70, 653279.0)	(75, 860415.0)	(80, 1079888.0)	(85, 1441960.0)	(90, 1895912.0)	(95, 2434398.0)	(100, 2464307.0)	(105, 2947087.0)	(110, 3190847.0)	(115, 4095326.0)	(120, 3810522.0)	(125, 3515999.0)	(130, 3509727.0)	(135, 3369647.0)	(140, 3452971.0)	(145, 53047953.0)
mehreen_1018_MERGE_2_val_2	(20, 44645.0)	(25, 176610.0)	(30, 440606.0)	(35, 362518.0)	(40, 313796.0)	(45, 389283.0)	(50, 485206.0)	(55, 464763.0)	(60, 533596.0)	(65, 640355.0)	(70, 653792.0)	(75, 870759.0)	(80, 1083429.0)	(85, 1442786.0)	(90, 1897642.0)	(95, 2435548.0)	(100, 2464064.0)	(105, 2946724.0)	(110, 3195996.0)	(115, 4095323.0)	(120, 3811555.0)	(125, 3518475.0)	(130, 3515423.0)	(135, 3374039.0)	(140, 3582927.0)	(145, 52914916.0)
