"heatmap_row_order","gene_id","Description","DEG_scope","n_infection_diets","infection_diets","directions","comparisons","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
1,"LOC126337066","Major Facilitator Superfamily","DEG in 1 diet",1,"83","Higher in infected","Diet 83: infected vs control",2.96324249725892,0.00543646829849198,2.43720599080229,"1042","Higher than gene average"
2,"LOC126355150","Belongs to the type-B carboxylesterase lipase family","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",2.39482877089356,0.0223497588547278,2.33966732685033,"1042","Higher than gene average"
3,"LOC126298221","Amino acid binding. It is involved in the biological process described with metabolic process","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.38943448846803,0.00536148250124965,2.54018540441088,"1016","Lower than gene average"
4,"LOC126341450","-","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.50098811786687,0.0335379338569241,1.69708284084626,"1016","Lower than gene average"
5,"LOC126355249","-","DEG in 1 diet",1,"33","Higher in control","Diet 33: infected vs control",2.14065651251985,9.1601541965155e-05,2.44006955491874,"1014","Higher than gene average"
6,"LOC126336345","It is involved in the biological process described with regulation of transcription, DNA-templated","DEG in 1 diet",1,"33","Higher in control","Diet 33: infected vs control",1.46528228538728,0.000203902309662094,2.27741120637773,"1006","Higher than gene average"
7,"LOC126266822","heme binding. It is involved in the biological process described with oxidation-reduction process","DEG in 1 diet",1,"33","Higher in control","Diet 33: infected vs control",1.45252987819629,0.00189739511363621,2.36732524806111,"1014","Higher than gene average"
8,"LOC126278149","Carboxylic ester hydrolase activity","DEG in 2 diets",2,"33; 50","Higher in control","Diet 33; Diet 50: infected vs control",1.70800729740464,1.0436468595183e-06,2.58018586601989,"1014","Higher than gene average"
9,"LOC126358876","no description","DEG in 1 diet",1,"33","Higher in control","Diet 33: infected vs control",2.01397238928536,0.0371708673886556,2.26288315321286,"1014","Higher than gene average"
10,"LOC126358860","no description","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",3.2381837480106,4.93528673954758e-05,2.59590580571058,"1040","Higher than gene average"
11,"LOC126358892","no description","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",2.55867191120204,0.00136511516682171,2.75027635970003,"1040","Higher than gene average"
12,"LOC126271949","Chitin synthase","DEG in 1 diet",1,"33","Higher in control","Diet 33: infected vs control",1.17406580136242,0.00496530178446535,1.96926084759239,"1029","Lower than gene average"
13,"LOC126333297","no description","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.58804123317455,0.0218844663022276,3.54362177984565,"1014","Higher than gene average"
14,"LOC126322960","Lysozyme activity","DEG in 2 diets",2,"33; 50","Higher in control","Diet 33; Diet 50: infected vs control",1.6570930078589,8.7502087243977e-05,1.98266552599681,"1050","Higher than gene average"
15,"LOC126355829","Ankyrin repeats (many copies)","DEG in 2 diets",2,"33; 50","Higher in control","Diet 33; Diet 50: infected vs control",1.61492200086372,0.00410392228023114,2.36370986416145,"1014","Higher than gene average"
16,"LOC126284170","Vasopressin receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",2.21282313581241,0.0130327490730113,2.37221398459215,"1014","Higher than gene average"
17,"LOC126354185","-","DEG in 3 diets",3,"33; 50; 83","Higher in control","Diet 33; Diet 50; Diet 83: infected vs control",1.40756510806421,0.00183142137650377,2.49980717675811,"1006","Higher than gene average"
18,"LOC126272831","UDP-glucoronosyl and UDP-glucosyl transferase","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",3.0576445711542,0.0010039019327559,2.15760322535457,"1006","Higher than gene average"
19,"LOC126293692","synaptic vesicle","DEG in 2 diets",2,"33; 83","Higher in control","Diet 33; Diet 83: infected vs control",2.86818527105115,0.0019208378030744,2.30733642705059,"1005","Higher than gene average"
