source_sheet,umbrella,subcategory,gene_id,description_workbook,description_gff,gene_biotype,seqid,sequence_name,sequence_role,assigned_molecule,location_type,sequence_class,contrast_id,contrast_label,figure_scope,x_label,x_order,desired_sign,positive_condition,negative_condition,workbook_lfc_col,workbook_padj_col,show_in_figure,analysis_scope,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,oriented_log2FC,status,higher_expression_condition,primary_figure,original_value,original_oriented_log2FC,original_status
Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),LOC126316821,dedicator of cytokinesis protein 11-like,dedicator of cytokinesis protein 11-like,protein_coding,NW_026061988.1,ptg000599l,unplaced-scaffold,na,na,Unplaced scaffold,control_diet33_vs50,Control: diet 50 vs 33,Diet comparison among controls,"50
vs
33",1,-1,Control diet 50,Control diet 33,cont33 vs cont50_log2FC,cont33 vs cont50_padj,FALSE,Unplaced scaffold,217.9206767718487,-2.412026644078927,2.1262245852939667,-1.1344176249121145,0.256619409431424,0.4947631036229953,FALSE,2.412026644078927,N.S.,Not significant,FALSE,N.S.,,N.S.
Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),LOC126316821,dedicator of cytokinesis protein 11-like,dedicator of cytokinesis protein 11-like,protein_coding,NW_026061988.1,ptg000599l,unplaced-scaffold,na,na,Unplaced scaffold,control_diet83_vs33,Control: diet 83 vs 33,Diet comparison among controls,"83
vs
33",2,1,Control diet 83,Control diet 33,cont83 vs cont33_log2FC,cont83 vs cont33_padj,FALSE,Unplaced scaffold,217.9206767718487,0.5726136164954087,2.043713767436043,0.28018288354233944,0.7793371979264497,0.9679406438232184,FALSE,0.5726136164954087,N.S.,Not significant,FALSE,N.S.,,N.S.
Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),LOC126316821,dedicator of cytokinesis protein 11-like,dedicator of cytokinesis protein 11-like,protein_coding,NW_026061988.1,ptg000599l,unplaced-scaffold,na,na,Unplaced scaffold,control_diet83_vs50,Control: diet 83 vs 50,Diet comparison among controls,"83
vs
50",3,1,Control diet 83,Control diet 50,cont83 vs cont50_log2FC,cont83 vs cont50_padj,FALSE,Unplaced scaffold,217.9206767718487,-1.8394130275835183,2.1259370435446585,-0.8652245997447754,0.3869155259566882,0.42093687516151296,FALSE,-1.8394130275835183,N.S.,Not significant,FALSE,N.S.,,N.S.
Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),LOC126316821,dedicator of cytokinesis protein 11-like,dedicator of cytokinesis protein 11-like,protein_coding,NW_026061988.1,ptg000599l,unplaced-scaffold,na,na,Unplaced scaffold,infected_diet33_vs50,Infected: diet 50 vs 33,Diet comparison among infected,"50
vs
33",1,-1,Infected diet 50,Infected diet 33,inf33 vs inf50_log2FC,inf33 vs inf50_padj,TRUE,Unplaced scaffold,217.9206767718487,-5.265079703754464,1.8048759139605912,-2.9171422051950686,0.0035325467719969,0.0129758796800725,TRUE,5.265079703754464,Upregulated,Infected diet 50,FALSE,-5.2510000000000003,5.251,Upregulated
Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),LOC126316821,dedicator of cytokinesis protein 11-like,dedicator of cytokinesis protein 11-like,protein_coding,NW_026061988.1,ptg000599l,unplaced-scaffold,na,na,Unplaced scaffold,infected_diet83_vs33,Infected: diet 83 vs 33,Diet comparison among infected,"83
vs
33",2,1,Infected diet 83,Infected diet 33,inf83 vs inf33_log2FC,inf83 vs inf33_padj,TRUE,Unplaced scaffold,217.9206767718487,4.666121861022059,2.017194535925424,2.313173954182556,0.02071307696934917,0.08123020689695058,FALSE,4.666121861022059,N.S.,Not significant,FALSE,N.S.,,N.S.
Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),LOC126316821,dedicator of cytokinesis protein 11-like,dedicator of cytokinesis protein 11-like,protein_coding,NW_026061988.1,ptg000599l,unplaced-scaffold,na,na,Unplaced scaffold,infected_diet83_vs50,Infected: diet 83 vs 50,Diet comparison among infected,"83
vs
50",3,1,Infected diet 83,Infected diet 50,inf83 vs inf50_log2FC,inf83 vs inf50_padj,TRUE,Unplaced scaffold,217.9206767718487,-0.5989578427324036,2.013448658852786,-0.2974785774143728,0.7661011608801904,0.9333640444969056,FALSE,-0.5989578427324036,N.S.,Not significant,FALSE,N.S.,,N.S.
Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),LOC126316821,dedicator of cytokinesis protein 11-like,dedicator of cytokinesis protein 11-like,protein_coding,NW_026061988.1,ptg000599l,unplaced-scaffold,na,na,Unplaced scaffold,infection_diet33,Diet 33: infected vs control,Within-diet infection response,33,1,1,Infected diet 33,Control diet 33,Diet 33 log2FC,Diet 33 padj,TRUE,Unplaced scaffold,217.9206767718487,-2.073540560176704,1.9301119133261555,-1.0743110520484682,0.28268329320950253,0.311681248502337,FALSE,-2.073540560176704,N.S.,Not significant,FALSE,N.S.,,N.S.
Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),LOC126316821,dedicator of cytokinesis protein 11-like,dedicator of cytokinesis protein 11-like,protein_coding,NW_026061988.1,ptg000599l,unplaced-scaffold,na,na,Unplaced scaffold,infection_diet50,Diet 50: infected vs control,Within-diet infection response,50,2,1,Infected diet 50,Control diet 50,Diet 50 log2FC,Diet 50 padj,TRUE,Unplaced scaffold,217.9206767718487,0.7795124994988323,2.0132252864346865,0.3871958616610201,0.6986112135932916,0.9177670166526828,FALSE,0.7795124994988323,N.S.,Not significant,FALSE,N.S.,,N.S.
Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),LOC126316821,dedicator of cytokinesis protein 11-like,dedicator of cytokinesis protein 11-like,protein_coding,NW_026061988.1,ptg000599l,unplaced-scaffold,na,na,Unplaced scaffold,infection_diet83,Diet 83: infected vs control,Within-diet infection response,83,3,1,Infected diet 83,Control diet 83,Diet 83 log2FC,Diet 83 padj,TRUE,Unplaced scaffold,217.9206767718487,2.0199676843499472,2.1261485745383504,0.9500595153791366,0.3420820126297303,1,FALSE,2.0199676843499472,N.S.,Not significant,FALSE,N.S.,,N.S.
Immune,Cellular Immunity,Actin Dynamics & Hemocyte Migration (DOCK GEFs),LOC126316823,dedicator of cytokinesis protein 9-like,dedicator of cytokinesis protein 9-like,protein_coding,NW_026061988.1,ptg000599l,unplaced-scaffold,na,na,Unplaced scaffold,control_diet33_vs50,Control: diet 50 vs 33,Diet comparison among controls,"50
vs
33",1,-1,Control diet 50,Control diet 33,cont33 vs cont50_log2FC,cont33 vs cont50_padj,FALSE,Unplaced scaffold,171.58933913074335,-2.2214240842111908,2.1759232818712166,-1.0209110324426718,0.30729659169116047,0.4947631036229953,FALSE,2.2214240842111908,N.S.,Not significant,FALSE,N.S.,,N.S.
