"gene_id","experiment_deg","n_experiment_contrasts","experiment_families","experiment_comparisons","experiment_directions","experiment_max_abs_log2FC","experiment_min_padj"
"LOC126266593",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.87691700572833,3.23153372899545e-17
"LOC126266596",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Downregulated",2.5450070165519,6.28951257055574e-15
"LOC126266603",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.42354508964762,0.023770066578145
"LOC126266604",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.06007731973978,0.00465606036039255
"LOC126266610",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.02021210458179,0.00683182429958167
"LOC126266626",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",3.18993682570846,0.0140396797629581
"LOC126266629",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.32751638204753,0.0114514953345821
"LOC126266641",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",4.27358934332573,0.0370128575762864
"LOC126266649",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.21599643537477,0.00206906955961669
"LOC126266650",TRUE,1,"Infection within diet","Diet 83: infected vs control","Downregulated",1.08721233690855,0.0322777146851354
"LOC126266655",TRUE,1,"Infection within diet","Diet 33: infected vs control","Upregulated",1.01989743500818,0.0070234646246785
"LOC126266657",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",2.13553611629802,3.67550081523912e-05
"LOC126266662",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.14039688373721,0.00717157903255973
"LOC126266665",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",1.46282247802668,0.022291534488089
"LOC126266672",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",1.49336530404999,1.49370881233848e-06
"LOC126266675",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",1.29680213107217,4.65447167246994e-06
"LOC126266679",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.1049385904703,0.0136639358796763
"LOC126266681",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.09802525983837,0.0381670707261462
"LOC126266696",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",2.33306077318594,0.00666413645192906
"LOC126266713",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.18237686782671,0.032275678815138
"LOC126266728",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.0698625038225,9.23479790979568e-15
"LOC126266746",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.03675646093362,0.00316034964758694
"LOC126266748",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",2.22387317525485,1.15245186728325e-06
"LOC126266749",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.35596090976273,0.0416276684659125
"LOC126266759",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",4.11317603230888,1.53144913052683e-17
"LOC126266760",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.19823580204247,3.02573543279764e-17
"LOC126266769",TRUE,1,"Infection within diet","Diet 33: infected vs control","Downregulated",1.0952760207606,0.0104158431435645
"LOC126266779",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Downregulated",1.57410435313903,0.00571760082511607
"LOC126266788",TRUE,1,"Diet contrasts: controls","Control 83 vs 33","Upregulated",2.69643216808612,0.00405082139102237
"LOC126266789",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",5.42296269898113,7.21564836168458e-05
"LOC126266804",TRUE,3,"Diet contrasts: controls; Diet contrasts: infected; Infection within diet","Control 83 vs 33; Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",5.09148674641749,0.00367120254142657
"LOC126266819",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.59219110639161,0.013354839956864
"LOC126266822",TRUE,1,"Infection within diet","Diet 33: infected vs control","Downregulated",1.54585637771005,0.00664761455161899
"LOC126266828",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control","Downregulated",2.1657339328522,0.00630854856792598
"LOC126266832",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",1.70404339164721,5.88907862614397e-06
"LOC126266835",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control","Downregulated",2.26403413769432,6.17741496207878e-05
"LOC126266840",TRUE,3,"Diet contrasts: controls; Diet contrasts: infected; Infection within diet","Control 83 vs 33; Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",4.98613355097189,0.002357450665765
"LOC126266841",TRUE,2,"Diet contrasts: infected; Infection within diet","Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",4.56126810092221,0.00398643850644109
"LOC126266848",TRUE,1,"Diet contrasts: controls","Control 83 vs 33","Downregulated",1.09849543842327,0.0399399086910523
"LOC126266862",TRUE,2,"Diet contrasts: infected; Infection within diet","Diet 33: infected vs control; Infected 33 vs 50","Downregulated",2.25755208285526,0.00568934472392954
"LOC126266913",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",1.96884270051935,7.12076872508249e-05
"LOC126266926",TRUE,1,"Infection within diet","Diet 83: infected vs control","Downregulated",1.45936554825841,0.0063844734968589
"LOC126266938",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",2.31871706395481,0.000139940121877811
"LOC126266939",TRUE,1,"Diet contrasts: infected","Infected 33 vs 50","Downregulated",3.31050047023803,0.0360801178941391
"LOC126266950",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",1.41610916456721,0.0061105586954292
"LOC126266957",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",1.39978463159806,5.51893641447177e-06
"LOC126266982",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",3.07763778879124,3.41758083696124e-15
"LOC126266984",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",3.13221552993391,0.0020277729027235
"LOC126266988",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",2.47364449516334,0.000143486958127756
"LOC126266989",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.24042614888451,0.0203830206573876
"LOC126267000",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Downregulated",1.72477341740541,2.12062975022911e-07
"LOC126267002",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",2.28156636116422,0.000112933874728415
"LOC126267016",TRUE,1,"Infection within diet","Diet 83: infected vs control","Downregulated",1.33657037383956,0.0181378048926677
"LOC126267038",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.19863917351442,1.77344597401907e-13
"LOC126267042",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",1.61971895041848,0.00168281001893259
"LOC126267060",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",2.06094707012286,0.00183910146481006
"LOC126267104",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 83: infected vs control","Downregulated",1.81053039244686,0.00610370674490807
"LOC126267107",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",2.52374072060419,0.000265236747772778
"LOC126267114",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",10.9368311074655,3.34508271350522e-08
"LOC126267150",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control","Downregulated",2.01498443163084,0.0208319802179352
"LOC126267154",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",1.77568947583823,1.30630693547115e-09
"LOC126267162",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.12337612593157,2.38075392267195e-19
"LOC126267163",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",5.33337632532354,2.58162958172491e-21
"LOC126267165",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",1.33622516357107,0.0008677003161289
"LOC126267166",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.32078031915712,0.0163295971370698
"LOC126267179",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Downregulated",1.20801066572741,2.20175194437865e-05
"LOC126267190",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 83: infected vs control","Downregulated",3.18353911041518,4.32930264066643e-08
"LOC126267215",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",5.23608725977779,3.62554929933012e-20
"LOC126267216",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",4.6353056080926,3.14823702387132e-11
"LOC126267217",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",1.92720595678625,0.0401415135546854
"LOC126267226",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",4.35426673060379,2.60656481421348e-16
"LOC126267237",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",1.12340638596448,0.0384921227314451
"LOC126267242",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.52591278710631,0.0240206881984565
"LOC126267243",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",3.78150877203932,1.54400998827593e-05
"LOC126267247",TRUE,1,"Infection within diet","Diet 50: infected vs control","Upregulated",1.6866268533516,0.00831723137230406
"LOC126267253",TRUE,1,"Infection within diet","Diet 33: infected vs control","Downregulated",1.75481845739044,0.0190306705652584
"LOC126267256",TRUE,1,"Infection within diet","Diet 50: infected vs control","Downregulated",1.94310070557986,0.0376405295923134
"LOC126267259",TRUE,1,"Pooled infection across diets","All diets: infected vs control","Upregulated",3.4992987828042,0.00334592980520017
"LOC126267263",TRUE,4,"Diet contrasts: infected; Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 83: infected vs control; Infected 33 vs 50","Downregulated",2.30788656095511,1.50869911928364e-07
"LOC126267275",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",2.57923505034635,4.51470027380303e-06
"LOC126267280",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Downregulated",2.06617845398462,0.00434189358419378
"LOC126267333",TRUE,2,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 50: infected vs control","Upregulated",2.42873170720827,0.000109232396272619
"LOC126267342",TRUE,1,"Diet contrasts: infected","Infected 33 vs 50","Downregulated",2.47800642872062,0.0380850396569484
"LOC126267343",TRUE,4,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control; Diet 83: infected vs control","Upregulated",2.20955362643787,1.99440907543418e-10
"LOC126267351",TRUE,3,"Infection within diet; Pooled infection across diets","All diets: infected vs control; Diet 33: infected vs control; Diet 50: infected vs control","Upregulated",1.77596105537763,0.013979080464262
"LOC126267355",TRUE,2,"Diet contrasts: controls; Diet contrasts: infected","Control 83 vs 33; Infected 83 vs 33","Downregulated",3.80995475901405,6.3891948128301e-06
