"comparison_type","comparison","gene_id","scenarios_detected","n_scenarios","directions","min_padj","max_abs_lfc"
"Diet contrasts among control","Control 33 vs 50","LOC126272465","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",3.95186001552618e-14,5.36068833019186
"Diet contrasts among control","Control 33 vs 50","LOC126356047","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",0.0239108588181271,4.05126821896626
"Diet contrasts among control","Control 33 vs 50","LOC126284577","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0100642283460653,4.94986205450094
"Diet contrasts among control","Control 33 vs 50","LOC126284087","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0301126132974898,4.42475644133938
"Diet contrasts among control","Control 33 vs 50","LOC126284694","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0301126132974898,3.71526286316045
"Diet contrasts among control","Control 33 vs 50","LOC126282270","Current outliers removed; Expanded outlier set",2,"Upregulated",0.0471444177405901,4.15436534616486
"Diet contrasts among control","Control 33 vs 50","LOC126354577","All samples",1,"Upregulated",0.0166489481938638,5.80517653852446
"Diet contrasts among control","Control 83 vs 33","LOC126278052","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",1.21091788917064e-43,7.02825925767748
"Diet contrasts among control","Control 83 vs 33","LOC126272465","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",6.58408969246059e-18,6.28363200859142
"Diet contrasts among control","Control 83 vs 33","LOC126354907","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",3.92513064361268e-15,2.19745090597697
"Diet contrasts among control","Control 83 vs 33","LOC126352958","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",4.41208103595426e-15,3.34829199346814
"Diet contrasts among control","Control 83 vs 33","LOC126356047","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",9.36622013055102e-14,7.87556482129656
"Diet contrasts among control","Control 83 vs 33","LOC126354813","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",4.26188780757493e-09,2.47701463524992
"Diet contrasts among control","Control 83 vs 33","LOC126272511","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",8.25797200797832e-09,3.51976785706098
"Diet contrasts among control","Control 83 vs 33","LOC126284988","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",1.62979851289694e-08,1.29971255791097
"Diet contrasts among control","Control 83 vs 33","LOC126354610","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",3.99309118233978e-08,2.19506706319369
"Diet contrasts among control","Control 83 vs 33","LOC126293737","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",4.84608908072525e-08,1.84501425028209
"Diet contrasts among control","Control 83 vs 33","LOC126295405","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",1.09609781872194e-07,2.55963638356242
"Diet contrasts among control","Control 83 vs 33","LOC126336533","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",5.11902448063723e-07,3.70883932781162
"Diet contrasts among control","Control 83 vs 33","LOC126273306","All samples; Current outliers removed; Expanded outlier set",3,"Upregulated",9.11746731047185e-07,1.26516448111038
"Diet contrasts among control","Control 83 vs 33","LOC126337066","All samples; Current outliers removed; Expanded outlier set",3,"Downregulated",2.58652678557486e-06,3.36505612431798
