gene_id,Description,gene_biotype,meeting_theme,called_in_diets,n_called_diets,max_abs_log2FC,min_padj,response_directions
LOC126285462,peptidoglycan-recognition protein SB1-like,protein_coding,Immune pathway,33;50;83,3,3.79884949753276,1.48818760291954e-31,Higher in infected
LOC126335828,toll-like receptor 2,protein_coding,Immune pathway,33;50;83,3,3.47686971610631,1.50154505179507e-26,Higher in infected
LOC126335463,serpin B8-like,protein_coding,Immune pathway,33;50;83,3,6.99375780523175,5.02213011651629e-24,Higher in infected
LOC126356285,toll-like receptor 2,protein_coding,Immune pathway,33;50;83,3,4.5598795812042,5.12906926660901e-22,Higher in infected
LOC126325232,toll-like receptor 2,protein_coding,Immune pathway,33;50;83,3,4.68090422328973,7.93200348851111e-18,Higher in infected
LOC126336414,hemocyanin-like,protein_coding,Immune pathway,33;50;83,3,6.78388478174748,1.01723148478947e-17,Higher in infected
LOC126267038,signal transducer and activator of transcription 5A,protein_coding,Immune pathway,33;50;83,3,1.18762732379761,3.31667299577634e-16,Higher in infected
LOC126335468,serpin B6-like,protein_coding,Immune pathway,33;50;83,3,4.99132300648467,1.09024973366198e-15,Higher in infected
LOC126284033,toll-like receptor 2,protein_coding,Immune pathway,33;50;83,3,4.44406586244142,1.4400280171005102e-15,Higher in infected
LOC126267163,peptidoglycan-recognition protein SA-like,protein_coding,Immune pathway,33;50;83,3,4.41072778238026,3.8772203546018906e-15,Higher in infected
LOC126271975,lysozyme-like,protein_coding,Immune pathway,33;50,2,7.4991952443199,3.5839587460831204e-14,Higher in infected
LOC126325205,toll-like receptor 4,protein_coding,Immune pathway,33;50;83,3,2.92206614185062,1.8292502548352899e-13,Higher in infected
LOC126335547,serpin B6-like,protein_coding,Immune pathway,33;50;83,3,2.97769414431241,2.50680880651974e-13,Higher in infected
LOC126356204,zwittermicin A synthase ZmaJ,protein_coding,Immune pathway,50;83,2,3.98480948879339,9.460174007178439e-13,Higher in infected
LOC126267215,peptidoglycan recognition protein 1-like,protein_coding,Immune pathway,33;50;83,3,5.53506673495794,2.1009868667582298e-12,Higher in infected
LOC126266760,peptidoglycan recognition protein-like,protein_coding,Immune pathway,33;50;83,3,2.82099081140577,2.1872365943574e-12,Higher in infected
LOC126268068,peptidoglycan recognition protein 1-like,protein_coding,Immune pathway,33;50,2,2.34932136228776,1.46118459323763e-11,Higher in infected
LOC126284043,toll-like receptor 2,protein_coding,Immune pathway,33;50,2,2.92445479906357,2.75686960163208e-10,Higher in infected
LOC126365918,peptidoglycan-recognition protein LA-like,protein_coding,Immune pathway,50,1,1.69937999848552,1.7497210629535902e-9,Higher in infected
LOC126331691,toll-like receptor 2 type-2,protein_coding,Immune pathway,33;50;83,3,3.47853652774161,2.15397067562607e-8,Higher in infected
LOC126282030,nuclear factor NF-kappa-B p110 subunit,protein_coding,Immune pathway,33;50;83,3,1.98342067904098,4.52060210374095e-8,Higher in infected
LOC126267216,peptidoglycan recognition protein 1-like,protein_coding,Immune pathway,33;50;83,3,4.87128936224799,4.55032468292658e-8,Higher in infected
LOC126336325,defensin-like,protein_coding,Immune pathway,33;50;83,3,6.71394730369056,6.07357670307902e-8,Higher in infected
LOC126267652,peptidoglycan-recognition protein SC1a-like,protein_coding,Immune pathway,50,1,2.90971920106126,2.67925398420987e-7,Higher in infected
LOC126284463,peptidoglycan-recognition protein LB-like,protein_coding,Immune pathway,50;83,2,4.54558337376677,7.32044704372713e-7,Higher in infected
LOC126335545,leukocyte elastase inhibitor-like,protein_coding,Immune pathway,33;50;83,3,3.75902806575993,7.43812672642909e-7,Higher in infected
LOC126293579,melanization protease 1-like,protein_coding,Immune pathway,33;50,2,4.44620150103155,1.59837546849853e-6,Higher in infected
LOC126359055,toll-like receptor 2,protein_coding,Immune pathway,33;50;83,3,3.50799211026377,2.74308527043616e-6,Higher in infected
LOC126335472,serpin B4-like,protein_coding,Immune pathway,33;50,2,2.2578623317455,1.14623277362143e-5,Higher in infected
LOC126322960,lysozyme-like,protein_coding,Immune pathway,33;50,2,1.6570930078589,8.7502087243977e-5,Higher in control
LOC126272576,follistatin,protein_coding,Immune pathway,50,1,1.32811361841159,1.12336388103187e-4,Higher in control
LOC126272362,lysozyme c-1-like,protein_coding,Immune pathway,50,1,1.58169547226857,1.67308332893978e-4,Higher in infected
LOC126359091,toll-like receptor 2 type-2,protein_coding,Immune pathway,33;50;83,3,2.59151550227286,1.78177087802095e-4,Higher in infected
LOC126277383,putative lysozyme-like protein,protein_coding,Immune pathway,33;50;83,3,3.11964685600064,1.88539391167875e-4,Higher in control
LOC126335288,polypeptide N-acetylgalactosaminyltransferase 3-like,protein_coding,Immune pathway,33;50;83,3,1.92041623477605,4.31618394935372e-4,Higher in infected
LOC126298241,tolloid-like protein 1,protein_coding,Immune pathway,50,1,1.05144006938156,5.85475565354305e-4,Higher in infected
LOC126336076,serpin B8-like,protein_coding,Immune pathway,50,1,3.85285585791812,6.38097187145965e-4,Higher in infected
