"family","plot_label","direction","pathway_scope","n_enriched_pathways"
"Infected within diet","Diet 33","Upregulated","Eukaryote/metazoan-compatible",4
"Infected within diet","Diet 33","Upregulated","Core metabolism or cross-domain",1
"Infected within diet","Diet 33","Upregulated","Broad KEGG reference map",0
"Infected within diet","Diet 33","Upregulated","Microbial/prokaryote-associated label",0
"Infected within diet","Diet 33","Upregulated","Reference disease pathway",0
"Infected within diet","Diet 33","Upregulated","Unclassified KEGG reference label",0
"Infected within diet","Diet 33","Downregulated","Eukaryote/metazoan-compatible",1
"Infected within diet","Diet 33","Downregulated","Core metabolism or cross-domain",26
"Infected within diet","Diet 33","Downregulated","Broad KEGG reference map",5
"Infected within diet","Diet 33","Downregulated","Microbial/prokaryote-associated label",0
"Infected within diet","Diet 33","Downregulated","Reference disease pathway",1
"Infected within diet","Diet 33","Downregulated","Unclassified KEGG reference label",0
"Infected within diet","Diet 50","Upregulated","Eukaryote/metazoan-compatible",3
"Infected within diet","Diet 50","Upregulated","Core metabolism or cross-domain",1
"Infected within diet","Diet 50","Upregulated","Broad KEGG reference map",0
"Infected within diet","Diet 50","Upregulated","Microbial/prokaryote-associated label",0
"Infected within diet","Diet 50","Upregulated","Reference disease pathway",0
"Infected within diet","Diet 50","Upregulated","Unclassified KEGG reference label",0
"Infected within diet","Diet 50","Downregulated","Eukaryote/metazoan-compatible",1
"Infected within diet","Diet 50","Downregulated","Core metabolism or cross-domain",9
"Infected within diet","Diet 50","Downregulated","Broad KEGG reference map",4
"Infected within diet","Diet 50","Downregulated","Microbial/prokaryote-associated label",0
"Infected within diet","Diet 50","Downregulated","Reference disease pathway",1
"Infected within diet","Diet 50","Downregulated","Unclassified KEGG reference label",0
"Infected within diet","Diet 83","Upregulated","Eukaryote/metazoan-compatible",3
"Infected within diet","Diet 83","Upregulated","Core metabolism or cross-domain",1
"Infected within diet","Diet 83","Upregulated","Broad KEGG reference map",0
"Infected within diet","Diet 83","Upregulated","Microbial/prokaryote-associated label",0
"Infected within diet","Diet 83","Upregulated","Reference disease pathway",0
"Infected within diet","Diet 83","Upregulated","Unclassified KEGG reference label",0
"Infected within diet","Diet 83","Downregulated","Eukaryote/metazoan-compatible",0
"Infected within diet","Diet 83","Downregulated","Core metabolism or cross-domain",12
"Infected within diet","Diet 83","Downregulated","Broad KEGG reference map",4
"Infected within diet","Diet 83","Downregulated","Microbial/prokaryote-associated label",0
"Infected within diet","Diet 83","Downregulated","Reference disease pathway",1
"Infected within diet","Diet 83","Downregulated","Unclassified KEGG reference label",0
"Control animals only","33 vs 50","Upregulated","Eukaryote/metazoan-compatible",0
"Control animals only","33 vs 50","Upregulated","Core metabolism or cross-domain",0
"Control animals only","33 vs 50","Upregulated","Broad KEGG reference map",0
"Control animals only","33 vs 50","Upregulated","Microbial/prokaryote-associated label",0
"Control animals only","33 vs 50","Upregulated","Reference disease pathway",0
"Control animals only","33 vs 50","Upregulated","Unclassified KEGG reference label",0
