"comparison_type","comparison","signed_direction","n_DEGs"
"Diet by infection interaction","Infection response: 33 vs 50","Downregulated",3
"Diet by infection interaction","Infection response: 83 vs 33","Downregulated",2
"Diet by infection interaction","Infection response: 83 vs 33","Upregulated",5
"Diet by infection interaction","Infection response: 83 vs 50","Downregulated",1
"Diet by infection interaction","Infection response: 83 vs 50","Upregulated",4
"Diet contrasts among control","Control 33 vs 50","Upregulated",2
"Diet contrasts among control","Control 83 vs 33","Downregulated",22
"Diet contrasts among control","Control 83 vs 33","Upregulated",25
"Diet contrasts among control","Control 83 vs 50","Downregulated",5
"Diet contrasts among control","Control 83 vs 50","Upregulated",18
"Diet contrasts among infected","Infected 33 vs 50","Downregulated",99
"Diet contrasts among infected","Infected 33 vs 50","Upregulated",5
"Diet contrasts among infected","Infected 83 vs 33","Downregulated",16
"Diet contrasts among infected","Infected 83 vs 33","Upregulated",23
"Diet contrasts among infected","Infected 83 vs 50","Downregulated",4
"Diet contrasts among infected","Infected 83 vs 50","Upregulated",11
"Infection within diet","Diet 33: infected vs control","Downregulated",396
"Infection within diet","Diet 33: infected vs control","Upregulated",461
"Infection within diet","Diet 50: infected vs control","Downregulated",374
"Infection within diet","Diet 50: infected vs control","Upregulated",742
"Infection within diet","Diet 83: infected vs control","Downregulated",269
"Infection within diet","Diet 83: infected vs control","Upregulated",499
"Overall infection","Average infected vs control","Downregulated",690
"Overall infection","Average infected vs control","Upregulated",732
