"canonical_gene_order","gene_id","Description","gene_biotype","DEG_context","comparisons","directions","max_abs_log2FC","min_padj","candidate_k2","candidate_k3","candidate_k4"
1,"LOC126334884","juvenile hormone esterase-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.80528845407363,0.0257120945083355,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
2,"LOC126335010","amine oxidase [flavin-containing]-like","protein_coding","Diet in infected","infected_diet33_vs50","Infected diet 50",6.1803799958528,0.0284402407316152,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
3,"LOC126273233","venom carboxylesterase-6-like","protein_coding","Infection + diet","infected_diet33_vs50; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 50",2.83881388687041,0.00906521886194402,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
4,"LOC126322933","uncharacterized LOC126322933","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.01049943960349,0.0392563356704193,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
5,"LOC126268174","sodium-coupled monocarboxylate transporter 1-like","protein_coding","Infection + diet","infected_diet33_vs50; infection_average_all_diets","Average control; Infected diet 50",4.37736402672394,0.0188876028130617,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
6,"LOC126268172","sodium-coupled monocarboxylate transporter 2-like","protein_coding","Infection + diet","infected_diet33_vs50; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 50",5.56534515491202,0.00139053735387521,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
7,"LOC126268173","sodium-coupled monocarboxylate transporter 1-like","protein_coding","Infection + diet","infected_diet33_vs50; infection_diet33","Control diet 33; Infected diet 50",5.34691730551301,0.0127573566261294,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
8,"LOC126284566","sodium-coupled monocarboxylate transporter 1-like","protein_coding","Infection + diet","infected_diet33_vs50; infection_diet33","Control diet 33; Infected diet 50",5.87930051164036,0.0280076327764939,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
9,"LOC126293755","synaptic vesicle glycoprotein 2B-like","protein_coding","Infection + diet","infected_diet33_vs50; infection_diet33","Control diet 33; Infected diet 50",6.70858247703973,0.0071313866435593,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
10,"LOC126335461","sodium-independent sulfate anion transporter","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",5.40533465386555,0.0151382052670633,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
11,"LOC126281438","sorbitol dehydrogenase-like","protein_coding","Infection + diet","infected_diet33_vs50; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 50",6.4816748026813,0.00963599879586685,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
12,"LOC126354705","juvenile hormone esterase-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",2.57187696617817,0.0117577394326975,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
13,"LOC126291795","luciferin sulfotransferase-like","protein_coding","Infection within diet","infection_diet33","Control diet 33",5.16821811579941,0.0484526498592338,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
14,"LOC126336149","uncharacterized LOC126336149","protein_coding","Infection within diet","infection_diet33","Control diet 33",5.31192717211069,0.0227843113054227,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
15,"LOC126266841","FAD-dependent oxidoreductase domain-containing protein 1-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.62945804386277,0.0464167300902252,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
16,"LOC126281049","retinal dehydrogenase 2-like","protein_coding","Infection + diet","infected_diet33_vs50; infection_diet33","Control diet 33; Infected diet 50",7.72518296280546,0.0115535967347969,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
17,"LOC126285310","UDP-glycosyltransferase UGT5-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",6.01071458709509,0.00957738140196123,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
18,"LOC126272706","probable salivary secreted peptide","protein_coding","Diet in infected","infected_diet33_vs50","Infected diet 50",5.06783639744786,0.0181705328655284,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
19,"LOC126278585","dipeptidase 1-like","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",4.61132732249668,0.0118829185760315,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
20,"LOC126298104","aminoacylase-1A-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.06226329551259,0.0180617015262272,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
21,"LOC126334647","ATP-binding cassette sub-family C member 4-like","protein_coding","Infection within diet","infection_diet33","Control diet 33",5.08427198981432,0.0333425244487727,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
22,"LOC126354828","monocarboxylate transporter 13-like","protein_coding","Diet in infected","infected_diet33_vs50","Infected diet 50",6.31201349128003,0.0300773740357552,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
23,"LOC126266862","UNC93-like protein","protein_coding","Infection + diet","infected_diet33_vs50; infection_average_all_diets; infection_diet33; infection_diet50","Average control; Control diet 33; Control diet 50; Infected diet 50",2.24825444510051,0.00426023389544947,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
24,"LOC126278499","facilitated trehalose transporter Tret1-2 homolog","protein_coding","Infection + diet","infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33; interaction_diet33_vs50; interaction_diet83_vs33","Average control; Control diet 33; Infected diet 50; Infected diet 83; Infection response diet 50; Infection response diet 83",22.7298939327996,3.10851550626942e-27,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
25,"LOC126303359","uncharacterized LOC126303359","protein_coding","Infection within diet","infection_average_all_diets","Average control",2.40935434585715,0.0486420049772103,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
26,"LOC126324213","uncharacterized LOC126324213","protein_coding","Infection within diet","infection_average_all_diets; infection_diet33","Average control; Control diet 33",5.74216947626565,0.0275337213551887,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
27,"LOC126272232","synaptic vesicle glycoprotein 2B-like","protein_coding","Infection within diet","infection_average_all_diets","Average control",1.89738390782299,0.0328553541052657,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
28,"LOC126354102","uncharacterized LOC126354102","protein_coding","Infection + diet","infected_diet33_vs50; infection_diet33","Control diet 33; Infected diet 50",6.42971969118206,0.00684173181088619,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
29,"LOC126281974","sorbitol dehydrogenase-like","protein_coding","Infection + diet","infected_diet33_vs50; infected_diet83_vs33; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 50; Infected diet 83",8.01913973602313,0.00256376071178423,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
30,"LOC126266840","alpha-aminoadipic semialdehyde dehydrogenase-like","protein_coding","Infection + diet","infected_diet33_vs50; infection_average_all_diets; infection_diet33","Average control; Control diet 33; Infected diet 50",4.98329605267363,0.00605159809351458,"Candidate cluster 1","Candidate cluster 1","Candidate cluster 1"
