"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","ontology"
"GO:0044281","small molecule metabolic process","54/271","457/5278",0.118161925601751,2.30132340710716,6.77117709671634,2.12486718671549e-09,5.61248660900549e-06,5.61248660900549e-06,"LOC126352958/LOC126299078/LOC126284573/LOC126347783/LOC126278002/LOC126292317/LOC126335505/LOC126325353/LOC126298865/LOC126336866/LOC126281958/LOC126365911/LOC126281672/LOC126334596/LOC126336244/LOC126267953/LOC126281861/LOC126354225/LOC126267535/LOC126272037/LOC126279122/LOC126305900/LOC126281265/LOC126333165/LOC126293368/LOC126355885/LOC126354620/LOC126299150/LOC126335352/LOC126323251/LOC126269845/LOC126320178/LOC126293404/LOC126281446/LOC126266657/LOC126349195/LOC126336251/LOC126291591/LOC126324953/LOC126277907/LOC126336714/LOC126281954/LOC126277880/LOC126284002/LOC126297494/LOC126335256/LOC126365930/LOC126299549/LOC126297871/LOC126336122/LOC126267350/LOC126267222/LOC126299043/LOC126347864",54,"GO","Expressed rRNA-filtered genes",271,5278,"Biological process"
"GO:0016491","oxidoreductase activity","32/271","201/5278",0.159203980099502,3.10065906629216,7.063816626697,5.54544058173801e-09,8.85422012884169e-06,8.85422012884169e-06,"LOC126298770/LOC126297511/LOC126335505/LOC126336866/LOC126281672/LOC126272888/LOC126267953/LOC126305900/LOC126266827/LOC126333165/LOC126355885/LOC126354620/LOC126299150/LOC126285375/LOC126323251/LOC126269845/LOC126320178/LOC126266828/LOC126281446/LOC126266657/LOC126353777/LOC126336714/LOC126281954/LOC126277880/LOC126334959/LOC126297494/LOC126335256/LOC126297871/LOC126336122/LOC126354904/LOC126267222/LOC126299043",32,"GO","Expressed rRNA-filtered genes",271,5278,"Molecular function"
"GO:0051233","spindle midzone","10/271","21/5278",0.476190476190476,9.27429274292743,8.8381412429649,2.3080690577564e-08,2.76391269666329e-05,2.76391269666329e-05,"LOC126267242/LOC126334614/LOC126336566/LOC126334907/LOC126347975/LOC126278341/LOC126266746/LOC126272743/LOC126278346/LOC126279072",10,"GO","Expressed rRNA-filtered genes",271,5278,"Cellular component"
"GO:0019752","carboxylic acid metabolic process","31/271","216/5278",0.143518518518519,2.79516878502118,6.26701147612103,1.18442243742754e-07,0.000113467669505559,0.000113467669505559,"LOC126352958/LOC126347783/LOC126278002/LOC126335505/LOC126325353/LOC126336866/LOC126281672/LOC126334596/LOC126336244/LOC126267953/LOC126281861/LOC126267535/LOC126272037/LOC126293368/LOC126335352/LOC126323251/LOC126269845/LOC126293404/LOC126281446/LOC126349195/LOC126336251/LOC126336714/LOC126284002/LOC126335256/LOC126365930/LOC126297871/LOC126336122/LOC126267350/LOC126267222/LOC126299043/LOC126347864",31,"GO","Expressed rRNA-filtered genes",271,5278,"Biological process"
"GO:0006082","organic acid metabolic process","32/271","233/5278",0.137339055793991,2.67481747778851,6.08281007274559,2.07515290662575e-07,0.000141999748896247,0.000141999748896247,"LOC126352958/LOC126347783/LOC126278002/LOC126335505/LOC126325353/LOC126336866/LOC126281672/LOC126334596/LOC126336244/LOC126267953/LOC126281861/LOC126267535/LOC126272037/LOC126293368/LOC126335352/LOC126323251/LOC126269845/LOC126293404/LOC126281446/LOC126266657/LOC126349195/LOC126336251/LOC126336714/LOC126284002/LOC126335256/LOC126365930/LOC126297871/LOC126336122/LOC126267350/LOC126267222/LOC126299043/LOC126347864",32,"GO","Expressed rRNA-filtered genes",271,5278,"Biological process"
"GO:0043436","oxoacid metabolic process","32/271","233/5278",0.137339055793991,2.67481747778851,6.08281007274559,2.07515290662575e-07,0.000141999748896247,0.000141999748896247,"LOC126352958/LOC126347783/LOC126278002/LOC126335505/LOC126325353/LOC126336866/LOC126281672/LOC126334596/LOC126336244/LOC126267953/LOC126281861/LOC126267535/LOC126272037/LOC126293368/LOC126335352/LOC126323251/LOC126269845/LOC126293404/LOC126281446/LOC126266657/LOC126349195/LOC126336251/LOC126336714/LOC126284002/LOC126335256/LOC126365930/LOC126297871/LOC126336122/LOC126267350/LOC126267222/LOC126299043/LOC126347864",32,"GO","Expressed rRNA-filtered genes",271,5278,"Biological process"
"GO:0005576","extracellular region","33/271","248/5278",0.133064516129032,2.59156648018093,5.97249821535779,2.81485493830682e-07,0.000168539439431121,0.000168539439431121,"LOC126293620/LOC126353822/LOC126284577/LOC126336597/LOC126284250/LOC126273129/LOC126334779/LOC126272576/LOC126356100/LOC126267253/LOC126284629/LOC126336724/LOC126283987/LOC126267997/LOC126284087/LOC126271928/LOC126333165/LOC126284845/LOC126337058/LOC126295285/LOC126336809/LOC126284425/LOC126268712/LOC126352738/LOC126358586/LOC126331446/LOC126336602/LOC126299533/LOC126298594/LOC126284086/LOC126344496/LOC126284491/LOC126334780",33,"GO","Expressed rRNA-filtered genes",271,5278,"Cellular component"
"GO:0005214","structural constituent of chitin-based cuticle","10/271","27/5278",0.37037037037037,7.21333880005467,7.52965894221142,4.19064699224622e-07,0.000200731990928594,0.000200731990928594,"LOC126284577/LOC126336597/LOC126284250/LOC126284087/LOC126284845/LOC126284425/LOC126282270/LOC126336602/LOC126284086/LOC126284491",10,"GO","Expressed rRNA-filtered genes",271,5278,"Molecular function"
"GO:0042302","structural constituent of cuticle","10/271","27/5278",0.37037037037037,7.21333880005467,7.52965894221142,4.19064699224622e-07,0.000200731990928594,0.000200731990928594,"LOC126284577/LOC126336597/LOC126284250/LOC126284087/LOC126284845/LOC126284425/LOC126282270/LOC126336602/LOC126284086/LOC126284491",10,"GO","Expressed rRNA-filtered genes",271,5278,"Molecular function"
"GO:0004497","monooxygenase activity","8/271","17/5278",0.470588235294118,9.16518341654005,7.84414569368368,7.07541909858618e-07,0.000308102340747525,0.000308102340747525,"LOC126272888/LOC126305900/LOC126266827/LOC126333165/LOC126299150/LOC126269845/LOC126320178/LOC126266828",8,"GO","Expressed rRNA-filtered genes",271,5278,"Molecular function"
