"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","ontology","pathway_theme","pathway_scope"
"GO:0005739","mitochondrion","36/271","43/633",0.837209302325581,1.9555479275723,5.61112051068624,1.42525636687601e-08,1.58748493115585e-05,1.58748493115585e-05,"LOC126298770/LOC126336928/LOC126352958/LOC126335505/LOC126272512/LOC126325353/LOC126298865/LOC126336866/LOC126356100/LOC126293382/LOC126334596/LOC126336244/LOC126272888/LOC126272037/LOC126266827/LOC126266662/LOC126281396/LOC126334733/LOC126299150/LOC126323251/LOC126320178/LOC126266828/LOC126281446/LOC126349195/LOC126336251/LOC126354727/LOC126334959/LOC126349792/LOC126284002/LOC126335256/LOC126365930/LOC126299549/LOC126336122/LOC126267350/LOC126299043/LOC126334657",36,"GO","All fat body DEGs in heatmap",271,633,"Cellular component",NA,NA
"GO:0000278","mitotic cell cycle","30/271","34/633",0.88235294117647,2.06099413935316,5.49829366164792,2.1956914677121e-08,1.58748493115585e-05,1.58748493115585e-05,"LOC126284632/LOC126267242/LOC126335481/LOC126336858/LOC126284310/LOC126285437/LOC126354268/LOC126279111/LOC126284276/LOC126282371/LOC126267997/LOC126270526/LOC126284413/LOC126320326/LOC126354218/LOC126334614/LOC126336566/LOC126334907/LOC126272289/LOC126347975/LOC126278341/LOC126326589/LOC126277977/LOC126266746/LOC126266832/LOC126272743/LOC126266967/LOC126278346/LOC126284030/LOC126279072",30,"GO","All fat body DEGs in heatmap",271,633,"Biological process",NA,NA
"GO:0007049","cell cycle","36/271","44/633",0.818181818181818,1.91110365649111,5.41658271779467,4.81348236979768e-08,2.32009850224248e-05,2.32009850224248e-05,"LOC126284632/LOC126267242/LOC126335481/LOC126336858/LOC126284310/LOC126273149/LOC126285437/LOC126354268/LOC126279111/LOC126284276/LOC126282371/LOC126267997/LOC126270526/LOC126284413/LOC126320492/LOC126320326/LOC126354218/LOC126334614/LOC126336566/LOC126334907/LOC126266642/LOC126272375/LOC126272289/LOC126347975/LOC126278341/LOC126326589/LOC126277977/LOC126266746/LOC126353865/LOC126266832/LOC126272743/LOC126356254/LOC126266967/LOC126278346/LOC126284030/LOC126279072",36,"GO","All fat body DEGs in heatmap",271,633,"Biological process",NA,NA
"GO:0022402","cell cycle process","32/271","38/633",0.842105263157895,1.96698388036512,5.31546728075461,7.87466730579969e-08,2.74255109229918e-05,2.74255109229918e-05,"LOC126284632/LOC126267242/LOC126284310/LOC126273149/LOC126285437/LOC126354268/LOC126284276/LOC126282371/LOC126267997/LOC126270526/LOC126284413/LOC126320492/LOC126320326/LOC126354218/LOC126334614/LOC126336566/LOC126334907/LOC126266642/LOC126272375/LOC126272289/LOC126347975/LOC126278341/LOC126326589/LOC126277977/LOC126266746/LOC126353865/LOC126272743/LOC126356254/LOC126266967/LOC126278346/LOC126284030/LOC126279072",32,"GO","All fat body DEGs in heatmap",271,633,"Biological process",NA,NA
"GO:1903047","mitotic cell cycle process","24/271","26/633",0.923076923076923,2.15611694578484,5.20454771723552,9.48323337586163e-08,2.74255109229918e-05,2.74255109229918e-05,"LOC126284632/LOC126267242/LOC126284310/LOC126285437/LOC126354268/LOC126284276/LOC126282371/LOC126267997/LOC126270526/LOC126284413/LOC126354218/LOC126334614/LOC126336566/LOC126334907/LOC126347975/LOC126278341/LOC126326589/LOC126277977/LOC126266746/LOC126272743/LOC126266967/LOC126278346/LOC126284030/LOC126279072",24,"GO","All fat body DEGs in heatmap",271,633,"Biological process",NA,NA
"GO:0043231","intracellular membrane-bounded organelle","115/271","202/633",0.569306930693069,1.32978334733842,4.91082740519034,7.22867759583203e-07,0.000130658347544664,0.000130658347544664,"LOC126298770/LOC126299004/LOC126297882/LOC126284632/LOC126336928/LOC126352958/LOC126297442/LOC126361620/LOC126284573/LOC126267242/LOC126335481/LOC126347783/LOC126336858/LOC126278002/LOC126284310/LOC126324835/LOC126354268/LOC126320757/LOC126335505/LOC126272512/LOC126272690/LOC126284624/LOC126325353/LOC126298865/LOC126336866/LOC126354753/LOC126356100/LOC126299171/LOC126365911/LOC126284276/LOC126281672/LOC126282371/LOC126293382/LOC126334596/LOC126336244/LOC126267253/LOC126272888/LOC126267953/LOC126353790/LOC126281861/LOC126272511/LOC126295143/LOC126281949/LOC126272037/LOC126270526/LOC126305900/LOC126266827/LOC126266662/LOC126359832/LOC126281396/LOC126297907/LOC126354620/LOC126334733/LOC126320492/LOC126299150/LOC126335352/LOC126337896/LOC126323251/LOC126320326/LOC126320178/LOC126362079/LOC126284584/LOC126281164/LOC126266828/LOC126336566/LOC126276967/LOC126272836/LOC126278501/LOC126281446/LOC126266642/LOC126272375/LOC126298660/LOC126363354/LOC126266657/LOC126284788/LOC126349195/LOC126293357/LOC126336251/LOC126334946/LOC126282271/LOC126291476/LOC126334948/LOC126298797/LOC126326589/LOC126268197/LOC126354727/LOC126277977/LOC126266746/LOC126336714/LOC126354478/LOC126355257/LOC126272743/LOC126297938/LOC126334959/LOC126349792/LOC126356182/LOC126284002/LOC126299197/LOC126273293/LOC126335256/LOC126266967/LOC126365930/LOC126299549/LOC126278346/LOC126336122/LOC126299093/LOC126267350/LOC126298758/LOC126284030/LOC126354642/LOC126293483/LOC126279072/LOC126299043/LOC126347864/LOC126334657",115,"GO","All fat body DEGs in heatmap",271,633,"Cellular component",NA,NA
"GO:0043226","organelle","134/271","244/633",0.549180327868853,1.28277176214385,4.87130194653363,8.31907306043993e-07,0.000130765626501526,0.000130765626501526,"LOC126298770/LOC126299004/LOC126297882/LOC126284632/LOC126336928/LOC126352958/LOC126297442/LOC126361620/LOC126284573/LOC126267242/LOC126335481/LOC126347783/LOC126336858/LOC126278002/LOC126284310/LOC126324835/LOC126273149/LOC126285437/LOC126354268/LOC126320757/LOC126335505/LOC126272512/LOC126272690/LOC126284624/LOC126325353/LOC126298865/LOC126336866/LOC126354753/LOC126356100/LOC126299171/LOC126365911/LOC126284276/LOC126281672/LOC126282371/LOC126293382/LOC126334596/LOC126336244/LOC126267253/LOC126272888/LOC126267953/LOC126353790/LOC126297692/LOC126281861/LOC126272511/LOC126295143/LOC126281949/LOC126267997/LOC126272037/LOC126270526/LOC126305900/LOC126284413/LOC126266827/LOC126333165/LOC126266662/LOC126295214/LOC126359832/LOC126281396/LOC126297907/LOC126354620/LOC126334733/LOC126320492/LOC126336809/LOC126299150/LOC126335352/LOC126337896/LOC126323251/LOC126320326/LOC126320178/LOC126362079/LOC126334614/LOC126284584/LOC126281164/LOC126266828/LOC126336566/LOC126334907/LOC126276967/LOC126272836/LOC126278501/LOC126281446/LOC126266642/LOC126358586/LOC126272375/LOC126267315/LOC126298660/LOC126363354/LOC126266657/LOC126284788/LOC126349195/LOC126282005/LOC126293357/LOC126336251/LOC126334946/LOC126347975/LOC126282271/LOC126291476/LOC126334948/LOC126278341/LOC126298797/LOC126326589/LOC126322385/LOC126268197/LOC126354727/LOC126277977/LOC126266746/LOC126336714/LOC126329244/LOC126354478/LOC126355257/LOC126272743/LOC126297938/LOC126334959/LOC126349792/LOC126356182/LOC126284002/LOC126299197/LOC126298067/LOC126273293/LOC126335256/LOC126266967/LOC126365930/LOC126299549/LOC126278346/LOC126336122/LOC126299093/LOC126267350/LOC126298758/LOC126356039/LOC126284030/LOC126354642/LOC126293483/LOC126279072/LOC126299043/LOC126347864/LOC126334657",134,"GO","All fat body DEGs in heatmap",271,633,"Cellular component",NA,NA
"GO:0043229","intracellular organelle","133/271","242/633",0.549586776859504,1.28372114299655,4.85511928344579,9.04326600978742e-07,0.000130765626501526,0.000130765626501526,"LOC126298770/LOC126299004/LOC126297882/LOC126284632/LOC126336928/LOC126352958/LOC126297442/LOC126361620/LOC126284573/LOC126267242/LOC126335481/LOC126347783/LOC126336858/LOC126278002/LOC126284310/LOC126324835/LOC126273149/LOC126285437/LOC126354268/LOC126320757/LOC126335505/LOC126272512/LOC126272690/LOC126284624/LOC126325353/LOC126298865/LOC126336866/LOC126354753/LOC126356100/LOC126299171/LOC126365911/LOC126284276/LOC126281672/LOC126282371/LOC126293382/LOC126334596/LOC126336244/LOC126267253/LOC126272888/LOC126267953/LOC126353790/LOC126297692/LOC126281861/LOC126272511/LOC126295143/LOC126281949/LOC126267997/LOC126272037/LOC126270526/LOC126305900/LOC126284413/LOC126266827/LOC126333165/LOC126266662/LOC126295214/LOC126359832/LOC126281396/LOC126297907/LOC126354620/LOC126334733/LOC126320492/LOC126336809/LOC126299150/LOC126335352/LOC126337896/LOC126323251/LOC126320326/LOC126320178/LOC126362079/LOC126334614/LOC126284584/LOC126281164/LOC126266828/LOC126336566/LOC126334907/LOC126276967/LOC126272836/LOC126278501/LOC126281446/LOC126266642/LOC126272375/LOC126267315/LOC126298660/LOC126363354/LOC126266657/LOC126284788/LOC126349195/LOC126282005/LOC126293357/LOC126336251/LOC126334946/LOC126347975/LOC126282271/LOC126291476/LOC126334948/LOC126278341/LOC126298797/LOC126326589/LOC126322385/LOC126268197/LOC126354727/LOC126277977/LOC126266746/LOC126336714/LOC126329244/LOC126354478/LOC126355257/LOC126272743/LOC126297938/LOC126334959/LOC126349792/LOC126356182/LOC126284002/LOC126299197/LOC126298067/LOC126273293/LOC126335256/LOC126266967/LOC126365930/LOC126299549/LOC126278346/LOC126336122/LOC126299093/LOC126267350/LOC126298758/LOC126356039/LOC126284030/LOC126354642/LOC126293483/LOC126279072/LOC126299043/LOC126347864/LOC126334657",133,"GO","All fat body DEGs in heatmap",271,633,"Cellular component",NA,NA
"GO:0005622","intracellular anatomical structure","158/271","300/633",0.526666666666667,1.23018450184502,4.75229606917209,1.39616715902378e-06,0.000183532519268035,0.000183532519268035,"LOC126278678/LOC126298770/LOC126299004/LOC126297882/LOC126284632/LOC126336928/LOC126352958/LOC126299078/LOC126297442/LOC126361620/LOC126284573/LOC126267242/LOC126335481/LOC126347783/LOC126336858/LOC126278002/LOC126284310/LOC126324835/LOC126273149/LOC126285437/LOC126273842/LOC126354268/LOC126320757/LOC126335505/LOC126279111/LOC126272512/LOC126272690/LOC126355586/LOC126284624/LOC126325353/LOC126298865/LOC126336866/LOC126354753/LOC126356100/LOC126281958/LOC126299171/LOC126365911/LOC126284276/LOC126281672/LOC126282371/LOC126293382/LOC126334596/LOC126336244/LOC126267253/LOC126272888/LOC126267953/LOC126334891/LOC126353790/LOC126297692/LOC126285378/LOC126281861/LOC126336724/LOC126272511/LOC126283987/LOC126295143/LOC126281949/LOC126267535/LOC126267997/LOC126272037/LOC126279122/LOC126270526/LOC126305900/LOC126281265/LOC126284413/LOC126266827/LOC126333165/LOC126266662/LOC126295214/LOC126359832/LOC126281396/LOC126293368/LOC126297907/LOC126354620/LOC126334733/LOC126320492/LOC126336809/LOC126299150/LOC126335352/LOC126337896/LOC126323251/LOC126279052/LOC126320326/LOC126320178/LOC126362079/LOC126354218/LOC126293404/LOC126334614/LOC126284584/LOC126281164/LOC126266828/LOC126336566/LOC126334907/LOC126276967/LOC126272836/LOC126278501/LOC126281446/LOC126266642/LOC126272375/LOC126267315/LOC126328249/LOC126298660/LOC126334929/LOC126363354/LOC126272289/LOC126266657/LOC126284788/LOC126349195/LOC126282005/LOC126293357/LOC126336251/LOC126334946/LOC126347975/LOC126282271/LOC126291476/LOC126334948/LOC126324953/LOC126278341/LOC126298797/LOC126326589/LOC126322385/LOC126268197/LOC126354727/LOC126277977/LOC126266746/LOC126336714/LOC126329244/LOC126354478/LOC126336713/LOC126365980/LOC126355257/LOC126272743/LOC126297938/LOC126334959/LOC126349792/LOC126356182/LOC126284002/LOC126299197/LOC126298067/LOC126273293/LOC126335256/LOC126266967/LOC126365930/LOC126299549/LOC126278346/LOC126297871/LOC126336122/LOC126299093/LOC126267350/LOC126298758/LOC126356039/LOC126284030/LOC126354642/LOC126267222/LOC126293483/LOC126279072/LOC126299043/LOC126347864/LOC126334657",158,"GO","All fat body DEGs in heatmap",271,633,"Cellular component",NA,NA
"GO:0043227","membrane-bounded organelle","124/271","224/633",0.553571428571429,1.29302846599895,4.71694775527013,1.82462018403569e-06,0.000219866732176301,0.000219866732176301,"LOC126298770/LOC126299004/LOC126297882/LOC126284632/LOC126336928/LOC126352958/LOC126297442/LOC126361620/LOC126284573/LOC126267242/LOC126335481/LOC126347783/LOC126336858/LOC126278002/LOC126284310/LOC126324835/LOC126354268/LOC126320757/LOC126335505/LOC126272512/LOC126272690/LOC126284624/LOC126325353/LOC126298865/LOC126336866/LOC126354753/LOC126356100/LOC126299171/LOC126365911/LOC126284276/LOC126281672/LOC126282371/LOC126293382/LOC126334596/LOC126336244/LOC126267253/LOC126272888/LOC126267953/LOC126353790/LOC126297692/LOC126281861/LOC126272511/LOC126295143/LOC126281949/LOC126267997/LOC126272037/LOC126270526/LOC126305900/LOC126266827/LOC126333165/LOC126266662/LOC126295214/LOC126359832/LOC126281396/LOC126297907/LOC126354620/LOC126334733/LOC126320492/LOC126299150/LOC126335352/LOC126337896/LOC126323251/LOC126320326/LOC126320178/LOC126362079/LOC126284584/LOC126281164/LOC126266828/LOC126336566/LOC126276967/LOC126272836/LOC126278501/LOC126281446/LOC126266642/LOC126358586/LOC126272375/LOC126267315/LOC126298660/LOC126363354/LOC126266657/LOC126284788/LOC126349195/LOC126282005/LOC126293357/LOC126336251/LOC126334946/LOC126282271/LOC126291476/LOC126334948/LOC126298797/LOC126326589/LOC126268197/LOC126354727/LOC126277977/LOC126266746/LOC126336714/LOC126329244/LOC126354478/LOC126355257/LOC126272743/LOC126297938/LOC126334959/LOC126349792/LOC126356182/LOC126284002/LOC126299197/LOC126273293/LOC126335256/LOC126266967/LOC126365930/LOC126299549/LOC126278346/LOC126336122/LOC126299093/LOC126267350/LOC126298758/LOC126356039/LOC126284030/LOC126354642/LOC126293483/LOC126279072/LOC126299043/LOC126347864/LOC126334657",124,"GO","All fat body DEGs in heatmap",271,633,"Cellular component",NA,NA
