"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","foreground_set","ontology"
"GO:0006576","biogenic amine metabolic process","13/633","16/5278",0.8125,6.77468404423381,8.53916370701824,3.76777361683318e-10,2.25595445307886e-07,2.25595445307886e-07,"LOC126284548/LOC126267535/LOC126354225/LOC126356039/LOC126333165/LOC126293695/LOC126278953/LOC126271955/LOC126335036/LOC126356204/LOC126282005/LOC126284808/LOC126282517",13,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Biological process"
"GO:0009308","amine metabolic process","13/633","16/5278",0.8125,6.77468404423381,8.53916370701824,3.76777361683318e-10,2.25595445307886e-07,2.25595445307886e-07,"LOC126284548/LOC126267535/LOC126354225/LOC126356039/LOC126333165/LOC126293695/LOC126278953/LOC126271955/LOC126335036/LOC126356204/LOC126282005/LOC126284808/LOC126282517",13,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Biological process"
"GO:0006022","aminoglycan metabolic process","22/633","44/5278",0.5,4.16903633491311,7.79182590998354,6.20891292061164e-10,3.3045214321922e-07,3.3045214321922e-07,"LOC126278279/LOC126354720/LOC126299078/LOC126268068/LOC126267652/LOC126365918/LOC126267217/LOC126336345/LOC126281994/LOC126266657/LOC126346606/LOC126285462/LOC126267061/LOC126346622/LOC126271949/LOC126335001/LOC126267216/LOC126346580/LOC126284041/LOC126267343/LOC126335966/LOC126267215",22,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Biological process"
"GO:0006820","monoatomic anion transport","47/633","157/5278",0.299363057324841,2.49611092663588,7.02487783278708,8.03271249567173e-10,3.49788116856978e-07,3.49788116856978e-07,"LOC126269368/LOC126363354/LOC126324835/LOC126278890/LOC126336375/LOC126354562/LOC126278232/LOC126356631/LOC126354753/LOC126334835/LOC126284897/LOC126356039/LOC126268194/LOC126355939/LOC126335259/LOC126353931/LOC126269352/LOC126299195/LOC126354788/LOC126298679/LOC126354780/LOC126356065/LOC126366011/LOC126353927/LOC126336638/LOC126272884/LOC126278467/LOC126267409/LOC126354478/LOC126273067/LOC126282005/LOC126336688/LOC126298067/LOC126355391/LOC126334955/LOC126299447/LOC126336682/LOC126355684/LOC126325327/LOC126337983/LOC126279835/LOC126272465/LOC126272718/LOC126281351/LOC126355940/LOC126354582/LOC126285413",47,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Biological process"
"GO:0000270","peptidoglycan metabolic process","9/633","9/5278",1,8.33807266982622,8.13283023054953,4.88160029853405e-09,1.55885769533187e-06,1.55885769533187e-06,"LOC126268068/LOC126267652/LOC126365918/LOC126267217/LOC126285462/LOC126267061/LOC126267216/LOC126267343/LOC126267215",9,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Biological process"
"GO:0009253","peptidoglycan catabolic process","9/633","9/5278",1,8.33807266982622,8.13283023054953,4.88160029853405e-09,1.55885769533187e-06,1.55885769533187e-06,"LOC126268068/LOC126267652/LOC126365918/LOC126267217/LOC126285462/LOC126267061/LOC126267216/LOC126267343/LOC126267215",9,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Biological process"
"GO:0098656","monoatomic anion transmembrane transport","37/633","117/5278",0.316239316239316,2.63682639985958,6.60893020284363,1.05634803565924e-08,2.8110594948932e-06,2.8110594948932e-06,"LOC126269368/LOC126363354/LOC126324835/LOC126278890/LOC126354562/LOC126278232/LOC126356631/LOC126354753/LOC126284897/LOC126356039/LOC126268194/LOC126355939/LOC126353931/LOC126269352/LOC126299195/LOC126354788/LOC126298679/LOC126356065/LOC126366011/LOC126353927/LOC126336638/LOC126272884/LOC126267409/LOC126354478/LOC126282005/LOC126336688/LOC126298067/LOC126299447/LOC126336682/LOC126355684/LOC126337983/LOC126279835/LOC126272718/LOC126281351/LOC126355940/LOC126354582/LOC126285413",37,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Biological process"
"GO:0015711","organic anion transport","34/633","106/5278",0.320754716981132,2.67447613937822,6.4284338733734,2.84383639540763e-08,6.81098816700128e-06,6.81098816700128e-06,"LOC126363354/LOC126324835/LOC126278890/LOC126354562/LOC126278232/LOC126356631/LOC126354753/LOC126284897/LOC126356039/LOC126268194/LOC126355939/LOC126353931/LOC126299195/LOC126354788/LOC126298679/LOC126356065/LOC126353927/LOC126336638/LOC126272884/LOC126267409/LOC126354478/LOC126273067/LOC126282005/LOC126336688/LOC126299447/LOC126336682/LOC126355684/LOC126337983/LOC126279835/LOC126272718/LOC126281351/LOC126355940/LOC126354582/LOC126285413",34,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Biological process"
"GO:0006811","monoatomic ion transport","69/633","303/5278",0.227722772277228,1.89876902382181,5.94806095731292,4.10250124662561e-08,9.35760998635079e-06,9.35760998635079e-06,"LOC126269368/LOC126292020/LOC126298058/LOC126267806/LOC126363354/LOC126324835/LOC126278890/LOC126336375/LOC126336038/LOC126354562/LOC126322591/LOC126279690/LOC126278232/LOC126272767/LOC126356631/LOC126354753/LOC126334835/LOC126284897/LOC126358740/LOC126356039/LOC126268194/LOC126324336/LOC126355939/LOC126334943/LOC126335259/LOC126353931/LOC126269352/LOC126297555/LOC126299195/LOC126354788/LOC126298679/LOC126354780/LOC126272139/LOC126356065/LOC126366011/LOC126354186/LOC126279309/LOC126353927/LOC126336638/LOC126272884/LOC126282259/LOC126278467/LOC126267409/LOC126355846/LOC126354478/LOC126336931/LOC126273067/LOC126282005/LOC126336688/LOC126298067/LOC126365875/LOC126355391/LOC126334955/LOC126299447/LOC126266590/LOC126336682/LOC126355684/LOC126335539/LOC126325327/LOC126337983/LOC126356316/LOC126279835/LOC126272465/LOC126272718/LOC126281351/LOC126355940/LOC126355303/LOC126354582/LOC126285413",69,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Biological process"
"GO:0006027","glycosaminoglycan catabolic process","9/633","10/5278",0.9,7.5042654028436,7.59937566613139,4.36129156297574e-08,9.49572117575173e-06,9.49572117575173e-06,"LOC126268068/LOC126267652/LOC126365918/LOC126267217/LOC126285462/LOC126267061/LOC126267216/LOC126267343/LOC126267215",9,"GO","Expressed rRNA-filtered main-chromosome genes",633,5278,"All main-chromosome DEGs","Biological process"
