"sample_index","label","Treatment","Diet","pct_unique_fungus","display_percentage"
1,"1003","Control","33",0.000751958602299328,0.000751958602299328
2,"1006","Control","33",4.35943925404763e-05,4.35943925404763e-05
3,"1009","Control","33",0.000789822008057048,0.000789822008057048
4,"1030","Control","33",0.00183610939185808,0.00183610939185808
5,"1033","Control","33",0.000350402827470495,0.000350402827470495
6,"1036","Control","33",0.000124930938313095,0.000124930938313095
7,"1039","Control","33",0.000561836849566437,0.000561836849566437
8,"1004","Control","50",0.000328283005688291,0.000328283005688291
9,"1007","Control","50",0.000787460362328342,0.000787460362328342
10,"1031","Control","50",0.000303085175313677,0.000303085175313677
11,"1034","Control","50",9.64944413773954e-05,9.64944413773954e-05
12,"1037","Control","50",0.000190327588938298,0.000190327588938298
13,"1040","Control","50",0.000196528305031245,0.000196528305031245
14,"1002","Control","83",0.000747851838086678,0.000747851838086678
15,"1005","Control","83",0.000352236570131622,0.000352236570131622
16,"1011","Control","83",0.00025701326004229,0.00025701326004229
17,"1032","Control","83",8.10659173725909e-05,8.10659173725909e-05
18,"1035","Control","83",0.000340369730131106,0.000340369730131106
19,"1038","Control","83",5.22320757307643e-05,5.22320757307643e-05
20,"1041","Control","83",0.000134385544147016,0.000134385544147016
21,"1015","Infected","33",0.00177873656185982,0.00177873656185982
22,"1018","Infected","33",0.00138442343975328,0.00138442343975328
23,"1021","Infected","33",0.000520481043451245,0.000520481043451245
24,"1027","Infected","33",0.0188195726453617,0.0188195726453617
25,"1042","Infected","33",0.000334407406901125,0.000334407406901125
26,"1045","Infected","33",0.000504047983282293,0.000504047983282293
27,"1051","Infected","33",0.000874479051284014,0.000874479051284014
28,"1054","Infected","33",0.0635410969742635,0.0635410969742635
29,"1057","Infected","33",0.638047598719269,0.1
30,"1016","Infected","50",0.0484159920420253,0.0484159920420253
31,"1025","Infected","50",0.783607354002494,0.1
32,"1028","Infected","50",0.000660981178375624,0.000660981178375624
33,"1043","Infected","50",0.000391291244673189,0.000391291244673189
34,"1046","Infected","50",0.000973200143747786,0.000973200143747786
35,"1049","Infected","50",0.00672019178155492,0.00672019178155492
36,"1052","Infected","50",0.000509825982695289,0.000509825982695289
37,"1055","Infected","50",0.00083954023342335,0.00083954023342335
38,"1058","Infected","50",3.12975903737515,0.1
39,"1014","Infected","83",0.000469006561245456,0.000469006561245456
40,"1020","Infected","83",0.000368170253947311,0.000368170253947311
41,"1023","Infected","83",0.0274488158027575,0.0274488158027575
42,"1024","Infected","83",0.00108522507128022,0.00108522507128022
43,"1029","Infected","83",2.78622245847903,0.1
44,"1050","Infected","83",0.000603197087590342,0.000603197087590342
