"label","fungal_exon_fragments","unique_fungus","pct_unique_fungus","Treatment","Diet","condition","sample_name"
"1003",2,158,0.000751958602299328,"Control","33","Control 33","1003"
"1006",4,8,4.35943925404763e-05,"Control","33","Control 33","1006"
"1009",4,256,0.000789822008057048,"Control","33","Control 33","1009"
"1030",193,996,0.00183610939185808,"Control","33","Control 33","1030"
"1033",4,160,0.000350402827470495,"Control","33","Control 33","1033"
"1036",6,46,0.000124930938313095,"Control","33","Control 33","1036"
"1039",8,238,0.000561836849566437,"Control","33","Control 33","1039"
"1004",0,100,0.000328283005688291,"Control","50","Control 50","1004"
"1007",7,212,0.000787460362328342,"Control","50","Control 50","1007"
"1031",3,102,0.000303085175313677,"Control","50","Control 50","1031"
"1034",2,32,9.64944413773954e-05,"Control","50","Control 50","1034"
"1037",19,72,0.000190327588938298,"Control","50","Control 50","1037"
"1040",4,70,0.000196528305031245,"Control","50","Control 50","1040"
"1002",0,132,0.000747851838086678,"Control","83","Control 83","1002"
"1005",2,84,0.000352236570131622,"Control","83","Control 83","1005"
"1011",5,60,0.00025701326004229,"Control","83","Control 83","1011"
"1032",1,30,8.10659173725909e-05,"Control","83","Control 83","1032"
"1035",3,126,0.000340369730131106,"Control","83","Control 83","1035"
"1038",4,16,5.22320757307643e-05,"Control","83","Control 83","1038"
"1041",3,32,0.000134385544147016,"Control","83","Control 83","1041"
"1015",74,456,0.00177873656185982,"Infected","33","Infected 33","1015"
"1018",8,692,0.00138442343975328,"Infected","33","Infected 33","1018"
"1021",6,182,0.000520481043451245,"Infected","33","Infected 33","1021"
"1027",1305,4156,0.0188195726453617,"Infected","33","Infected 33","1027"
"1042",12,114,0.000334407406901125,"Infected","33","Infected 33","1042"
"1045",21,174,0.000504047983282293,"Infected","33","Infected 33","1045"
"1051",7,276,0.000874479051284014,"Infected","33","Infected 33","1051"
"1054",5408,19262,0.0635410969742635,"Infected","33","Infected 33","1054"
"1057",64832,225150,0.638047598719269,"Infected","33","Infected 33","1057"
"1016",1913,6742,0.0484159920420253,"Infected","50","Infected 50","1016"
"1025",93895,286680,0.783607354002494,"Infected","50","Infected 50","1025"
"1028",1,214,0.000660981178375624,"Infected","50","Infected 50","1028"
"1043",5,150,0.000391291244673189,"Infected","50","Infected 50","1043"
"1046",22,286,0.000973200143747786,"Infected","50","Infected 50","1046"
"1049",496,2346,0.00672019178155492,"Infected","50","Infected 50","1049"
"1052",3,134,0.000509825982695289,"Infected","50","Infected 50","1052"
"1055",27,264,0.00083954023342335,"Infected","50","Infected 50","1055"
"1058",129925,478026,3.12975903737515,"Infected","50","Infected 50","1058"
"1014",2,90,0.000469006561245456,"Infected","83","Infected 83","1014"
"1020",2,98,0.000368170253947311,"Infected","83","Infected 83","1020"
"1023",1356,4584,0.0274488158027575,"Infected","83","Infected 83","1023"
"1024",2,222,0.00108522507128022,"Infected","83","Infected 83","1024"
"1029",302890,965784,2.78622245847903,"Infected","83","Infected 83","1029"
"1050",4,194,0.000603197087590342,"Infected","83","Infected 83","1050"
