"dataset","diet","direction","n_degs","signed_n"
"Full dataset","33","Higher in control",441,-441
"Full dataset","33","Higher in infected",457,457
"Full dataset","50","Higher in control",518,-518
"Full dataset","50","Higher in infected",794,794
"Full dataset","83","Higher in control",177,-177
"Full dataset","83","Higher in infected",342,342
"Outliers removed","33","Higher in control",386,-386
"Outliers removed","33","Higher in infected",417,417
"Outliers removed","50","Higher in control",432,-432
"Outliers removed","50","Higher in infected",2453,2453
"Outliers removed","83","Higher in control",177,-177
"Outliers removed","83","Higher in infected",342,342
