"diet","direction","Functional_theme","n_curated_degs"
"33","Higher in infected","Immune-related",1
"33","Higher in infected","Nutrition/metabolism",3
"33","Higher in control","Immune-related",1
"33","Higher in control","Nutrition/metabolism",2
"50","Higher in infected","Immune-related",2
"50","Higher in infected","Nutrition/metabolism",1
"50","Higher in control","Immune-related",1
"83","Higher in infected","Immune-related",2
"83","Higher in infected","Nutrition/metabolism",1
NA,NA,"Immune-related",30
NA,NA,"Nutrition/metabolism",34
