"label","PC1","PC2","Diet","Treatment"
"1002",-12.3272861227093,10.4390683212431,"83","Control"
"1005",-13.668080091884,0.137137118117851,"83","Control"
"1011",-13.9680964829412,-5.37318233713645,"83","Control"
"1014",11.7359565460648,0.423776095215048,"83","Infected"
"1020",8.50132068533799,11.8433538474803,"83","Infected"
"1023",32.5080500460189,-7.99827134822826,"83","Infected"
"1024",8.22888276360077,8.67322905544188,"83","Infected"
"1029",30.448769811117,-2.40345793498133,"83","Infected"
"1032",-18.4742062714663,-3.3706016259973,"83","Control"
"1035",-5.96739154862765,2.23540835075316,"83","Control"
"1038",-15.0608817896972,-4.96309437530548,"83","Control"
"1041",-18.8091950817011,-6.00390375669849,"83","Control"
"1050",6.85215753688731,-3.63946140990394,"83","Infected"
