"heatmap_row_order","gene_id","Description","DEG_scope","n_infection_diets","infection_diets","directions","comparisons","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
1,"LOC126355031","Tumor necrosis factor receptor / nerve growth factor receptor repeats.","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.01302185965865,0.0294544537470712,2.43315017367751,"1014","Higher than gene average"
2,"LOC126284297","-","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",2.15238856542719,0.0476743059720998,2.80894366330663,"1050","Higher than gene average"
3,"LOC126284252","Thrombospondin type 1 repeats","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.82328264160813,0.0079158467283525,1.8785631508164,"1040","Higher than gene average"
4,"LOC126335577","It is involved in the biological process described with transmembrane transport","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.84553406691838,0.0447398271918191,2.17020195767007,"1040","Higher than gene average"
5,"LOC126272350","carbohydrate binding","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",3.43861911207472,8.90086880102552e-07,2.19933077662587,"1050","Higher than gene average"
6,"LOC126341133","Calcium ion binding","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",3.57790357693573,1.55104085673776e-06,2.1020107180252,"1040","Higher than gene average"
7,"LOC126298810","PAN domain","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",2.68519492227908,0.042321237571268,2.68974724601539,"1050","Higher than gene average"
8,"LOC126297876","no description","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",4.27236291355023,0.0013964681925927,3.37808870333188,"1050","Higher than gene average"
9,"LOC126280740","EB module","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",2.25750847015954,0.0119604659298412,2.33784860132215,"1050","Higher than gene average"
10,"LOC126354720","Domain present in fly proteins (CG14681, CG12492, CG6217), worm H06A10.1 and Arabidopsis thaliana MBG8.9.","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",2.27784792356325,0.00198487537678508,2.1680075102364,"1040","Higher than gene average"
11,"LOC126355865","C-type lectin (CTL) or carbohydrate-recognition domain (CRD)","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",2.61699785733164,0.0274963624333756,3.08460237411185,"1050","Higher than gene average"
12,"LOC126268104","Zona pellucida (ZP) domain","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",2.63197357890188,7.8881474467687e-05,3.46689377250513,"1050","Higher than gene average"
13,"LOC126267256","C-type lectin (CTL) or carbohydrate-recognition domain (CRD)","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.94310070557986,0.0347834625089631,3.66414623118219,"1050","Higher than gene average"
14,"LOC126271944","SLIT-ROBO Rho","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.07148483420917,1.70181170341009e-06,1.87063492029904,"1050","Higher than gene average"
15,"LOC126354154","It is involved in the biological process described with carbohydrate metabolic process","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.83204830521118,0.0129674525974493,2.61496769793831,"1039","Higher than gene average"
16,"LOC126354433","Src homology 3 domains","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.4708511002723,0.032463964660241,2.60791344163102,"1040","Higher than gene average"
17,"LOC126284742","Carbohydrate sulfotransferase","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.70076516990214,0.0138607981478635,2.10827526235188,"1016","Lower than gene average"
18,"LOC126284187","Zinc finger, C2H2 type","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.05177566300452,0.0389739847263956,2.65057630474707,"1050","Higher than gene average"
19,"LOC126284858","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",3.34135142772842,0.00204148847416238,2.35132314488379,"1040","Higher than gene average"
20,"LOC126334867","Smad binding","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.09852310374173,0.0057568498907936,2.12544829009118,"1029","Lower than gene average"
21,"LOC126297938","sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated","DEG in 1 diet",1,"50","Higher in control","Diet 50: infected vs control",1.22918241112182,0.0164718225452535,1.98272485346396,"1050","Higher than gene average"
