"label","PC1","PC2","Diet","Treatment","Condition"
"1002",-13.6714565328106,-54.2220198884813,"83","Control","83 Control"
"1003",35.2773000842215,-15.9814163361244,"33","Control","33 Control"
"1004",33.7270749701485,-15.1001098477579,"50","Control","50 Control"
"1005",31.6261566532292,-11.6113226827543,"83","Control","83 Control"
"1006",37.5319432429967,-27.7987943984405,"33","Control","33 Control"
"1009",37.8860823853153,-5.71612889445729,"33","Control","33 Control"
"1011",28.2855508193947,-4.33580654882967,"83","Control","83 Control"
"1014",-37.1940156428234,-15.9882877602656,"83","Infected","83 Infected"
"1015",-19.6220113898265,23.6397065436797,"33","Infected","33 Infected"
"1016",-92.7920229436173,-27.1753180084001,"50","Infected","50 Infected"
"1018",10.5604966554532,10.3572481746432,"33","Infected","33 Infected"
"1020",-19.1660673544135,-21.6198273140603,"83","Infected","83 Infected"
"1021",15.7314968488426,4.00186001427265,"33","Infected","33 Infected"
"1023",-23.439171372799,55.6834319432736,"83","Infected","83 Infected"
"1024",-51.9125345149596,-44.1508675877498,"83","Infected","83 Infected"
"1025",-36.7287444537214,0.388604413082252,"50","Infected","50 Infected"
"1027",-37.965574335709,30.8112674052384,"33","Infected","33 Infected"
"1028",5.98422319050784,18.8962538319727,"50","Infected","50 Infected"
"1029",-16.4016123055073,40.0379329541643,"83","Infected","83 Infected"
"1030",40.66283945267,-12.4673003547904,"33","Control","33 Control"
"1031",28.9514751659956,-7.41803617689137,"50","Control","50 Control"
"1032",25.9256127519859,-21.9873297478895,"83","Control","83 Control"
"1033",25.337089175845,-6.5338436099296,"33","Control","33 Control"
"1034",36.0535321702202,-18.2828402431917,"50","Control","50 Control"
"1035",10.2620680746696,-15.5307451742908,"83","Control","83 Control"
"1038",1.31335272107008,-31.6021063199792,"83","Control","83 Control"
"1040",35.6669991536027,-0.104206203943937,"50","Control","50 Control"
"1041",35.9669203452432,-4.22084739865177,"83","Control","83 Control"
"1042",11.5790762498618,31.5235272524605,"33","Infected","33 Infected"
"1043",-5.88561357683977,-5.37275091653833,"50","Infected","50 Infected"
"1045",9.95337146749486,9.26240349862978,"33","Infected","33 Infected"
"1046",-78.143771500745,-36.0191517246578,"50","Infected","50 Infected"
"1049",-12.9346393770785,39.8327513863545,"50","Infected","50 Infected"
"1050",11.367059592744,23.8288449952711,"83","Infected","83 Infected"
"1051",17.9110500862661,8.49698820625916,"33","Infected","33 Infected"
"1052",1.74559370944605,20.085382907099,"50","Infected","50 Infected"
"1054",-12.8175811308162,29.8592574684914,"33","Infected","33 Infected"
"1055",-32.533221167163,-9.14388388587942,"50","Infected","50 Infected"
"1057",-9.54332311147369,40.5201759176474,"33","Infected","33 Infected"
"1058",-28.5550042569221,25.1573041114134,"50","Infected","50 Infected"
