"heatmap_row_order","gene_id","Description","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction"
1,"LOC126353857","no description","Diet in controls","Shared head/thorax phase DEG",1,"Control 83 vs 33","Downregulated",2.10442683578626,0.000305572533708551,1.97741926499322,"1030","Higher than gene average"
2,"LOC126272465","It is involved in the biological process described with transmembrane transport","Infection + diet","No phase DEG",5,"Control 33 vs 50; Control 83 vs 33; Diet 50: infected vs control; Infected 33 vs 50; Infected 83 vs 33","Downregulated; Upregulated",6.28363200859142,6.58408969246059e-18,3.28359431167316,"1021","Higher than gene average"
3,"LOC126354934","no description","Diet in controls + infected","Shared head/thorax phase DEG",2,"Control 83 vs 33; Infected 33 vs 50","Downregulated; Upregulated",3.88870969053307,0.00679622801761384,3.57103235295291,"1042","Higher than gene average"
4,"LOC126278199","Leucine rich repeat C-terminal domain","Diet in controls + infected","No phase DEG",2,"Control 83 vs 33; Infected 83 vs 33","Downregulated",2.16877370680212,0.0140847130275484,2.23342745824774,"1058","Lower than gene average"
5,"LOC126353355","Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family","Diet in infected","No phase DEG",1,"Infected 83 vs 33","Downregulated",1.78642857306756,0.000362805705061712,2.88990055126146,"1002","Lower than gene average"
6,"LOC126297490","NUDIX domain","Diet in controls + infected","No phase DEG",2,"Control 83 vs 33; Infected 83 vs 33","Downregulated",1.76712164053885,0.0320931937207767,2.51999813997429,"1002","Lower than gene average"
7,"LOC126267355","Neuroparsin","Diet in controls + infected","Shared head/thorax phase DEG",2,"Control 83 vs 33; Infected 83 vs 33","Downregulated",3.80995475901405,6.3891948128301e-06,2.89129026136292,"1027","Higher than gene average"
8,"LOC126291739","no description","Diet in controls","No phase DEG",1,"Control 83 vs 33","Downregulated",1.11543617531089,0.00405082139102237,3.24900927787914,"1009","Higher than gene average"
9,"LOC126272354","ABC transporter, phosphonate, periplasmic substrate-binding protein","Diet in controls + infected","No phase DEG",2,"Control 83 vs 33; Infected 83 vs 33","Downregulated",2.04313537275971,0.00409074584579613,2.42241896087055,"1030","Higher than gene average"
10,"LOC126356047","no description","Diet in controls + infected","No phase DEG",5,"Control 33 vs 50; Control 83 vs 33; Control 83 vs 50; Infected 33 vs 50; Infected 83 vs 33","Downregulated; Upregulated",7.87556482129656,9.36622013055102e-14,2.82802424341692,"1021","Higher than gene average"
11,"LOC126285309","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","Diet in controls","Thorax phase DEG only",1,"Control 83 vs 33","Downregulated",2.65702348560598,0.000803508546896859,2.08082677837628,"1037","Higher than gene average"
12,"LOC126351672","It is involved in the biological process described with cellular protein modification process","Diet in controls","No phase DEG",1,"Control 83 vs 33","Downregulated",1.95678353974625,0.00012076744294343,2.05227731862086,"1009","Higher than gene average"
13,"LOC126278002","activity. It is involved in the biological process described with metabolic process","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Downregulated",1.85534353918389,0.0315564080403243,2.47903131535924,"1007","Higher than gene average"
14,"LOC126341237","Belongs to the UDP-glycosyltransferase family","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Downregulated",2.06488924187566,6.09999960264512e-05,2.76326582714062,"1009","Higher than gene average"
15,"LOC126337058","Juvenile hormone binding protein domains in insects.","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Downregulated",2.50812696921268,0.00120989425861176,2.8890640565114,"1003","Higher than gene average"
16,"LOC126354620","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","Infection within diet","Thorax phase DEG only",1,"Diet 33: infected vs control","Downregulated",2.34495208356215,4.27008791057993e-05,2.47892016359587,"1006","Higher than gene average"
17,"LOC126355249","no description","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Downregulated",2.09739870206302,0.00286888365593514,2.44006955491874,"1014","Higher than gene average"
18,"LOC126336345","It is involved in the biological process described with regulation of transcription, DNA-templated","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Downregulated",1.56076646597459,0.00100926401197253,2.27741120637773,"1006","Higher than gene average"
19,"LOC126266822","heme binding. It is involved in the biological process described with oxidation-reduction process","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Downregulated",1.54585637771005,0.00664761455161899,2.36732524806111,"1014","Higher than gene average"
20,"LOC126297476","Chitin-binding domain type 2","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Downregulated",1.40199276948203,0.0119357696717347,2.47291833414627,"1020","Lower than gene average"
21,"LOC126284697","no description","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Downregulated",1.8434553598464,0.0367567430336374,2.23713534688522,"1054","Lower than gene average"
22,"LOC126355457","no description","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Downregulated",2.0891743661745,0.0133724103926574,2.78351915414679,"1003","Higher than gene average"
23,"LOC126354946","no description","Infection within diet","Thorax phase DEG only",1,"Diet 33: infected vs control","Downregulated",3.48456843482297,0.000155259918124885,2.96739004292184,"1006","Higher than gene average"
24,"LOC126283982","no description","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Downregulated",2.44431149661116,0.0254281302198585,2.24174685515558,"1006","Higher than gene average"
25,"LOC126268132","no description","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Downregulated",1.9237205836831,0.000118976851790792,2.90117359650328,"1006","Higher than gene average"
26,"LOC126335641","no description","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Downregulated",1.74804780455971,0.0498056285874846,2.66070784741542,"1003","Higher than gene average"
27,"LOC126298183","no description","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Downregulated",1.5452835802972,0.0282074249930816,3.20575330609566,"1006","Higher than gene average"
28,"LOC126282079","no description","Infection within diet","Thorax phase DEG only",1,"Diet 33: infected vs control","Downregulated",1.6704813175994,0.0135709814616198,3.24832260577749,"1006","Higher than gene average"
