"sample_id","sample_label","Sample_block","Diet","Treatment","Phase"
"1015","1015","Experiment fat body","33","Infected","Experiment"
"1018","1018","Experiment fat body","33","Infected","Experiment"
"1021","1021","Experiment fat body","33","Infected","Experiment"
"1027","1027","Experiment fat body","33","Infected","Experiment"
"1042","1042","Experiment fat body","33","Infected","Experiment"
"1045","1045","Experiment fat body","33","Infected","Experiment"
"1051","1051","Experiment fat body","33","Infected","Experiment"
"1054","1054","Experiment fat body","33","Infected","Experiment"
"1057","1057","Experiment fat body","33","Infected","Experiment"
"1016","1016","Experiment fat body","50","Infected","Experiment"
"1025","1025","Experiment fat body","50","Infected","Experiment"
"1028","1028","Experiment fat body","50","Infected","Experiment"
"1043","1043","Experiment fat body","50","Infected","Experiment"
"1046","1046","Experiment fat body","50","Infected","Experiment"
"1049","1049","Experiment fat body","50","Infected","Experiment"
"1052","1052","Experiment fat body","50","Infected","Experiment"
"1055","1055","Experiment fat body","50","Infected","Experiment"
"1058","1058","Experiment fat body","50","Infected","Experiment"
"1014","1014","Experiment fat body","83","Infected","Experiment"
"1020","1020","Experiment fat body","83","Infected","Experiment"
"1023","1023","Experiment fat body","83","Infected","Experiment"
"1024","1024","Experiment fat body","83","Infected","Experiment"
"1029","1029","Experiment fat body","83","Infected","Experiment"
"1050","1050","Experiment fat body","83","Infected","Experiment"
"1003","1003","Experiment fat body","33","Control","Experiment"
"1006","1006","Experiment fat body","33","Control","Experiment"
"1009","1009","Experiment fat body","33","Control","Experiment"
"1030","1030","Experiment fat body","33","Control","Experiment"
"1033","1033","Experiment fat body","33","Control","Experiment"
"1004","1004","Experiment fat body","50","Control","Experiment"
"1031","1031","Experiment fat body","50","Control","Experiment"
"1034","1034","Experiment fat body","50","Control","Experiment"
"1040","1040","Experiment fat body","50","Control","Experiment"
"1002","1002","Experiment fat body","83","Control","Experiment"
"1005","1005","Experiment fat body","83","Control","Experiment"
"1011","1011","Experiment fat body","83","Control","Experiment"
"1032","1032","Experiment fat body","83","Control","Experiment"
"1035","1035","Experiment fat body","83","Control","Experiment"
"1038","1038","Experiment fat body","83","Control","Experiment"
"1041","1041","Experiment fat body","83","Control","Experiment"
"GREG_G_CCT_11_FAT","FAT-G-ctrl","FAT controls","Reference","Reference","Gregarious"
"GREG_S_ICT_9_FAT","FAT-S-ctrl","FAT controls","Reference","Reference","Solitarious"
"SGRE-HEAD-CRD-1_MERGE","H-CRD-1","Head reference","Reference","Reference","Gregarious"
"SGRE-HEAD-CRD-2_MERGE","H-CRD-2","Head reference","Reference","Reference","Gregarious"
"SGRE-HEAD-CRD-3_MERGE","H-CRD-3","Head reference","Reference","Reference","Gregarious"
"SGRE-HEAD-CRD-4_MERGE","H-CRD-4","Head reference","Reference","Reference","Gregarious"
"SGRE-HEAD-CRD-5_MERGE","H-CRD-5","Head reference","Reference","Reference","Gregarious"
"SGRE-HEAD-CRD-6_MERGE","H-CRD-6","Head reference","Reference","Reference","Gregarious"
"SGRE-HEAD-ISO-1_MERGE","H-ISO-1","Head reference","Reference","Reference","Solitarious"
"SGRE-HEAD-ISO-2_MERGE","H-ISO-2","Head reference","Reference","Reference","Solitarious"
"SGRE-HEAD-ISO-3_MERGE","H-ISO-3","Head reference","Reference","Reference","Solitarious"
"SGRE-HEAD-ISO-4_MERGE","H-ISO-4","Head reference","Reference","Reference","Solitarious"
"SGRE-HEAD-ISO-5_MERGE","H-ISO-5","Head reference","Reference","Reference","Solitarious"
"SGRE-HEAD-ISO-6_MERGE","H-ISO-6","Head reference","Reference","Reference","Solitarious"
"SGRE-THOX-CRD-1_MERGE","T-CRD-1","Thorax reference","Reference","Reference","Gregarious"
"SGRE-THOX-CRD-2_MERGE","T-CRD-2","Thorax reference","Reference","Reference","Gregarious"
"SGRE-THOX-CRD-3_MERGE","T-CRD-3","Thorax reference","Reference","Reference","Gregarious"
"SGRE-THOX-CRD-4_MERGE","T-CRD-4","Thorax reference","Reference","Reference","Gregarious"
"SGRE-THOX-CRD-5_MERGE","T-CRD-5","Thorax reference","Reference","Reference","Gregarious"
"SGRE-THOX-CRD-6_MERGE","T-CRD-6","Thorax reference","Reference","Reference","Gregarious"
"SGRE-THOX-ISO-1_MERGE","T-ISO-1","Thorax reference","Reference","Reference","Solitarious"
"SGRE-THOX-ISO-2_MERGE","T-ISO-2","Thorax reference","Reference","Reference","Solitarious"
"SGRE-THOX-ISO-3_MERGE","T-ISO-3","Thorax reference","Reference","Reference","Solitarious"
"SGRE-THOX-ISO-4_MERGE","T-ISO-4","Thorax reference","Reference","Reference","Solitarious"
"SGRE-THOX-ISO-5_MERGE","T-ISO-5","Thorax reference","Reference","Reference","Solitarious"
"SGRE-THOX-ISO-6_MERGE","T-ISO-6","Thorax reference","Reference","Reference","Solitarious"
