"scenario","comparison_type","comparison","direction","timecourse_reference_set","n_fat_body_degs","n_reference_genes","n_overlap","percent_fat_body_degs","percent_reference_genes","jaccard","overlap_gene_ids"
"All samples","Diet contrasts among control","Control 33 vs 50","Upregulated","Any large single-pair shift",3,414,1,33.3333333333333,0.241545893719807,0.00240384615384615,"LOC126272465"
"All samples","Diet contrasts among control","Control 33 vs 50","Upregulated","Higher in gregarious/crowded reference",3,262,1,33.3333333333333,0.381679389312977,0.00378787878787879,"LOC126272465"
"All samples","Diet contrasts among control","Control 33 vs 50","Upregulated","Top absolute single-pair shifts",3,500,1,33.3333333333333,0.2,0.00199203187250996,"LOC126272465"
"All samples","Diet contrasts among control","Control 33 vs 50","Upregulated","Higher in solitarious/isolated reference",3,152,0,0,0,0,""
"All samples","Diet contrasts among control","Control 83 vs 33","Downregulated","Top absolute single-pair shifts",23,500,8,34.7826086956522,1.6,0.0155339805825243,"LOC126272465;LOC126272587;LOC126278199;LOC126284988;LOC126336534;LOC126336535;LOC126336866;LOC126337066"
"All samples","Diet contrasts among control","Control 83 vs 33","Downregulated","Any large single-pair shift",23,414,7,30.4347826086957,1.69082125603865,0.0162790697674419,"LOC126272465;LOC126272587;LOC126278199;LOC126284988;LOC126336534;LOC126336866;LOC126337066"
"All samples","Diet contrasts among control","Control 83 vs 33","Upregulated","Top absolute single-pair shifts",45,500,7,15.5555555555556,1.4,0.0130111524163569,"LOC126268018;LOC126272511;LOC126278052;LOC126295405;LOC126334600;LOC126336910;LOC126354896"
"All samples","Diet contrasts among control","Control 83 vs 33","Downregulated","Higher in gregarious/crowded reference",23,262,6,26.0869565217391,2.29007633587786,0.021505376344086,"LOC126272465;LOC126272587;LOC126278199;LOC126284988;LOC126336866;LOC126337066"
"All samples","Diet contrasts among control","Control 83 vs 33","Upregulated","Any large single-pair shift",45,414,5,11.1111111111111,1.20772946859903,0.0110132158590308,"LOC126268018;LOC126272511;LOC126295405;LOC126334600;LOC126336910"
"All samples","Diet contrasts among control","Control 83 vs 33","Upregulated","Higher in solitarious/isolated reference",45,152,5,11.1111111111111,3.28947368421053,0.0260416666666667,"LOC126268018;LOC126272511;LOC126295405;LOC126334600;LOC126336910"
"All samples","Diet contrasts among control","Control 83 vs 33","Downregulated","Higher in solitarious/isolated reference",23,152,1,4.34782608695652,0.657894736842105,0.00574712643678161,"LOC126336534"
"All samples","Diet contrasts among control","Control 83 vs 33","Upregulated","Higher in gregarious/crowded reference",45,262,0,0,0,0,""
"All samples","Diet contrasts among control","Control 83 vs 50","Upregulated","Top absolute single-pair shifts",32,500,7,21.875,1.4,0.0133333333333333,"LOC126268018;LOC126272511;LOC126277894;LOC126278052;LOC126279018;LOC126295405;LOC126356065"
"All samples","Diet contrasts among control","Control 83 vs 50","Upregulated","Any large single-pair shift",32,414,6,18.75,1.44927536231884,0.0136363636363636,"LOC126268018;LOC126272511;LOC126277894;LOC126279018;LOC126295405;LOC126356065"
"All samples","Diet contrasts among control","Control 83 vs 50","Upregulated","Higher in gregarious/crowded reference",32,262,3,9.375,1.14503816793893,0.0103092783505155,"LOC126277894;LOC126279018;LOC126356065"
"All samples","Diet contrasts among control","Control 83 vs 50","Upregulated","Higher in solitarious/isolated reference",32,152,3,9.375,1.97368421052632,0.0165745856353591,"LOC126268018;LOC126272511;LOC126295405"
"All samples","Diet contrasts among control","Control 83 vs 50","Downregulated","Any large single-pair shift",3,414,1,33.3333333333333,0.241545893719807,0.00240384615384615,"LOC126337066"
