"gene_id","timecourse_fatbody_gregarious_minus_solitarious","abs_timecourse_delta","tissue_matched_direction","exploratory_shift"
"LOC126318536",0.136009894911348,0.136009894911348,"Higher in gregarious/crowded reference",FALSE
"LOC126285412",0,0,"No difference in single-pair reference",FALSE
"LOC126318656",0.00979872413076244,0.00979872413076244,"Higher in gregarious/crowded reference",FALSE
"LOC126318743",-0.741252516101965,0.741252516101965,"Higher in solitarious/isolated reference",FALSE
"LOC126319294",-0.144140665253983,0.144140665253983,"Higher in solitarious/isolated reference",FALSE
"LOC126319460",0.0215460806193812,0.0215460806193812,"Higher in gregarious/crowded reference",FALSE
"LOC126320026",0.0739402522060582,0.0739402522060582,"Higher in gregarious/crowded reference",FALSE
"LOC126320178",0.0711212898827185,0.0711212898827185,"Higher in gregarious/crowded reference",FALSE
"LOC126320326",-0.36574634980729,0.36574634980729,"Higher in solitarious/isolated reference",FALSE
"LOC126284887",-0.154206271373092,0.154206271373092,"Higher in solitarious/isolated reference",FALSE
"LOC126320407",-0.64109580895129,0.64109580895129,"Higher in solitarious/isolated reference",FALSE
"LOC126320662",0.093597540125149,0.093597540125149,"Higher in gregarious/crowded reference",FALSE
"LOC126320757",-0.740457635629364,0.740457635629364,"Higher in solitarious/isolated reference",FALSE
"LOC126320910",-0.749126042843526,0.749126042843526,"Higher in solitarious/isolated reference",FALSE
"LOC126284895",-0.154206271373092,0.154206271373092,"Higher in solitarious/isolated reference",FALSE
"LOC126322280",0.194292281972812,0.194292281972812,"Higher in gregarious/crowded reference",FALSE
"LOC126322412",0.110684860902485,0.110684860902485,"Higher in gregarious/crowded reference",FALSE
"LOC126323097",-0.0370146856841282,0.0370146856841282,"Higher in solitarious/isolated reference",FALSE
"LOC126322565",0.342035008577913,0.342035008577913,"Higher in gregarious/crowded reference",FALSE
"LOC126322939",0,0,"No difference in single-pair reference",FALSE
"LOC126323250",0.285780852435355,0.285780852435355,"Higher in gregarious/crowded reference",FALSE
"LOC126323807",-0.331673128311278,0.331673128311278,"Higher in solitarious/isolated reference",FALSE
"LOC126323387",-0.0290775526761031,0.0290775526761031,"Higher in solitarious/isolated reference",FALSE
"LOC126324212",-0.0130630574814905,0.0130630574814905,"Higher in solitarious/isolated reference",FALSE
"LOC126324319",-0.0613092147627174,0.0613092147627174,"Higher in solitarious/isolated reference",FALSE
"LOC126325221",-0.0113806459098242,0.0113806459098242,"Higher in solitarious/isolated reference",FALSE
"LOC126325647",0.0283680339067978,0.0283680339067978,"Higher in gregarious/crowded reference",FALSE
"LOC126326003",-0.0465996819887611,0.0465996819887611,"Higher in solitarious/isolated reference",FALSE
"LOC126326117",0.19392951327244,0.19392951327244,"Higher in gregarious/crowded reference",FALSE
"LOC126326285",-0.154999310994894,0.154999310994894,"Higher in solitarious/isolated reference",FALSE
"LOC126326982",0,0,"No difference in single-pair reference",FALSE
"LOC126326589",-1.10096669493727,1.10096669493727,"Higher in solitarious/isolated reference",TRUE
"LOC126326728",0.32174572991353,0.32174572991353,"Higher in gregarious/crowded reference",FALSE
"LOC126284877",-0.0233885650731356,0.0233885650731356,"Higher in solitarious/isolated reference",FALSE
"LOC126327189",-0.480508395947691,0.480508395947691,"Higher in solitarious/isolated reference",FALSE
"LOC126328052",0.126002115925444,0.126002115925444,"Higher in gregarious/crowded reference",FALSE
"LOC126352135",0,0,"No difference in single-pair reference",FALSE
"LOC126284907",0.0249642255470999,0.0249642255470999,"Higher in gregarious/crowded reference",FALSE
"LOC126328694",-0.14097712209347,0.14097712209347,"Higher in solitarious/isolated reference",FALSE
"LOC126328850",0.0234237286412418,0.0234237286412418,"Higher in gregarious/crowded reference",FALSE
"LOC126328952",-0.22475122172203,0.22475122172203,"Higher in solitarious/isolated reference",FALSE
"LOC126329352",-0.101798747677215,0.101798747677215,"Higher in solitarious/isolated reference",FALSE
"Trnas-gga",0,0,"No difference in single-pair reference",FALSE
"LOC126329909",0.0837546885840572,0.0837546885840572,"Higher in gregarious/crowded reference",FALSE
"LOC126270168",0.0294162622663929,0.0294162622663929,"Higher in gregarious/crowded reference",FALSE
"LOC126330208",0.252834016300936,0.252834016300936,"Higher in gregarious/crowded reference",FALSE
"LOC126330470",-0.0866097768276015,0.0866097768276015,"Higher in solitarious/isolated reference",FALSE
"LOC126331023",0.297270328533027,0.297270328533027,"Higher in gregarious/crowded reference",FALSE
"LOC126331476",-0.136022036297849,0.136022036297849,"Higher in solitarious/isolated reference",FALSE
"LOC126331335",-0.757713895902164,0.757713895902164,"Higher in solitarious/isolated reference",FALSE
"LOC126331179",0.108259765266145,0.108259765266145,"Higher in gregarious/crowded reference",FALSE
"LOC126331633",-0.130618075440893,0.130618075440893,"Higher in solitarious/isolated reference",FALSE
"LOC126331791",-0.103724983109132,0.103724983109132,"Higher in solitarious/isolated reference",FALSE
"LOC126331946",-0.0510459928167606,0.0510459928167606,"Higher in solitarious/isolated reference",FALSE
"LOC126332104",-0.223673453562052,0.223673453562052,"Higher in solitarious/isolated reference",FALSE
"LOC126333037",-0.522244086239252,0.522244086239252,"Higher in solitarious/isolated reference",FALSE
"LOC126333298",-0.29150651639182,0.29150651639182,"Higher in solitarious/isolated reference",FALSE
"LOC126274441",-0.0466068044134609,0.0466068044134609,"Higher in solitarious/isolated reference",FALSE
"LOC126333611",-0.127814485528805,0.127814485528805,"Higher in solitarious/isolated reference",FALSE
"LOC126333456",-0.435833598732752,0.435833598732752,"Higher in solitarious/isolated reference",FALSE
"LOC126333765",0.19064311088762,0.19064311088762,"Higher in gregarious/crowded reference",FALSE
"LOC126284920",0.297270328533027,0.297270328533027,"Higher in gregarious/crowded reference",FALSE
"LOC126276000",0.261367475693429,0.261367475693429,"Higher in gregarious/crowded reference",FALSE
"LOC126334020",0.232932159260828,0.232932159260828,"Higher in gregarious/crowded reference",FALSE
"LOC126334172",0.351856852918035,0.351856852918035,"Higher in gregarious/crowded reference",FALSE
"LOC126334327",0.237179998836799,0.237179998836799,"Higher in gregarious/crowded reference",FALSE
"LOC126334429",0.363591182090122,0.363591182090122,"Higher in gregarious/crowded reference",FALSE
"LOC126334511",0.458434117542954,0.458434117542954,"Higher in gregarious/crowded reference",FALSE
"LOC126334525",0.162858796332431,0.162858796332431,"Higher in gregarious/crowded reference",FALSE
"LOC126334532",-0.339343803899132,0.339343803899132,"Higher in solitarious/isolated reference",FALSE
"LOC126334539",-0.423277930388419,0.423277930388419,"Higher in solitarious/isolated reference",FALSE
"LOC126334578",0.305889893970432,0.305889893970432,"Higher in gregarious/crowded reference",FALSE
"LOC126334570",-0.0932786551870013,0.0932786551870013,"Higher in solitarious/isolated reference",FALSE
"LOC126334603",0.10021899475062,0.10021899475062,"Higher in gregarious/crowded reference",FALSE
"LOC126334620",-0.0435780904035203,0.0435780904035203,"Higher in solitarious/isolated reference",FALSE
"LOC126334628",-0.279811304671427,0.279811304671427,"Higher in solitarious/isolated reference",FALSE
"LOC126334652",0.24637996829206,0.24637996829206,"Higher in gregarious/crowded reference",FALSE
"LOC126334644",-0.150404199603488,0.150404199603488,"Higher in solitarious/isolated reference",FALSE
"LOC126334636",-0.0930190265712669,0.0930190265712669,"Higher in solitarious/isolated reference",FALSE
"LOC126334676",0.0590178262347649,0.0590178262347649,"Higher in gregarious/crowded reference",FALSE
"LOC126334687",-0.571981688100572,0.571981688100572,"Higher in solitarious/isolated reference",FALSE
"LOC126334692",-0.12576526827052,0.12576526827052,"Higher in solitarious/isolated reference",FALSE
"LOC126279107",0.0313462699747653,0.0313462699747653,"Higher in gregarious/crowded reference",FALSE
"LOC126334712",-0.828408816646913,0.828408816646913,"Higher in solitarious/isolated reference",FALSE
"LOC126334738",0.0380746848162516,0.0380746848162516,"Higher in gregarious/crowded reference",FALSE
"LOC126334732",-0.327453279219642,0.327453279219642,"Higher in solitarious/isolated reference",FALSE
"LOC126334747",0.126504615019867,0.126504615019867,"Higher in gregarious/crowded reference",FALSE
"LOC126334754",0.052600296264016,0.052600296264016,"Higher in gregarious/crowded reference",FALSE
"LOC126328798",0.0192380249981152,0.0192380249981152,"Higher in gregarious/crowded reference",FALSE
"LOC126334766",0.0860079686811579,0.0860079686811579,"Higher in gregarious/crowded reference",FALSE
"LOC126334773",-0.178673525489321,0.178673525489321,"Higher in solitarious/isolated reference",FALSE
"LOC126334812",0.420464801882464,0.420464801882464,"Higher in gregarious/crowded reference",FALSE
"LOC126330262",-0.116452492529588,0.116452492529588,"Higher in solitarious/isolated reference",FALSE
"LOC126333297",0.157608825205078,0.157608825205078,"Higher in gregarious/crowded reference",FALSE
"LOC126334833",0.230572097016994,0.230572097016994,"Higher in gregarious/crowded reference",FALSE
"LOC126334841",0.138890509781049,0.138890509781049,"Higher in gregarious/crowded reference",FALSE
"LOC126334858",-0.140986138399339,0.140986138399339,"Higher in solitarious/isolated reference",FALSE
"LOC126334849",-0.938858433267907,0.938858433267907,"Higher in solitarious/isolated reference",FALSE
"LOC126334819",0.117893376324983,0.117893376324983,"Higher in gregarious/crowded reference",FALSE
"LOC126334861",0.312080642068038,0.312080642068038,"Higher in gregarious/crowded reference",FALSE
"LOC126334868",0.170685677255523,0.170685677255523,"Higher in gregarious/crowded reference",FALSE
"LOC126334872",-0.0233885650731356,0.0233885650731356,"Higher in solitarious/isolated reference",FALSE
"LOC126284981",-0.0330361318750398,0.0330361318750398,"Higher in solitarious/isolated reference",FALSE
"LOC126284990",0.0307346332868459,0.0307346332868459,"Higher in gregarious/crowded reference",FALSE
"LOC126334848",-0.0569436446265499,0.0569436446265499,"Higher in solitarious/isolated reference",FALSE
"LOC126334883",-0.00547226690437608,0.00547226690437608,"Higher in solitarious/isolated reference",FALSE
"LOC126334892",0.112938201574292,0.112938201574292,"Higher in gregarious/crowded reference",FALSE
"LOC126334921",0.08589826861978,0.08589826861978,"Higher in gregarious/crowded reference",FALSE
"LOC126334908",-0.501618340487212,0.501618340487212,"Higher in solitarious/isolated reference",FALSE
"LOC126334901",-0.362346215474041,0.362346215474041,"Higher in solitarious/isolated reference",FALSE
"LOC126334915",0.577981508340457,0.577981508340457,"Higher in gregarious/crowded reference",FALSE
"LOC126334979",-0.024272504242977,0.024272504242977,"Higher in solitarious/isolated reference",FALSE
"LOC126334924",0.0743856741109337,0.0743856741109337,"Higher in gregarious/crowded reference",FALSE
"LOC126334937",0.141268659517661,0.141268659517661,"Higher in gregarious/crowded reference",FALSE
"LOC126335101",-0.0871593302350213,0.0871593302350213,"Higher in solitarious/isolated reference",FALSE
"LOC126334976",-0.0486163550679901,0.0486163550679901,"Higher in solitarious/isolated reference",FALSE
"LOC126334946",-0.098603745763671,0.098603745763671,"Higher in solitarious/isolated reference",FALSE
"LOC126334986",0.386026167570635,0.386026167570635,"Higher in gregarious/crowded reference",FALSE
"LOC126334981",-0.0614321519329675,0.0614321519329675,"Higher in solitarious/isolated reference",FALSE
"LOC126334993",0.0517995238236075,0.0517995238236075,"Higher in gregarious/crowded reference",FALSE
"LOC126335000",-0.0950273637861976,0.0950273637861976,"Higher in solitarious/isolated reference",FALSE
"LOC126335020",0.101913672925845,0.101913672925845,"Higher in gregarious/crowded reference",FALSE
"LOC126335013",-0.327963416772473,0.327963416772473,"Higher in solitarious/isolated reference",FALSE
"LOC126335027",-0.184598644994994,0.184598644994994,"Higher in solitarious/isolated reference",FALSE
"LOC126335077",0,0,"No difference in single-pair reference",FALSE
"LOC126335086",0,0,"No difference in single-pair reference",FALSE
"LOC126335093",0,0,"No difference in single-pair reference",FALSE
"LOC126335097",0,0,"No difference in single-pair reference",FALSE
"LOC126335062",0,0,"No difference in single-pair reference",FALSE
"LOC126335055",0,0,"No difference in single-pair reference",FALSE
"LOC126335124",0,0,"No difference in single-pair reference",FALSE
"LOC126335072",0,0,"No difference in single-pair reference",FALSE
"LOC126335099",-0.217977036534978,0.217977036534978,"Higher in solitarious/isolated reference",FALSE
"LOC126335144",0,0,"No difference in single-pair reference",FALSE
"LOC126335210",0.130817706299957,0.130817706299957,"Higher in gregarious/crowded reference",FALSE
"LOC126335221",0.184940904659938,0.184940904659938,"Higher in gregarious/crowded reference",FALSE
