"sample_with_max_abs_z","n_genes","Diet","Treatment","Outlier_status","pct_genes"
"1037",1220,"50","Control","Current outlier flag",62.9
"1016",433,"50","Infected","Not flagged",22.3
"1007",243,"50","Control","Current outlier flag",12.5
"1014",10,"83","Infected","Not flagged",0.5
"1046",9,"50","Infected","Not flagged",0.5
"1024",7,"83","Infected","Not flagged",0.4
"1023",4,"83","Infected","Not flagged",0.2
"1029",2,"83","Infected","Not flagged",0.1
"1049",2,"50","Infected","Not flagged",0.1
"1002",1,"83","Control","Not flagged",0.1
"1003",1,"33","Control","Not flagged",0.1
"1021",1,"33","Infected","Not flagged",0.1
"1028",1,"50","Infected","Not flagged",0.1
"1033",1,"33","Control","Not flagged",0.1
"1035",1,"83","Control","Not flagged",0.1
"1043",1,"50","Infected","Not flagged",0.1
"1052",1,"50","Infected","Not flagged",0.1
"1055",1,"50","Infected","Not flagged",0.1
