"heatmap_row_order","gene_id","Description","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction","cluster_id","has_description"
647,"LOC126335259","It is involved in the biological process described with","Diet in controls","Head phase DEG only",2,"Control 83 vs 33; Control 83 vs 50","Downregulated",23.7059929302828,1.2709736689857e-08,3.79463525081939,1037,"Higher than gene average","upper_branch_k4_4",TRUE
26,"LOC126321793","no description","Diet in infected","Head phase DEG only",2,"Infected 33 vs 50; Infected 83 vs 33","Downregulated; Upregulated",4.69788935185269,0.00153267793563254,2.13969371168308,1016,"Higher than gene average","upper_branch_k4_4",FALSE
1857,"LOC126291795","Sulfotransferase domain","Diet in infected","Head phase DEG only",2,"Infected 33 vs 50; Infected 83 vs 33","Downregulated; Upregulated",6.44611088839094,0.00322888463596765,3.42350139889239,1007,"Higher than gene average","upper_branch_k4_4",TRUE
1870,"LOC126281974","Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process","Diet in infected","Head phase DEG only",2,"Infected 33 vs 50; Infected 83 vs 33","Downregulated; Upregulated",6.89757003688814,0.00415260588431329,3.17691256388503,1007,"Higher than gene average","upper_branch_k4_4",TRUE
1845,"LOC126284566","Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family","Diet in infected","Head phase DEG only",1,"Infected 33 vs 50","Downregulated",5.76164341818919,0.00415264853435983,3.01530122069074,1007,"Higher than gene average","upper_branch_k4_4",TRUE
638,"LOC126285310","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","Diet in infected","Head phase DEG only",1,"Infected 33 vs 50","Downregulated",5.34460905132776,0.00777531684339171,4.27332909894894,1007,"Higher than gene average","upper_branch_k4_4",TRUE
1886,"LOC126330722","no description","Infection within diet","Head phase DEG only",1,"Diet 83: infected vs control","Upregulated",2.52167114077777,0.0243219890948578,2.62510534963739,1037,"Higher than gene average","upper_branch_k4_4",FALSE
1884,"LOC126287492","Ionotropic glutamate receptor-invertebrate","Infection within diet","Head phase DEG only",1,"Diet 50: infected vs control","Upregulated",3.32956462385834,0.028354428175657,2.95239463200543,1014,"Higher than gene average","upper_branch_k4_4",TRUE
1825,"LOC126267342","N-acetylmuramoyl-L-alanine amidase activity. It is involved in the biological process described with peptidoglycan catabolic process","Diet in infected","Head phase DEG only",1,"Infected 33 vs 50","Downregulated",2.47800642872062,0.0380850396569484,2.9329478974972,1007,"Higher than gene average","upper_branch_k4_4",TRUE
1906,"LOC126313187","no description","Infection within diet","Head phase DEG only",1,"Diet 50: infected vs control","Upregulated",1.46314132889544,0.0409950327248366,3.41390342578298,1016,"Higher than gene average","upper_branch_k4_4",FALSE
1853,"LOC126298832","Belongs to the glycosyl hydrolase 1 family","Diet in infected","Shared head/thorax phase DEG",1,"Infected 33 vs 50","Downregulated",3.76259683021506,0.0325342324082818,3.82733900575119,1007,"Higher than gene average","upper_branch_k4_4",TRUE
643,"LOC126336724","Glutathione S-transferase, C-terminal domain","Infection within diet","Shared head/thorax phase DEG",1,"Diet 50: infected vs control","Downregulated",2.47577542749777,0.0335762655245543,3.91416280478648,1037,"Higher than gene average","upper_branch_k4_4",TRUE
1878,"LOC126272933","Solute carrier (proton/amino acid symporter), TRAMD3 or PAT1","Infection within diet","Shared head/thorax phase DEG",1,"Diet 50: infected vs control","Upregulated",1.64592274081692,0.0417001095016187,2.98959945932091,1016,"Higher than gene average","upper_branch_k4_4",TRUE
766,"LOC126272900","It is involved in the biological process described with transmembrane transport","Diet in infected","Thorax phase DEG only",1,"Infected 33 vs 50","Downregulated",3.45268811910067,0.0144673589490261,3.2197897119005,1007,"Higher than gene average","upper_branch_k4_4",TRUE
1939,"LOC126354896","Leucine rich repeat C-terminal domain","Diet in controls","Thorax phase DEG only",1,"Control 83 vs 33","Upregulated",1.4863667679614,0.0488741083155157,2.98565990292167,1029,"Higher than gene average","upper_branch_k4_4",TRUE
