"sample","Diet","Treatment","Outlier_status","mean_z","median_z","pct_high","pct_low"
"1037","50","Control","Current outlier flag",2.85565584100681,3.04438320539335,96.5961835997937,1.23775141825683
"1007","50","Control","Current outlier flag",2.55879353471255,2.68689863838903,96.6477565755544,0.876740587931924
"1046","50","Infected","Not flagged",2.06012951349614,2.13521427825361,96.3383187209902,0.0515729757607014
"1016","50","Infected","Not flagged",1.69117859105259,1.6732589426332,70.4486848891181,0.0515729757607014
"1039","33","Control","Current outlier flag",1.45747282933642,1.55721050307709,88.7570912841671,0.464156781846313
"1024","83","Infected","Not flagged",1.09986712126592,1.05673247954552,52.2949974213512,0.103145951521403
"1014","83","Infected","Not flagged",0.8572934141853,0.866059471162783,34.192882929345,0.154718927282104
"1036","33","Control","Current outlier flag",0.781331816229848,0.83271884539299,24.7550283651367,0.154718927282104
"1055","50","Infected","Not flagged",0.669658705602703,0.693298333798307,8.61268695203713,0.103145951521403
"1034","50","Control","Not flagged",-0.626953840275437,-0.627539887531841,0.0515729757607014,0.979886539453326
"1030","33","Control","Not flagged",-0.626799451356938,-0.628148799526722,0,1.08303249097473
"1005","83","Control","Not flagged",-0.626294908337796,-0.62880494821651,0.206291903042806,1.28932439401753
"1057","33","Infected","Not flagged",-0.621893367734489,-0.627171056207854,0.154718927282104,0.773594636410521
"1003","33","Control","Not flagged",-0.621549929014954,-0.628148799526722,0.206291903042806,0.773594636410521
"1040","50","Control","Not flagged",-0.618938287113198,-0.62708033093497,0.0515729757607014,0.72202166064982
"1018","33","Infected","Not flagged",-0.618674503379929,-0.626190814979816,0.154718927282104,0.464156781846313
"1021","33","Infected","Not flagged",-0.618665003855788,-0.626023377364583,0.0515729757607014,0.464156781846313
"1004","50","Control","Not flagged",-0.616494217528472,-0.626436300708709,0.257864878803507,0.670448684889118
"1009","33","Control","Not flagged",-0.611683671514947,-0.625924468074305,0.103145951521403,0.515729757607014
"1042","33","Infected","Not flagged",-0.611005208088675,-0.625540693170012,0.206291903042806,0.670448684889118
"1029","83","Infected","Not flagged",-0.60738638792251,-0.626948992357318,0.309437854564208,0.36101083032491
"1052","50","Infected","Not flagged",-0.602963593456318,-0.624567443941262,0.154718927282104,0.309437854564208
"1041","83","Control","Not flagged",-0.60029071464722,-0.623776033950613,0.103145951521403,0.928313563692625
"1033","33","Control","Not flagged",-0.588311930485164,-0.612480943894106,0.154718927282104,0.72202166064982
"1038","83","Control","Not flagged",0.588203274717238,0.621975233056915,8.14853017019082,0.257864878803507
"1011","83","Control","Not flagged",-0.587558083062895,-0.621539248461506,0.36101083032491,0.309437854564208
"1049","50","Infected","Not flagged",-0.585716011605845,-0.624248353792888,0.670448684889118,0.206291903042806
"1054","33","Infected","Not flagged",-0.575848016737995,-0.61458057339673,0.154718927282104,0.309437854564208
"1006","33","Control","Not flagged",-0.573889318113235,-0.616489759228746,0.412583806085611,1.03145951521403
"1050","83","Infected","Not flagged",-0.571850048812981,-0.6144486250336,0.36101083032491,0.206291903042806
"1028","50","Infected","Not flagged",-0.561016352449904,-0.622106931876808,0.773594636410521,0.515729757607014
"1023","83","Infected","Not flagged",-0.557110634630745,-0.624099540606714,2.16606498194946,0.36101083032491
"1025","50","Infected","Not flagged",0.503785525629,0.523904128136024,4.02269210933471,0.567302733367715
"1002","83","Control","Not flagged",0.487287567273181,0.53270682624549,14.337287261475,0.309437854564208
"1031","50","Control","Not flagged",-0.482035361159137,-0.557662196025278,0.0515729757607014,0.515729757607014
"1051","33","Infected","Not flagged",-0.424966860615493,-0.52769901214301,0.567302733367715,0.206291903042806
"1045","33","Infected","Not flagged",-0.39511079800651,-0.411487728040091,0.309437854564208,0.309437854564208
"1015","33","Infected","Not flagged",-0.364093096072881,-0.416870720144146,0.257864878803507,0.670448684889118
"1027","33","Infected","Not flagged",-0.33462169180595,-0.543596557507263,1.44404332129964,0.567302733367715
"1032","83","Control","Not flagged",-0.285637657051456,-0.269220522677722,0.309437854564208,0.206291903042806
"1035","83","Control","Not flagged",-0.231873881889107,-0.201571862571824,0.206291903042806,0.72202166064982
"1043","50","Infected","Not flagged",0.161854845264238,0.161378731903428,0.825167612171222,0.154718927282104
"1058","50","Infected","Not flagged",-0.107673156738822,-0.050689699021745,0.72202166064982,0.257864878803507
"1020","83","Infected","Not flagged",0.0843934036927427,0.106956818903454,0.928313563692625,0.257864878803507
