"heatmap_row_order","gene_id","Description","DEG_context","phase_class","n_deg_contrasts","comparisons","directions","max_abs_log2FC","min_padj","max_abs_sample_z","sample_with_max_abs_z","sample_deviation_direction","cluster_id","has_description"
1841,"LOC126281975","Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",4.55377023420267,0.0484806424100245,4.97505898970029,1007,"Higher than gene average","upper_branch_k4_4",TRUE
6,"LOC126291583","Sulfotransferase domain","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",3.43104770154859,0.0378221396380741,4.96035079763407,1007,"Higher than gene average","upper_branch_k4_4",TRUE
1877,"LOC126353839","no description","Infection + diet","No phase DEG",2,"Diet 50: infected vs control; Infected 33 vs 50","Downregulated; Upregulated",3.70655103274568,0.0155287772030334,4.85799879665108,1043,"Higher than gene average","upper_branch_k4_4",FALSE
4,"LOC126355746","Belongs to the peroxisomal membrane protein PXMP2 4 family","Infection within diet","No phase DEG",1,"Diet 33: infected vs control","Downregulated",2.81710962844766,0.00331827042145917,4.78430172369855,1016,"Higher than gene average","upper_branch_k4_4",TRUE
1901,"LOC126355108","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",2.09064349503028,0.0146220077183636,4.73540380929327,1016,"Higher than gene average","upper_branch_k4_4",FALSE
632,"LOC126354652","Belongs to the UDP-glycosyltransferase family","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",3.87094980201188,0.0477302953550116,4.66074049798619,1037,"Higher than gene average","upper_branch_k4_4",TRUE
644,"LOC126267290","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor. It is involved in the biological process described with oxidation-reduction process","Infection within diet","No phase DEG",1,"Diet 50: infected vs control","Downregulated",1.95040968248163,0.0418705267423358,4.57404873871799,1007,"Higher than gene average","upper_branch_k4_4",TRUE
641,"LOC126354722","no description","Diet in infected","No phase DEG",1,"Infected 33 vs 50","Downregulated",3.71304974492335,0.0173645378957797,4.3668736555386,1007,"Higher than gene average","upper_branch_k4_4",FALSE
631,"LOC126334992","Sulfate permease family","Infection within diet","No phase DEG",2,"Diet 33: infected vs control; Diet 50: infected vs control","Downregulated",4.06195561632651,0.0207043330353785,4.28016378620226,1007,"Higher than gene average","upper_branch_k4_4",TRUE
638,"LOC126285310","transferase activity, transferring hexosyl groups. It is involved in the biological process described with metabolic process","Diet in infected","Head phase DEG only",1,"Infected 33 vs 50","Downregulated",5.34460905132776,0.00777531684339171,4.27332909894894,1007,"Higher than gene average","upper_branch_k4_4",TRUE
