"sample_id","count_file","tissue","phase","rearing_condition","replicate","source","display_group","reference_role","sample_label","sample_block","infection_status","diet","outlier_status","file_present"
"1015",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1015_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1018",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1018_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1021",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1021_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1027",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1027_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1042",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1042_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1045",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1045_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1051",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1051_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1054",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1054_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1057",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_33","Fat body Infected diet 33","1057_I33","Experiment fat body","Infected","33","Retained in current analysis",TRUE
"1016",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1016_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1025",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1025_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1028",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1028_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1043",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1043_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1046",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1046_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1049",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1049_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1052",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1052_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1055",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1055_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1058",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_50","Fat body Infected diet 50","1058_I50","Experiment fat body","Infected","50","Retained in current analysis",TRUE
"1014",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_83","Fat body Infected diet 83","1014_I83","Experiment fat body","Infected","83","Retained in current analysis",TRUE
"1020",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_83","Fat body Infected diet 83","1020_I83","Experiment fat body","Infected","83","Retained in current analysis",TRUE
"1023",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_83","Fat body Infected diet 83","1023_I83","Experiment fat body","Infected","83","Retained in current analysis",TRUE
"1024",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_83","Fat body Infected diet 83","1024_I83","Experiment fat body","Infected","83","Retained in current analysis",TRUE
"1029",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_83","Fat body Infected diet 83","1029_I83","Experiment fat body","Infected","83","Retained in current analysis",TRUE
"1050",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Infected_83","Fat body Infected diet 83","1050_I83","Experiment fat body","Infected","83","Retained in current analysis",TRUE
"1003",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_33","Fat body Control diet 33","1003_C33","Experiment fat body","Control","33","Retained in current analysis",TRUE
"1006",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_33","Fat body Control diet 33","1006_C33","Experiment fat body","Control","33","Retained in current analysis",TRUE
"1009",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_33","Fat body Control diet 33","1009_C33","Experiment fat body","Control","33","Retained in current analysis",TRUE
"1030",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_33","Fat body Control diet 33","1030_C33","Experiment fat body","Control","33","Retained in current analysis",TRUE
"1033",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_33","Fat body Control diet 33","1033_C33","Experiment fat body","Control","33","Retained in current analysis",TRUE
"1036",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_33","Fat body Control diet 33","1036_C33","Experiment fat body","Control","33","Current outlier flag",TRUE
"1039",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_33","Fat body Control diet 33","1039_C33","Experiment fat body","Control","33","Current outlier flag",TRUE
"1004",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1004_C50","Experiment fat body","Control","50","Retained in current analysis",TRUE
"1007",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1007_C50","Experiment fat body","Control","50","Current outlier flag",TRUE
"1031",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1031_C50","Experiment fat body","Control","50","Retained in current analysis",TRUE
"1034",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1034_C50","Experiment fat body","Control","50","Retained in current analysis",TRUE
"1037",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1037_C50","Experiment fat body","Control","50","Current outlier flag",TRUE
"1040",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_50","Fat body Control diet 50","1040_C50","Experiment fat body","Control","50","Retained in current analysis",TRUE
"1002",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1002_C83","Experiment fat body","Control","83","Retained in current analysis",TRUE
"1005",NA,"Fat body","Diet-infection experiment","Semi-isolated experiment",NA,"Diet-infection fat body experiment","Control_83","Fat body Control diet 83","1005_C83","Experiment fat body","Control","83","Retained in current analysis",TRUE
