"gene_id","vst_variance","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway","PFAMs","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class","label"
"LOC126354197",22.9849907588139,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126354197 | unannotated | no description"
"LOC126272691",21.4150691091452,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126272691 | unannotated | no description"
"LOC126268128",18.442368778927,"unannotated","Glycosyl hydrolase family 9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126268128 | unannotated | Glycosyl hydrolase family 9"
"LOC126327025",18.3662656629281,"unannotated","no description",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126327025 | unannotated | no description"
"LOC126332601",18.2722262941282,"unannotated","activity. It is involved in the biological process described with carbohydrate metabolic process",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126332601 | unannotated | activity. It is involved in the biologi..."
"LOC126354890",18.0076526371158,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126354890 | unannotated | no description"
"LOC126327073",17.8566426688458,"unannotated","no description",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG","LOC126327073 | unannotated | no description"
"LOC126332302",17.7627967965799,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126332302 | unannotated | no description"
"LOC126354199",17.3587816167555,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126354199 | unannotated | no description"
"LOC126327121",17.2101859054907,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","LOC126327121 | unannotated | no description"
