"scenario","comparison_type","comparison","phase_class","phase_shift","direction","n_genes"
"All samples","Diet contrasts among control","Control 33 vs 50","No phase DEG","Not phase-associated","Upregulated",1
"All samples","Diet contrasts among control","Control 33 vs 50","No phase reference","Not phase-associated","Upregulated",2
"All samples","Diet contrasts among control","Control 83 vs 33","Head phase DEG only","Numerator more gregarious-like","Downregulated",1
"All samples","Diet contrasts among control","Control 83 vs 33","Head phase DEG only","Numerator more gregarious-like","Upregulated",1
"All samples","Diet contrasts among control","Control 83 vs 33","Head phase DEG only","Numerator more solitarious-like","Downregulated",2
"All samples","Diet contrasts among control","Control 83 vs 33","No phase DEG","Not phase-associated","Downregulated",1
"All samples","Diet contrasts among control","Control 83 vs 33","No phase DEG","Not phase-associated","Upregulated",21
"All samples","Diet contrasts among control","Control 83 vs 33","No phase reference","Not phase-associated","Downregulated",9
"All samples","Diet contrasts among control","Control 83 vs 33","No phase reference","Not phase-associated","Upregulated",17
"All samples","Diet contrasts among control","Control 83 vs 33","Shared head/thorax phase DEG","Numerator more gregarious-like","Downregulated",3
"All samples","Diet contrasts among control","Control 83 vs 33","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",3
"All samples","Diet contrasts among control","Control 83 vs 33","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",1
"All samples","Diet contrasts among control","Control 83 vs 33","Thorax phase DEG only","Numerator more gregarious-like","Downregulated",6
"All samples","Diet contrasts among control","Control 83 vs 33","Thorax phase DEG only","Numerator more gregarious-like","Upregulated",2
"All samples","Diet contrasts among control","Control 83 vs 33","Thorax phase DEG only","Numerator more solitarious-like","Upregulated",1
"All samples","Diet contrasts among control","Control 83 vs 50","Head phase DEG only","Numerator more gregarious-like","Downregulated",1
"All samples","Diet contrasts among control","Control 83 vs 50","Head phase DEG only","Numerator more solitarious-like","Downregulated",1
"All samples","Diet contrasts among control","Control 83 vs 50","No phase DEG","Not phase-associated","Upregulated",19
"All samples","Diet contrasts among control","Control 83 vs 50","No phase reference","Not phase-associated","Downregulated",1
"All samples","Diet contrasts among control","Control 83 vs 50","No phase reference","Not phase-associated","Upregulated",8
"All samples","Diet contrasts among control","Control 83 vs 50","Shared head/thorax phase DEG","Numerator more gregarious-like","Upregulated",3
"All samples","Diet contrasts among control","Control 83 vs 50","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",1
"All samples","Diet contrasts among control","Control 83 vs 50","Thorax phase DEG only","Numerator more solitarious-like","Upregulated",1
"All samples","Diet contrasts among infected","Infected 33 vs 50","Head phase DEG only","Numerator more gregarious-like","Downregulated",3
"All samples","Diet contrasts among infected","Infected 33 vs 50","Head phase DEG only","Numerator more solitarious-like","Downregulated",6
"All samples","Diet contrasts among infected","Infected 33 vs 50","Head phase DEG only","Numerator more solitarious-like","Upregulated",1
"All samples","Diet contrasts among infected","Infected 33 vs 50","No phase DEG","Not phase-associated","Downregulated",26
"All samples","Diet contrasts among infected","Infected 33 vs 50","No phase DEG","Not phase-associated","Upregulated",2
"All samples","Diet contrasts among infected","Infected 33 vs 50","No phase reference","Not phase-associated","Downregulated",1877
"All samples","Diet contrasts among infected","Infected 33 vs 50","No phase reference","Not phase-associated","Upregulated",5
"All samples","Diet contrasts among infected","Infected 33 vs 50","Shared head/thorax phase DEG","Numerator more gregarious-like","Downregulated",3
"All samples","Diet contrasts among infected","Infected 33 vs 50","Shared head/thorax phase DEG","Numerator more solitarious-like","Downregulated",1
"All samples","Diet contrasts among infected","Infected 33 vs 50","Shared head/thorax phase DEG","Numerator more solitarious-like","Upregulated",2
