"gene_id","n_reference_tissues","tissue_vst_range","highest_reference_tissue","lowest_reference_tissue","reference_tissue_means"
"LOC126266588",3,0.061530265961828,"Thorax","Fat body","Fat body=5.37; Head=5.41; Thorax=5.43"
"LOC126266589",3,0.117137358297794,"Head","Fat body","Fat body=5.44; Head=5.56; Thorax=5.55"
"LOC126266590",3,0.823629898710289,"Head","Fat body","Fat body=6.89; Head=7.72; Thorax=7.12"
"LOC126266591",3,0.473263146677667,"Fat body","Head","Fat body=7.13; Head=6.66; Thorax=6.78"
"LOC126266592",3,0.27596775564048,"Fat body","Thorax","Fat body=6.6; Head=6.35; Thorax=6.32"
"LOC126266593",3,0.592128268031882,"Thorax","Fat body","Fat body=8.83; Head=9.3; Thorax=9.42"
"LOC126266594",3,0.0690808391560287,"Head","Fat body","Fat body=7.01; Head=7.08; Thorax=7.04"
"LOC126266595",3,0.213231278644813,"Thorax","Fat body","Fat body=7.09; Head=7.21; Thorax=7.3"
"LOC126266596",3,0.547265752228101,"Thorax","Fat body","Fat body=8.75; Head=9.06; Thorax=9.29"
"LOC126266597",3,0.934243233170712,"Thorax","Fat body","Fat body=5.82; Head=6.12; Thorax=6.76"
"LOC126266598",3,0.0432552790225076,"Thorax","Fat body","Fat body=7.02; Head=7.06; Thorax=7.06"
"LOC126266599",3,2.36510442015312,"Fat body","Thorax","Fat body=9.42; Head=7.31; Thorax=7.06"
"LOC126266600",3,0.390597068023679,"Thorax","Fat body","Fat body=8.27; Head=8.57; Thorax=8.66"
"LOC126266601",3,0.252334383168388,"Fat body","Thorax","Fat body=6.66; Head=6.51; Thorax=6.41"
"LOC126266602",3,0.171689576007415,"Thorax","Fat body","Fat body=6.76; Head=6.86; Thorax=6.93"
"LOC126266603",3,0.035607600825446,"Fat body","Head","Fat body=5.78; Head=5.75; Thorax=5.77"
"LOC126266604",3,0.576148871624193,"Fat body","Thorax","Fat body=7.77; Head=7.49; Thorax=7.19"
"LOC126266605",3,0.0754435586084767,"Head","Fat body","Fat body=8.18; Head=8.25; Thorax=8.2"
"LOC126266606",3,0.180505221478792,"Fat body","Head","Fat body=6.28; Head=6.1; Thorax=6.21"
"LOC126266607",3,0.391123658949017,"Thorax","Fat body","Fat body=9.82; Head=10.01; Thorax=10.21"
"LOC126266608",3,1.17441740502695,"Fat body","Head","Fat body=9.03; Head=7.85; Thorax=8.41"
"LOC126266609",3,0.0836230050020035,"Head","Fat body","Fat body=5.59; Head=5.68; Thorax=5.64"
"LOC126266610",3,0.184811880622704,"Fat body","Head","Fat body=7.68; Head=7.49; Thorax=7.5"
"LOC126266611",3,0.0617860329157649,"Thorax","Head","Fat body=6.8; Head=6.79; Thorax=6.85"
"LOC126266612",3,0.128752337429464,"Head","Thorax","Fat body=7.63; Head=7.74; Thorax=7.61"
"LOC126266613",3,0.343297167034632,"Thorax","Head","Fat body=7.56; Head=7.28; Thorax=7.62"
"LOC126266614",3,0.304202043256673,"Head","Fat body","Fat body=8.05; Head=8.36; Thorax=8.2"
"LOC126266615",3,0.147903323110024,"Thorax","Fat body","Fat body=7.07; Head=7.15; Thorax=7.22"
"LOC126266616",3,0.211152978342012,"Thorax","Fat body","Fat body=6.65; Head=6.8; Thorax=6.86"
"LOC126266617",3,0.390941820158567,"Fat body","Thorax","Fat body=6.09; Head=5.73; Thorax=5.7"
