"scenario","comparison_type","comparison","direction","timecourse_reference_set","n_fat_body_degs","n_reference_genes","n_overlap","percent_fat_body_degs","percent_reference_genes","jaccard","overlap_gene_ids"
"All samples","Diet contrasts among control","Control 33 vs 50","Upregulated","Any large single-pair shift",3,374,1,33.3333333333333,0.267379679144385,0.00265957446808511,"LOC126272465"
"All samples","Diet contrasts among control","Control 33 vs 50","Upregulated","Higher in gregarious/crowded reference",3,241,1,33.3333333333333,0.4149377593361,0.00411522633744856,"LOC126272465"
"All samples","Diet contrasts among control","Control 33 vs 50","Upregulated","Top absolute single-pair shifts",3,500,1,33.3333333333333,0.2,0.00199203187250996,"LOC126272465"
"All samples","Diet contrasts among control","Control 33 vs 50","Upregulated","Higher in solitarious/isolated reference",3,133,0,0,0,0,""
"All samples","Diet contrasts among control","Control 83 vs 33","Downregulated","Top absolute single-pair shifts",23,500,8,34.7826086956522,1.6,0.0155339805825243,"LOC126272465;LOC126272587;LOC126278199;LOC126284988;LOC126336534;LOC126336535;LOC126336866;LOC126337066"
"All samples","Diet contrasts among control","Control 83 vs 33","Downregulated","Any large single-pair shift",23,374,7,30.4347826086957,1.8716577540107,0.0179487179487179,"LOC126272465;LOC126272587;LOC126278199;LOC126284988;LOC126336534;LOC126336866;LOC126337066"
"All samples","Diet contrasts among control","Control 83 vs 33","Upregulated","Top absolute single-pair shifts",45,500,7,15.5555555555556,1.4,0.0130111524163569,"LOC126268018;LOC126272511;LOC126278052;LOC126295405;LOC126334600;LOC126336910;LOC126354896"
"All samples","Diet contrasts among control","Control 83 vs 33","Downregulated","Higher in gregarious/crowded reference",23,241,6,26.0869565217391,2.4896265560166,0.0232558139534884,"LOC126272465;LOC126272587;LOC126278199;LOC126284988;LOC126336866;LOC126337066"
"All samples","Diet contrasts among control","Control 83 vs 33","Upregulated","Any large single-pair shift",45,374,5,11.1111111111111,1.33689839572193,0.0120772946859903,"LOC126268018;LOC126272511;LOC126295405;LOC126334600;LOC126336910"
"All samples","Diet contrasts among control","Control 83 vs 33","Upregulated","Higher in solitarious/isolated reference",45,133,5,11.1111111111111,3.7593984962406,0.0289017341040462,"LOC126268018;LOC126272511;LOC126295405;LOC126334600;LOC126336910"
"All samples","Diet contrasts among control","Control 83 vs 33","Downregulated","Higher in solitarious/isolated reference",23,133,1,4.34782608695652,0.75187969924812,0.00645161290322581,"LOC126336534"
"All samples","Diet contrasts among control","Control 83 vs 33","Upregulated","Higher in gregarious/crowded reference",45,241,0,0,0,0,""
"All samples","Diet contrasts among control","Control 83 vs 50","Upregulated","Top absolute single-pair shifts",32,500,7,21.875,1.4,0.0133333333333333,"LOC126268018;LOC126272511;LOC126277894;LOC126278052;LOC126279018;LOC126295405;LOC126356065"
"All samples","Diet contrasts among control","Control 83 vs 50","Upregulated","Any large single-pair shift",32,374,6,18.75,1.60427807486631,0.015,"LOC126268018;LOC126272511;LOC126277894;LOC126279018;LOC126295405;LOC126356065"
"All samples","Diet contrasts among control","Control 83 vs 50","Upregulated","Higher in gregarious/crowded reference",32,241,3,9.375,1.2448132780083,0.0111111111111111,"LOC126277894;LOC126279018;LOC126356065"
"All samples","Diet contrasts among control","Control 83 vs 50","Upregulated","Higher in solitarious/isolated reference",32,133,3,9.375,2.25563909774436,0.0185185185185185,"LOC126268018;LOC126272511;LOC126295405"
"All samples","Diet contrasts among control","Control 83 vs 50","Downregulated","Any large single-pair shift",3,374,1,33.3333333333333,0.267379679144385,0.00265957446808511,"LOC126337066"
"All samples","Diet contrasts among control","Control 83 vs 50","Downregulated","Higher in gregarious/crowded reference",3,241,1,33.3333333333333,0.4149377593361,0.00411522633744856,"LOC126337066"
