"gene_id","Preferred_name","Description","phase_class","phase_consensus","phase_mean_log2FC","priority_score","timecourse_fatbody_gregarious_minus_solitarious","abs_timecourse_delta","tissue_matched_direction","exploratory_shift"
"LOC126299138",NA,"Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family","Shared head/thorax phase DEG","Discordant phase direction",-0.31292442444199,29.6974734984144,-0.00172766780736122,0.00172766780736122,"Higher in solitarious/isolated reference",FALSE
"LOC126336760",NA,"Kazal type serine protease inhibitors","Shared head/thorax phase DEG","Discordant phase direction",0.0346257160389449,26.837353787844,0.120544385378174,0.120544385378174,"Higher in gregarious/crowded reference",FALSE
"LOC126299510",NA,"Trypsin-like serine protease","Shared head/thorax phase DEG","Gregarious-up",1.52910129010426,40.1077096870949,-0.101252496668442,0.101252496668442,"Higher in solitarious/isolated reference",FALSE
"LOC126284817",NA,"Belongs to the small heat shock protein (HSP20) family","Shared head/thorax phase DEG","Gregarious-up",2.17842330698672,37.0057792458227,-0.0752432476972862,0.0752432476972862,"Higher in solitarious/isolated reference",FALSE
"LOC126272290",NA,"Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides. It is involved in the biological process described with nitrogen compound metabolic process","Shared head/thorax phase DEG","Gregarious-up",1.45828513072184,34.511341518684,-2.01209512113355,2.01209512113355,"Higher in solitarious/isolated reference",TRUE
"LOC126353822",NA,NA,"Shared head/thorax phase DEG","Gregarious-up",2.13460752605223,30.4940557198722,0.111429627454268,0.111429627454268,"Higher in gregarious/crowded reference",FALSE
"LOC126340122",NA,NA,"Shared head/thorax phase DEG","Gregarious-up",3.7198707177608,30.348988991881,-0.79803949910951,0.79803949910951,"Higher in solitarious/isolated reference",FALSE
"LOC126336415",NA,"Hemocyanin, all-alpha domain","Shared head/thorax phase DEG","Gregarious-up",1.66173982426754,28.5384408149772,-1.07752847265823,1.07752847265823,"Higher in solitarious/isolated reference",TRUE
"LOC126299150","Cyp314a1","heme binding. It is involved in the biological process described with oxidation-reduction process","Shared head/thorax phase DEG","Gregarious-up",2.61313380918504,28.5037101669933,1.24360223172933,1.24360223172933,"Higher in gregarious/crowded reference",TRUE
"LOC126332220",NA,NA,"Shared head/thorax phase DEG","Gregarious-up",1.50277638794618,28.2917657247698,0.218047137173958,0.218047137173958,"Higher in gregarious/crowded reference",FALSE
"LOC126273136","PebIII","Insect pheromone-binding family, A10/OS-D","Shared head/thorax phase DEG","Gregarious-up",2.49512414899741,28.2539009859717,0,0,"No difference in single-pair reference",FALSE
"LOC126293692",NA,"synaptic vesicle","Shared head/thorax phase DEG","Gregarious-up",2.02601295762931,27.693437440184,1.02493123792935,1.02493123792935,"Higher in gregarious/crowded reference",TRUE
"LOC126291424",NA,NA,"Shared head/thorax phase DEG","Gregarious-up",2.42391694554656,27.6130735974017,1.75483710923533,1.75483710923533,"Higher in gregarious/crowded reference",TRUE
"LOC126292108",NA,"Aldo/keto reductase family","Shared head/thorax phase DEG","Gregarious-up",1.10614104566665,27.0558268809258,0.30969524002524,0.30969524002524,"Higher in gregarious/crowded reference",FALSE
"LOC126336724",NA,"Glutathione S-transferase, C-terminal domain","Shared head/thorax phase DEG","Gregarious-up",2.21630425383911,27.021905858914,0.588714689030341,0.588714689030341,"Higher in gregarious/crowded reference",FALSE
"LOC126266665",NA,"Defective proboscis extension response","Shared head/thorax phase DEG","Gregarious-up",1.67932156162147,26.7551296741451,1.74618052506481,1.74618052506481,"Higher in gregarious/crowded reference",TRUE
"LOC126336730",NA,"Glutathione S-transferase, C-terminal domain","Shared head/thorax phase DEG","Gregarious-up",2.02395424269589,26.7395873215122,0.543691772009362,0.543691772009362,"Higher in gregarious/crowded reference",FALSE
"LOC126284639",NA,"Belongs to the small heat shock protein (HSP20) family","Shared head/thorax phase DEG","Gregarious-up",2.30969086576581,26.729896054541,1.53082024060831,1.53082024060831,"Higher in gregarious/crowded reference",TRUE
"LOC126291786",NA,NA,"Shared head/thorax phase DEG","Gregarious-up",2.98914061468279,26.7253679928746,0.289850173760831,0.289850173760831,"Higher in gregarious/crowded reference",FALSE
"LOC126292317",NA,"Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides. It is involved in the biological process described with pyrimidine nucleobase catabolic process","Shared head/thorax phase DEG","Gregarious-up",2.63870329421847,26.6500829631021,1.53436083647565,1.53436083647565,"Higher in gregarious/crowded reference",TRUE
"LOC126334955",NA,"Sugar (and other) transporter","Shared head/thorax phase DEG","Gregarious-up",1.43675472380999,26.3379369670793,-0.0241661454541493,0.0241661454541493,"Higher in solitarious/isolated reference",FALSE
"LOC126336715","GstD1","Glutathione S-transferase, N-terminal domain","Shared head/thorax phase DEG","Gregarious-up",2.71952818910433,26.1359522873614,-0.0225168428637046,0.0225168428637046,"Higher in solitarious/isolated reference",FALSE
"LOC126281280",NA,NA,"Shared head/thorax phase DEG","Gregarious-up",2.15849115717038,25.982114860367,0.746140187486284,0.746140187486284,"Higher in gregarious/crowded reference",FALSE
"LOC126284502",NA,"Sidestep protein","Shared head/thorax phase DEG","Gregarious-up",1.22112877655715,25.826151728993,2.35985060928316,2.35985060928316,"Higher in gregarious/crowded reference",TRUE
"LOC126299143",NA,"Belongs to the peptidase S1 family","Shared head/thorax phase DEG","Gregarious-up",1.93344034258173,25.4798114374949,0.0982366204446752,0.0982366204446752,"Higher in gregarious/crowded reference",FALSE
"LOC126272933",NA,"Solute carrier (proton/amino acid symporter), TRAMD3 or PAT1","Shared head/thorax phase DEG","Gregarious-up",1.9583254294545,25.2029584006761,0.127581419757804,0.127581419757804,"Higher in gregarious/crowded reference",FALSE
"LOC126355184",NA,"Belongs to the type-B carboxylesterase lipase family","Shared head/thorax phase DEG","Gregarious-up",1.52681099943955,25.1703613930903,1.17732576093017,1.17732576093017,"Higher in gregarious/crowded reference",TRUE
"LOC126272787","PebIII","Insect pheromone-binding family, A10/OS-D","Shared head/thorax phase DEG","Gregarious-up",1.22496809581654,25.1316603101921,0.148083534001447,0.148083534001447,"Higher in gregarious/crowded reference",FALSE
"LOC126282005","w","ABC-2 type transporter","Shared head/thorax phase DEG","Gregarious-up",1.47076797793905,24.5374648641812,-0.718090043875508,0.718090043875508,"Higher in solitarious/isolated reference",FALSE
"LOC126295147",NA,NA,"Shared head/thorax phase DEG","Gregarious-up",1.37875958864258,24.4988617696919,0.0635681639000065,0.0635681639000065,"Higher in gregarious/crowded reference",FALSE
"LOC126354591",NA,NA,"Shared head/thorax phase DEG","Gregarious-up",1.02922891354428,24.1011350439682,0.584657950909361,0.584657950909361,"Higher in gregarious/crowded reference",FALSE
"LOC126295351",NA,NA,"Shared head/thorax phase DEG","Gregarious-up",1.22954071669869,24.0706387243075,0.653461178948413,0.653461178948413,"Higher in gregarious/crowded reference",FALSE
"LOC126278485",NA,"Pyridoxal-dependent decarboxylase, pyridoxal binding domain","Shared head/thorax phase DEG","Solitarious-up",-2.61110903340902,46.6120669757211,-0.0645918811042545,0.0645918811042545,"Higher in solitarious/isolated reference",FALSE
