"gene_id","timecourse_fatbody_gregarious_minus_solitarious","abs_timecourse_delta","tissue_matched_direction","exploratory_shift"
"LOC126318536",0.130710132724806,0.130710132724806,"Higher in gregarious/crowded reference",FALSE
"LOC126285412",0,0,"No difference in single-pair reference",FALSE
"LOC126318656",0.0100278331020593,0.0100278331020593,"Higher in gregarious/crowded reference",FALSE
"LOC126318743",-0.685298751052006,0.685298751052006,"Higher in solitarious/isolated reference",FALSE
"LOC126319294",-0.134910475998738,0.134910475998738,"Higher in solitarious/isolated reference",FALSE
"LOC126319460",0.0211052555598732,0.0211052555598732,"Higher in gregarious/crowded reference",FALSE
"LOC126320026",0.0699728363671328,0.0699728363671328,"Higher in gregarious/crowded reference",FALSE
"LOC126320178",0.0687918804281411,0.0687918804281411,"Higher in gregarious/crowded reference",FALSE
"Trnaw-cca",0,0,"No difference in single-pair reference",FALSE
"LOC126320326",-0.338757712036078,0.338757712036078,"Higher in solitarious/isolated reference",FALSE
"LOC126284887",-0.141951362243154,0.141951362243154,"Higher in solitarious/isolated reference",FALSE
"LOC126320407",-0.614171783238899,0.614171783238899,"Higher in solitarious/isolated reference",FALSE
"LOC126320662",0.0885897231006787,0.0885897231006787,"Higher in gregarious/crowded reference",FALSE
"LOC126320757",-0.721120365738376,0.721120365738376,"Higher in solitarious/isolated reference",FALSE
"LOC126320910",-0.727707787321149,0.727707787321149,"Higher in solitarious/isolated reference",FALSE
"LOC126284895",-0.141951362243154,0.141951362243154,"Higher in solitarious/isolated reference",FALSE
"LOC126322280",0.190627410978538,0.190627410978538,"Higher in gregarious/crowded reference",FALSE
"LOC126322412",0.106021659261345,0.106021659261345,"Higher in gregarious/crowded reference",FALSE
"LOC126323097",-0.0336552890560782,0.0336552890560782,"Higher in solitarious/isolated reference",FALSE
"LOC126322565",0.328293334075618,0.328293334075618,"Higher in gregarious/crowded reference",FALSE
"LOC126322939",0,0,"No difference in single-pair reference",FALSE
