"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","scenario","comparison_type","comparison","numerator","denominator","diet","significant","direction","Preferred_name","Description","themes","term_groups","matched_patterns"
43.1513620547475,-4.15436534616486,0.992567908606287,-4.18547215776723,2.84573950144407e-05,0.0471444177405901,"LOC126282270","Current outliers removed","Diet contrasts among control","Control 50 vs 33","50","33",NA,TRUE,"Downregulated","-","Zona pellucida (ZP) domain","Immune and stress response","Toll/IMD/JAK-STAT","toll|imd|relish|cactus|jak|stat|dorsal|myd88|tube|pell[e]?"
43.1513620547475,-4.15436534616486,0.992567908606287,-4.18547215776723,2.84573950144407e-05,0.0471444177405901,"LOC126282270","Expanded outlier set","Diet contrasts among control","Control 50 vs 33","50","33",NA,TRUE,"Downregulated","-","Zona pellucida (ZP) domain","Immune and stress response","Toll/IMD/JAK-STAT","toll|imd|relish|cactus|jak|stat|dorsal|myd88|tube|pell[e]?"
22.5216015093899,-1.56373368566799,0.396782866131815,-3.94103127716332,8.11320453146052e-05,0.0181657266622153,"LOC126354620","All samples","Diet contrasts among control","Control 83 vs 33","83","33",NA,TRUE,"Downregulated","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
41.8110093651419,-1.1286301536002,0.293704526323931,-3.84274007529395,0.000121668303556892,0.025590899848133,"LOC126272587","All samples","Diet contrasts among control","Control 83 vs 33","83","33",NA,TRUE,"Downregulated","-","facilitative transporter for trehalose. Does not transport maltose, sucrose or lactose. Mediates the bidirectional transfer of trehalose. Responsible for the transport of trehalose synthesized in the fat body and the incorporation of trehalose into other tissues that require a carbon source, thereby regulating trehalose levels in the hemolymph","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
76.859677770039,-2.28000658871207,0.62675071939063,-3.63782045743617,0.000274954981343764,0.0355449895721698,"LOC126355150","Current outliers removed","Diet contrasts among control","Control 83 vs 33","83","33",NA,TRUE,"Downregulated","-","Belongs to the type-B carboxylesterase lipase family","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
76.859677770039,-2.28000658871207,0.62675071939063,-3.63782045743617,0.000274954981343764,0.0355449895721698,"LOC126355150","Expanded outlier set","Diet contrasts among control","Control 83 vs 33","83","33",NA,TRUE,"Downregulated","-","Belongs to the type-B carboxylesterase lipase family","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
1029.80956018788,7.02825925767748,0.48435697475604,14.5104945814344,1.03968222647088e-47,1.21091788917064e-43,"LOC126278052","Current outliers removed","Diet contrasts among control","Control 83 vs 33","83","33",NA,TRUE,"Upregulated","-","GTP binding. It is involved in the biological process described with gluconeogenesis","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
1029.80956018788,7.02825925767748,0.48435697475604,14.5104945814344,1.03968222647088e-47,1.21091788917064e-43,"LOC126278052","Expanded outlier set","Diet contrasts among control","Control 83 vs 33","83","33",NA,TRUE,"Upregulated","-","GTP binding. It is involved in the biological process described with gluconeogenesis","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
897.190707190358,6.89621819514725,0.475851992077464,14.4923596201413,1.3540997980338e-47,1.87976133963052e-43,"LOC126278052","All samples","Diet contrasts among control","Control 83 vs 33","83","33",NA,TRUE,"Upregulated","-","GTP binding. It is involved in the biological process described with gluconeogenesis","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
64.1813979176163,3.34829199346814,0.376821441684823,8.88561961468392,6.35654954034614e-19,4.41208103595426e-15,"LOC126352958","All samples","Diet contrasts among control","Control 83 vs 33","83","33",NA,TRUE,"Upregulated","Oat","Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family","Protein and amino-acid availability","Amino-acid transport/metabolism","amino acid|amino-acid|peptide transport|solute carrier|transaminase|aminotransferase"
