"DEG_context","comparison","contrast_label","signed_direction","Gene_class","direction_class","n_DEGs","signed_n"
"Infection vs control","All diets: infected vs control","All diets
infected vs control","Downregulated","Coding genes","Downregulated - Coding genes",660,-660
"Infection vs control","All diets: infected vs control","All diets
infected vs control","Downregulated","Long non-coding RNA","Downregulated - Long non-coding RNA",29,-29
"Infection vs control","All diets: infected vs control","All diets
infected vs control","Downregulated","Other / unknown","Downregulated - Other / unknown",1,-1
"Infection vs control","All diets: infected vs control","All diets
infected vs control","Upregulated","Coding genes","Upregulated - Coding genes",686,686
"Infection vs control","All diets: infected vs control","All diets
infected vs control","Upregulated","Long non-coding RNA","Upregulated - Long non-coding RNA",45,45
"Infection vs control","All diets: infected vs control","All diets
infected vs control","Upregulated","Other / unknown","Upregulated - Other / unknown",1,1
"Infection within diets","Diet 33: infected vs control","Diet 33
infected vs control","Downregulated","Coding genes","Downregulated - Coding genes",379,-379
"Infection within diets","Diet 33: infected vs control","Diet 33
infected vs control","Downregulated","Long non-coding RNA","Downregulated - Long non-coding RNA",17,-17
"Infection within diets","Diet 33: infected vs control","Diet 33
infected vs control","Downregulated","Other / unknown","Downregulated - Other / unknown",0,0
"Infection within diets","Diet 33: infected vs control","Diet 33
infected vs control","Upregulated","Coding genes","Upregulated - Coding genes",444,444
"Infection within diets","Diet 33: infected vs control","Diet 33
infected vs control","Upregulated","Long non-coding RNA","Upregulated - Long non-coding RNA",17,17
"Infection within diets","Diet 33: infected vs control","Diet 33
infected vs control","Upregulated","Other / unknown","Upregulated - Other / unknown",0,0
"Infection within diets","Diet 50: infected vs control","Diet 50
infected vs control","Downregulated","Coding genes","Downregulated - Coding genes",361,-361
"Infection within diets","Diet 50: infected vs control","Diet 50
infected vs control","Downregulated","Long non-coding RNA","Downregulated - Long non-coding RNA",12,-12
"Infection within diets","Diet 50: infected vs control","Diet 50
infected vs control","Downregulated","Other / unknown","Downregulated - Other / unknown",1,-1
"Infection within diets","Diet 50: infected vs control","Diet 50
infected vs control","Upregulated","Coding genes","Upregulated - Coding genes",704,704
"Infection within diets","Diet 50: infected vs control","Diet 50
infected vs control","Upregulated","Long non-coding RNA","Upregulated - Long non-coding RNA",37,37
"Infection within diets","Diet 50: infected vs control","Diet 50
infected vs control","Upregulated","Other / unknown","Upregulated - Other / unknown",1,1
"Infection within diets","Diet 83: infected vs control","Diet 83
infected vs control","Downregulated","Coding genes","Downregulated - Coding genes",261,-261
