"gene_id","Infection within diets","Diet DEGs in controls","Diet DEGs in infected","Infection vs control","intersection"
"LOC126266590",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126266593",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266596",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266604",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266610",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126266626",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126266629",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126266642",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266649",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266650",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266655",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266657",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266662",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266665",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266672",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266675",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266677",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126266679",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266681",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266685",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126266713",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266714",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266728",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266746",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126266748",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266750",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126266759",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266760",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266779",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126266787",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126266788",FALSE,TRUE,FALSE,FALSE,"Diet DEGs in controls"
"LOC126266822",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266827",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126266828",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266832",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266835",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266840",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126266841",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126266862",TRUE,FALSE,TRUE,TRUE,"Infection within diets + Diet DEGs in infected + Infection vs control"
"LOC126266886",FALSE,FALSE,TRUE,FALSE,"Diet DEGs in infected"
"LOC126266909",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266913",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266926",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266938",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266939",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126266950",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266957",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266959",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266967",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126266982",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126266984",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267000",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267002",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267016",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126267019",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126267038",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267042",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267060",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126267061",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267104",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267107",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267114",TRUE,TRUE,FALSE,TRUE,"Infection within diets + Diet DEGs in controls + Infection vs control"
"LOC126267144",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267150",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267154",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267162",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267163",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267165",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126267179",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267190",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267215",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267216",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267217",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267222",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126267226",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267230",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267234",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126267242",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267249",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126267253",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126267259",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267263",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267275",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267280",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267290",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267315",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126267333",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267343",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267350",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126267351",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267355",FALSE,TRUE,TRUE,FALSE,"Diet DEGs in controls + Diet DEGs in infected"
"LOC126267391",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267400",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267409",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126267422",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267432",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126267437",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267442",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267464",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267471",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267472",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267473",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267477",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126267478",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267485",FALSE,TRUE,FALSE,FALSE,"Diet DEGs in controls"
"LOC126267518",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267519",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267535",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267543",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267545",TRUE,TRUE,FALSE,TRUE,"Infection within diets + Diet DEGs in controls + Infection vs control"
"LOC126267554",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267568",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267575",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267627",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126267629",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267652",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267666",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267690",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267711",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267806",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126267869",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126267876",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267936",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267953",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126267970",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267971",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126267979",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126267980",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267982",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267984",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267985",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126267997",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126267998",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126268014",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126268015",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126268018",FALSE,TRUE,TRUE,FALSE,"Diet DEGs in controls + Diet DEGs in infected"
"LOC126268023",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126268026",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126268028",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126268030",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126268031",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126268068",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126268069",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126268085",FALSE,FALSE,FALSE,TRUE,"Infection vs control"
"LOC126268126",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126268128",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126268132",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
"LOC126268133",TRUE,FALSE,FALSE,TRUE,"Infection within diets + Infection vs control"
"LOC126268138",TRUE,FALSE,TRUE,FALSE,"Infection within diets + Diet DEGs in infected"
"LOC126268155",TRUE,FALSE,FALSE,FALSE,"Infection within diets"
