"DEG_context","comparison_type","comparison","numerator","denominator","diet","gene_id","log2FoldChange"
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266593",1.51578088714242
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266596",-2.34021339635013
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266657",-1.90797128679859
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266672",1.26564764722158
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266675",1.28416921872906
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266728",1.74417313266026
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266748",1.79167832619177
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266759",2.44362846170346
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266760",1.9375968095358
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266822",-1.47306220265582
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266828",-2.19583702086913
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266832",-1.1531368400994
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266835",-2.09910561705116
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266840",-3.85457050852033
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266862",-2.23769309807421
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266909",-1.14198566033707
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266913",-1.72537363878817
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266938",-2.03245229710226
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266957",1.19936630418518
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266982",2.71122452556189
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126266984",3.40147979405113
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267038",1.06027780483185
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267114",6.70605746909453
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267154",1.45191775203517
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267162",1.79608630264133
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267163",3.21835482398334
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267179",-1.33890635247039
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267190",-2.97485498746068
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267215",4.16208354384924
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267216",3.11010614702468
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267226",3.94532719664789
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267253",-1.4678064453413
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267259",5.73405967879347
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267263",-1.99884092359291
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267333",1.80957822156049
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267343",1.45382512141093
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267391",1.76683227289659
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267400",-1.03534290517977
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267409",1.00702542037913
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267442",4.67105573241768
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267472",-1.96897186467656
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267473",2.39121712542774
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267478",1.98057617716425
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267535",-1.62960005002867
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267545",4.07481833937208
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267554",-2.27848213655674
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267568",-3.50929145406238
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267629",2.7972031317922
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267980",5.33484910397425
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267982",-2.57468600248602
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126267984",-1.89805533494849
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268014",3.82360621756172
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268015",5.4369133556055
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268068",1.29979081523876
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268069",-1.28188375111621
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268128",-2.22484897210663
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268132",-1.70583179793848
"Infection within diets","Infection within diet","Diet 33: infected vs control","Infected","Control","33","LOC126268133",1.107407110197
