"intersection","n_genes","n_sets","intersection_id"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50",619,3,"I01"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_33",370,4,"I02"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83",362,5,"I03"
"all_model_coefficients",300,1,"I04"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33",291,2,"I05"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50",235,2,"I06"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_83",151,2,"I07"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_83",111,4,"I08"
"all_model_coefficients + interaction_coefficients",97,2,"I09"
"all_diet_pairwise_results + DESeq2_33_vs_50",65,2,"I10"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83",46,3,"I11"
"all_model_coefficients + all_diet_pairwise_results + DESeq2_33_vs_50",45,3,"I12"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_33",41,3,"I13"
"all_diet_pairwise_results + DESeq2_33_vs_83",20,2,"I14"
"all_infection_within_diet_results + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_50",18,4,"I15"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_33",17,3,"I16"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_83",14,3,"I17"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + interaction_coefficients",12,4,"I18"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_33 + DESeq2_infected_vs_control_diet_83",11,4,"I19"
"all_infection_within_diet_results + all_model_coefficients + DESeq2_infected_vs_control_diet_50 + DESeq2_infected_vs_control_diet_33 + all_diet_pairwise_results + DESeq2_33_vs_83",10,6,"I20"
