"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","set","database","pathway_theme","pathway_scope"
"ko04080","Neuroactive ligand-receptor interaction","35/630","98/3983",0.357142857142857,2.25793650793651,5.46487677352809,8.57090170338826e-07,0.000270840493827069,0.000270840493827069,"LOC126298404/LOC126281810/LOC126299510/LOC126330497/LOC126366011/LOC126277867/LOC126356006/LOC126267042/LOC126354348/LOC126311851/LOC126278537/LOC126284371/LOC126299155/LOC126282477/LOC126353956/LOC126335869/LOC126298972/LOC126336238/LOC126365747/LOC126355582/LOC126278519/LOC126298918/LOC126267861/LOC126329331/LOC126278518/LOC126355437/LOC126354218/LOC126355068/LOC126355816/LOC126355973/LOC126266656/LOC126299360/LOC126354276/LOC126267153/LOC126299097",35,"All infection DEGs","KEGG_pathway","Immune and stress signaling","Eukaryote/metazoan-compatible"
"ko01110","Biosynthesis of secondary metabolites","81/630","331/3983",0.244712990936556,1.54712990936556,4.50550208344369,1.30793049438075e-05,0.00206653018112159,0.00206653018112159,"LOC126285378/LOC126336251/LOC126267788/LOC126298632/LOC126312349/LOC126334613/LOC126335182/LOC126298865/LOC126335505/LOC126298530/LOC126281562/LOC126278485/LOC126336244/LOC126284686/LOC126278697/LOC126297494/LOC126324953/LOC126298221/LOC126325353/LOC126284341/LOC126284898/LOC126335184/LOC126354995/LOC126298001/LOC126336379/LOC126334596/LOC126284002/LOC126276148/LOC126281958/LOC126339265/LOC126355485/LOC126278447/LOC126334891/LOC126268198/LOC126272831/LOC126281265/LOC126272928/LOC126272560/LOC126299546/LOC126293404/LOC126361126/LOC126298400/LOC126299364/LOC126335171/LOC126365957/LOC126356152/LOC126281954/LOC126271955/LOC126341237/LOC126336773/LOC126333363/LOC126272584/LOC126268218/LOC126268126/LOC126323251/LOC126341660/LOC126272256/LOC126284756/LOC126352958/LOC126282460/LOC126336625/LOC126350022/LOC126365941/LOC126272594/LOC126335242/LOC126274964/LOC126345263/LOC126297581/LOC126267473/LOC126293737/LOC126283383/LOC126272382/LOC126356100/LOC126356050/LOC126281446/LOC126281532/LOC126272926/LOC126354590/LOC126284812/LOC126354649/LOC126282346",81,"All infection DEGs","KEGG_pathway","Detoxification and secondary metabolism","Broad KEGG reference map"
"ko04727","GABAergic synapse","15/630","37/3983",0.405405405405405,2.56306306306306,4.1400248485199,0.000254546606060838,0.025863706668023,0.025863706668023,"LOC126298404/LOC126281810/LOC126278890/LOC126366011/LOC126298632/LOC126297585/LOC126354995/LOC126335781/LOC126278518/LOC126268126/LOC126355973/LOC126354742/LOC126268518/LOC126281608/LOC126284296",15,"All infection DEGs","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko00100","Steroid biosynthesis","7/630","11/3983",0.636363636363636,4.02323232323232,4.35178439750715,0.000441567308527076,0.025863706668023,0.025863706668023,"LOC126278068/LOC126282077/LOC126291813/LOC126335155/LOC126336514/LOC126292019/LOC126335154",7,"All infection DEGs","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko05033","Nicotine addiction","7/630","11/3983",0.636363636363636,4.02323232323232,4.35178439750715,0.000441567308527076,0.025863706668023,0.025863706668023,"LOC126281810/LOC126278890/LOC126366011/LOC126298972/LOC126355582/LOC126278974/LOC126355973",7,"All infection DEGs","KEGG_pathway","Reference disease pathway","Reference disease pathway"
"ko00981","Insect hormone biosynthesis","11/630","24/3983",0.458333333333333,2.89768518518519,4.0414867844258,0.000491083038000437,0.025863706668023,0.025863706668023,"LOC126365945/LOC126282181/LOC126293679/LOC126270657/LOC126320178/LOC126343748/LOC126305900/LOC126299150/LOC126293680/LOC126335148/LOC126281446",11,"All infection DEGs","KEGG_pathway","Storage, lipid transport, and endocrine nutrition","Core metabolism or cross-domain"
"ko00330","Arginine and proline metabolism","16/630","44/3983",0.363636363636364,2.2989898989899,3.75528798461467,0.000682427800851907,0.0308067407241718,0.0308067407241718,"LOC126284548/LOC126355053/LOC126278485/LOC126278697/LOC126278249/LOC126276148/LOC126339265/LOC126284971/LOC126337850/LOC126335036/LOC126352958/LOC126282460/LOC126350022/LOC126267473/LOC126281672/LOC126281446",16,"All infection DEGs","KEGG_pathway","Amino acid and nitrogen metabolism","Core metabolism or cross-domain"
"ko01230","Biosynthesis of amino acids","20/630","64/3983",0.3125,1.97569444444444,3.4105177429573,0.00142105174351014,0.0561315438686506,0.0561315438686506,"LOC126334613/LOC126335505/LOC126298221/LOC126325353/LOC126284898/LOC126334596/LOC126276148/LOC126278447/LOC126333363/LOC126268518/LOC126282460/LOC126365941/LOC126335242/LOC126274964/LOC126267473/LOC126293368/LOC126281532/LOC126354590/LOC126295405/LOC126282346",20,"All infection DEGs","KEGG_pathway","Amino acid and nitrogen metabolism","Broad KEGG reference map"
"ko00670","One carbon pool by folate","7/630","13/3983",0.538461538461538,3.4042735042735,3.7632616871729,0.00171563749146452,0.0602379385891986,0.0602379385891986,"LOC126325353/LOC126297511/LOC126293404/LOC126267222/LOC126323251/LOC126355148/LOC126293737",7,"All infection DEGs","KEGG_pathway","Other KEGG pathway","Core metabolism or cross-domain"
"ko04512","ECM-receptor interaction","13/630","36/3983",0.361111111111111,2.28302469135802,3.35163585184687,0.00231415793630811,0.0604440834728775,0.0604440834728775,"LOC126354120/LOC126267772/LOC126293693/LOC126298917/LOC126266752/LOC126293692/LOC126267773/LOC126269651/LOC126354819/LOC126356154/LOC126353876/LOC126281351/LOC126293286",13,"All infection DEGs","KEGG_pathway","Cellular process","Eukaryote/metazoan-compatible"
