"ID","Description","set","p.adjust","Count"
"GO:0005887","GO:0005887","All infection DEGs",8.10265792709336e-14,99
"GO:0031226","GO:0031226","All infection DEGs",1.28957382567033e-13,100
"GO:0044421","GO:0044421","All infection DEGs",3.45902822730783e-12,74
"GO:0015318","GO:0015318","All infection DEGs",3.38619260344182e-07,74
"GO:0042133","GO:0042133","All infection DEGs",1.42416335232081e-05,13
"GO:0008514","GO:0008514","All infection DEGs",9.81094349919439e-05,36
"GO:1903825","GO:1903825","All infection DEGs",0.00013019526051095,28
"GO:0042136","GO:0042136","All infection DEGs",0.000155678363141628,9
"GO:0005342","GO:0005342","All infection DEGs",0.000162910845704439,27
"GO:0044106","GO:0044106","All infection DEGs",0.000162910845704439,12
"GO:0042737","GO:0042737","All infection DEGs",0.000174752289686869,14
"GO:0022838","GO:0022838","All infection DEGs",0.000817838625721526,35
"GO:0097164","GO:0097164","All infection DEGs",0.00120530146590963,10
"GO:1901071","GO:1901071","All infection DEGs",0.00184251068398757,12
"GO:0022890","GO:0022890","All infection DEGs",0.00470950013760461,40
"GO:0017144","GO:0017144","All infection DEGs",0.00502917164528017,39
"GO:1901617","GO:1901617","All infection DEGs",0.00637907533157458,14
"GO:0055114","GO:0055114","All infection DEGs",0.00882638415589402,60
"GO:0001505","GO:0001505","All infection DEGs",0.0108834743364978,29
"GO:1901615","GO:1901615","All infection DEGs",0.026537042955864,23
"GO:0006732","GO:0006732","All infection DEGs",0.034102829664399,21
"GO:0051188","GO:0051188","All infection DEGs",0.0450306877996506,18
"GO:0010033","GO:0010033","All infection DEGs",0.0476693609323441,65
"GO:0098660","GO:0098660","All infection DEGs",0.0546073910713142,40
"GO:0098662","GO:0098662","All infection DEGs",0.0589268398970549,35
"GO:0009108","GO:0009108","All infection DEGs",0.0643779637767589,15
"GO:0071804","GO:0071804","All infection DEGs",0.0643779637767589,14
"GO:0099516","GO:0099516","All infection DEGs",0.0843968661719417,7
"GO:1901565","GO:1901565","All infection DEGs",0.0892352838346797,57
"GO:0044421","GO:0044421","Diet 33",1.50120785810078e-06,35
"GO:0031226","GO:0031226","Diet 33",0.00288020104683342,36
"GO:0005887","GO:0005887","Diet 33",0.00364546943842171,35
"GO:0006732","GO:0006732","Diet 33",0.00565930810388599,14
"GO:0051186","GO:0051186","Diet 33",0.0227863233236663,17
"GO:0008514","GO:0008514","Diet 33",0.03004218761346,16
"GO:1901575","GO:1901575","Diet 33",0.0336402923787425,42
"GO:0051188","GO:0051188","Diet 33",0.0382426726752579,11
"GO:0034637","GO:0034637","Diet 33",0.0404073809252225,5
"GO:0033692","GO:0033692","Diet 33",0.0522804038943102,4
"GO:0035383","GO:0035383","Diet 33",0.0570088732427915,6
"GO:1901071","GO:1901071","Diet 33",0.0661797418748153,6
"GO:0009069","GO:0009069","Diet 33",0.0661797418748153,4
"GO:0009108","GO:0009108","Diet 33",0.0664729348976827,9
"GO:1901565","GO:1901565","Diet 33",0.0688494071409181,29
"GO:0017144","GO:0017144","Diet 33",0.0798273942473916,18
"GO:1901617","GO:1901617","Diet 33",0.0932353645110607,7
"GO:0044264","GO:0044264","Diet 33",0.0949202561521134,6
"GO:1901362","GO:1901362","Diet 33",0.0980504457354106,35
"GO:0044106","GO:0044106","Diet 33",0.0980504457354106,5
"GO:0005887","GO:0005887","Diet 50",6.85276910036496e-15,87
"GO:0031226","GO:0031226","Diet 50",6.85276910036496e-15,88
"GO:0044421","GO:0044421","Diet 50",1.52405108979583e-09,59
"GO:0015318","GO:0015318","Diet 50",5.31966934613528e-07,62
"GO:1903825","GO:1903825","Diet 50",0.000170716534469791,24
"GO:0008514","GO:0008514","Diet 50",0.000208478480499754,30
"GO:0005342","GO:0005342","Diet 50",0.00025665732215899,23
"GO:0042136","GO:0042136","Diet 50",0.0002839581072461,8
"GO:0042133","GO:0042133","Diet 50",0.000537179544617676,10
"GO:0022838","GO:0022838","Diet 50",0.000638182237465001,30
"GO:0097164","GO:0097164","Diet 50",0.00108050856717929,9
"GO:1901617","GO:1901617","Diet 50",0.00220095692278491,13
"GO:0022890","GO:0022890","Diet 50",0.00301498254745243,34
"GO:0044106","GO:0044106","Diet 50",0.00406714233433683,9
"GO:1901071","GO:1901071","Diet 50",0.0189746997676972,9
"GO:1901044","GO:1901044","Diet 50",0.0258434123826937,12
"GO:0042737","GO:0042737","Diet 50",0.0303149371207137,9
"GO:1901565","GO:1901565","Diet 50",0.0337578770389153,49
"GO:0098662","GO:0098662","Diet 50",0.0511567406619793,29
"GO:0010033","GO:0010033","Diet 50",0.0581282134590014,52
"GO:0055114","GO:0055114","Diet 50",0.0581282134590014,45
"GO:0071804","GO:0071804","Diet 50",0.0581282134590014,12
"GO:0017144","GO:0017144","Diet 50",0.066973453561231,28
"GO:0098660","GO:0098660","Diet 50",0.0720583802080889,32
"GO:0001505","GO:0001505","Diet 50",0.0830524839777525,21
"GO:0044421","GO:0044421","Diet 83",4.73951179730788e-05,31
"GO:0044106","GO:0044106","Diet 83",0.000639089781413007,8
"GO:0097164","GO:0097164","Diet 83",0.0134226907823664,6
"GO:0005887","GO:0005887","Diet 83",0.0158221880075119,32
"GO:0042133","GO:0042133","Diet 83",0.0201218877500691,6
"GO:0008514","GO:0008514","Diet 83",0.0201218877500691,16
"GO:0031226","GO:0031226","Diet 83",0.0213920556358064,32
"GO:0044454","GO:0044454","Diet 83",0.0301068790129689,16
"GO:1903825","GO:1903825","Diet 83",0.0425742454906317,12
"GO:1901362","GO:1901362","Diet 83",0.0471159170342328,36
"GO:0019438","GO:0019438","Diet 83",0.0691410668952176,33
"GO:0055114","GO:0055114","Diet 83",0.0696696562066552,27
"GO:1901565","GO:1901565","Diet 83",0.0819257445073611,28
"GO:0005342","GO:0005342","Diet 83",0.0819257445073611,11
